,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Atlanta Hawks,2009,regular,1,2009-10-28,0,Indiana Pacers,
1,Atlanta Hawks,2009,regular,2,2009-10-30,0,Washington Wizards,
2,Atlanta Hawks,2009,regular,3,2009-11-01,1,Los Angeles Lakers,
3,Atlanta Hawks,2009,regular,4,2009-11-03,1,Portland Trail Blazers,
4,Atlanta Hawks,2009,regular,5,2009-11-04,1,Sacramento Kings,
5,Atlanta Hawks,2009,regular,6,2009-11-06,1,Charlotte Bobcats,
6,Atlanta Hawks,2009,regular,7,2009-11-07,0,Denver Nuggets,
7,Atlanta Hawks,2009,regular,8,2009-11-11,1,New York Knicks,
8,Atlanta Hawks,2009,regular,9,2009-11-13,1,Boston Celtics,
9,Atlanta Hawks,2009,regular,10,2009-11-14,0,New Orleans Hornets,
10,Atlanta Hawks,2009,regular,11,2009-11-16,0,Portland Trail Blazers,OT
11,Atlanta Hawks,2009,regular,12,2009-11-18,0,Miami Heat,
12,Atlanta Hawks,2009,regular,13,2009-11-20,0,Houston Rockets,
13,Atlanta Hawks,2009,regular,14,2009-11-21,1,New Orleans Hornets,
14,Atlanta Hawks,2009,regular,15,2009-11-26,0,Orlando Magic,
15,Atlanta Hawks,2009,regular,16,2009-11-27,1,Philadelphia 76ers,
16,Atlanta Hawks,2009,regular,17,2009-11-29,1,Detroit Pistons,
17,Atlanta Hawks,2009,regular,18,2009-12-02,0,Toronto Raptors,
18,Atlanta Hawks,2009,regular,19,2009-12-04,0,New York Knicks,
19,Atlanta Hawks,2009,regular,20,2009-12-05,1,Dallas Mavericks,
20,Atlanta Hawks,2009,regular,21,2009-12-09,0,Chicago Bulls,
21,Atlanta Hawks,2009,regular,22,2009-12-11,1,Toronto Raptors,
22,Atlanta Hawks,2009,regular,23,2009-12-13,0,New Jersey Nets,
23,Atlanta Hawks,2009,regular,24,2009-12-16,0,Memphis Grizzlies,
24,Atlanta Hawks,2009,regular,25,2009-12-18,0,Utah Jazz,
25,Atlanta Hawks,2009,regular,26,2009-12-19,1,Chicago Bulls,OT
26,Atlanta Hawks,2009,regular,27,2009-12-22,1,Minnesota Timberwolves,
27,Atlanta Hawks,2009,regular,28,2009-12-23,1,Denver Nuggets,
28,Atlanta Hawks,2009,regular,29,2009-12-26,1,Indiana Pacers,
29,Atlanta Hawks,2009,regular,30,2009-12-29,0,Cleveland Cavaliers,
30,Atlanta Hawks,2009,regular,31,2009-12-30,1,Cleveland Cavaliers,
31,Atlanta Hawks,2009,regular,32,2010-01-01,0,New York Knicks,OT
32,Atlanta Hawks,2009,regular,33,2010-01-04,1,Miami Heat,
33,Atlanta Hawks,2009,regular,34,2010-01-06,0,New Jersey Nets,
34,Atlanta Hawks,2009,regular,35,2010-01-08,0,Boston Celtics,
35,Atlanta Hawks,2009,regular,36,2010-01-09,1,Orlando Magic,
36,Atlanta Hawks,2009,regular,37,2010-01-11,1,Boston Celtics,
37,Atlanta Hawks,2009,regular,38,2010-01-13,0,Washington Wizards,
38,Atlanta Hawks,2009,regular,39,2010-01-15,0,Phoenix Suns,
39,Atlanta Hawks,2009,regular,40,2010-01-18,0,Oklahoma City Thunder,
40,Atlanta Hawks,2009,regular,41,2010-01-20,0,Sacramento Kings,
41,Atlanta Hawks,2009,regular,42,2010-01-22,0,Charlotte Bobcats,
42,Atlanta Hawks,2009,regular,43,2010-01-25,1,Houston Rockets,
43,Atlanta Hawks,2009,regular,44,2010-01-27,1,San Antonio Spurs,
44,Atlanta Hawks,2009,regular,45,2010-01-29,0,Boston Celtics,
45,Atlanta Hawks,2009,regular,46,2010-01-30,1,Orlando Magic,
46,Atlanta Hawks,2009,regular,47,2010-02-02,1,Oklahoma City Thunder,
47,Atlanta Hawks,2009,regular,48,2010-02-03,0,Los Angeles Clippers,
48,Atlanta Hawks,2009,regular,49,2010-02-05,0,Chicago Bulls,
49,Atlanta Hawks,2009,regular,50,2010-02-09,1,Memphis Grizzlies,
50,Atlanta Hawks,2009,regular,51,2010-02-10,0,Miami Heat,
51,Atlanta Hawks,2009,regular,52,2010-02-17,1,Los Angeles Clippers,
52,Atlanta Hawks,2009,regular,53,2010-02-19,1,Phoenix Suns,
53,Atlanta Hawks,2009,regular,54,2010-02-21,1,Golden State Warriors,
54,Atlanta Hawks,2009,regular,55,2010-02-22,1,Utah Jazz,
55,Atlanta Hawks,2009,regular,56,2010-02-24,0,Minnesota Timberwolves,
56,Atlanta Hawks,2009,regular,57,2010-02-26,0,Dallas Mavericks,OT
57,Atlanta Hawks,2009,regular,58,2010-02-28,0,Milwaukee Bucks,OT
58,Atlanta Hawks,2009,regular,59,2010-03-01,1,Chicago Bulls,
59,Atlanta Hawks,2009,regular,60,2010-03-03,0,Philadelphia 76ers,
60,Atlanta Hawks,2009,regular,61,2010-03-05,0,Golden State Warriors,
61,Atlanta Hawks,2009,regular,62,2010-03-06,1,Miami Heat,
62,Atlanta Hawks,2009,regular,63,2010-03-08,1,New York Knicks,
63,Atlanta Hawks,2009,regular,64,2010-03-11,1,Washington Wizards,
64,Atlanta Hawks,2009,regular,65,2010-03-13,0,Detroit Pistons,
65,Atlanta Hawks,2009,regular,66,2010-03-16,1,New Jersey Nets,
66,Atlanta Hawks,2009,regular,67,2010-03-17,1,Toronto Raptors,
67,Atlanta Hawks,2009,regular,68,2010-03-19,0,Charlotte Bobcats,OT
68,Atlanta Hawks,2009,regular,69,2010-03-21,0,San Antonio Spurs,OT
69,Atlanta Hawks,2009,regular,70,2010-03-22,1,Milwaukee Bucks,
70,Atlanta Hawks,2009,regular,71,2010-03-24,0,Orlando Magic,
71,Atlanta Hawks,2009,regular,72,2010-03-26,1,Philadelphia 76ers,
72,Atlanta Hawks,2009,regular,73,2010-03-28,0,Indiana Pacers,
73,Atlanta Hawks,2009,regular,74,2010-03-31,0,Los Angeles Lakers,
74,Atlanta Hawks,2009,regular,75,2010-04-02,1,Cleveland Cavaliers,
75,Atlanta Hawks,2009,regular,76,2010-04-03,0,Detroit Pistons,
76,Atlanta Hawks,2009,regular,77,2010-04-06,1,Charlotte Bobcats,
77,Atlanta Hawks,2009,regular,78,2010-04-07,1,Detroit Pistons,
78,Atlanta Hawks,2009,regular,79,2010-04-09,0,Toronto Raptors,
79,Atlanta Hawks,2009,regular,80,2010-04-10,1,Washington Wizards,
80,Atlanta Hawks,2009,regular,81,2010-04-12,1,Milwaukee Bucks,
81,Atlanta Hawks,2009,regular,82,2010-04-14,0,Cleveland Cavaliers,
82,Atlanta Hawks,2009,post,83,2010-04-17,0,Milwaukee Bucks,
83,Atlanta Hawks,2009,post,84,2010-04-20,0,Milwaukee Bucks,
84,Atlanta Hawks,2009,post,85,2010-04-24,1,Milwaukee Bucks,
85,Atlanta Hawks,2009,post,86,2010-04-26,1,Milwaukee Bucks,
86,Atlanta Hawks,2009,post,87,2010-04-28,0,Milwaukee Bucks,
87,Atlanta Hawks,2009,post,88,2010-04-30,1,Milwaukee Bucks,
88,Atlanta Hawks,2009,post,89,2010-05-02,0,Milwaukee Bucks,
89,Atlanta Hawks,2009,post,90,2010-05-04,1,Orlando Magic,
90,Atlanta Hawks,2009,post,91,2010-05-06,1,Orlando Magic,
91,Atlanta Hawks,2009,post,92,2010-05-08,0,Orlando Magic,
92,Atlanta Hawks,2009,post,93,2010-05-10,0,Orlando Magic,
93,Atlanta Hawks,2010,regular,1,2010-10-27,1,Memphis Grizzlies,
94,Atlanta Hawks,2010,regular,2,2010-10-29,1,Philadelphia 76ers,
95,Atlanta Hawks,2010,regular,3,2010-10-30,0,Washington Wizards,
96,Atlanta Hawks,2010,regular,4,2010-11-02,1,Cleveland Cavaliers,
97,Atlanta Hawks,2010,regular,5,2010-11-03,0,Detroit Pistons,
98,Atlanta Hawks,2010,regular,6,2010-11-05,1,Minnesota Timberwolves,
99,Atlanta Hawks,2010,regular,7,2010-11-07,0,Phoenix Suns,
100,Atlanta Hawks,2010,regular,8,2010-11-08,1,Orlando Magic,
101,Atlanta Hawks,2010,regular,9,2010-11-10,0,Milwaukee Bucks,
102,Atlanta Hawks,2010,regular,10,2010-11-12,0,Utah Jazz,
103,Atlanta Hawks,2010,regular,11,2010-11-14,0,Minnesota Timberwolves,
104,Atlanta Hawks,2010,regular,12,2010-11-16,1,Indiana Pacers,
105,Atlanta Hawks,2010,regular,13,2010-11-20,0,Dallas Mavericks,
106,Atlanta Hawks,2010,regular,14,2010-11-22,0,Boston Celtics,
107,Atlanta Hawks,2010,regular,15,2010-11-23,1,New Jersey Nets,OT
108,Atlanta Hawks,2010,regular,16,2010-11-25,0,Washington Wizards,
109,Atlanta Hawks,2010,regular,17,2010-11-27,1,New York Knicks,
110,Atlanta Hawks,2010,regular,18,2010-11-28,1,Toronto Raptors,
111,Atlanta Hawks,2010,regular,19,2010-12-01,0,Memphis Grizzlies,
112,Atlanta Hawks,2010,regular,20,2010-12-03,0,Philadelphia 76ers,
113,Atlanta Hawks,2010,regular,21,2010-12-04,1,Miami Heat,
114,Atlanta Hawks,2010,regular,22,2010-12-06,1,Orlando Magic,
115,Atlanta Hawks,2010,regular,23,2010-12-07,0,New Jersey Nets,
116,Atlanta Hawks,2010,regular,24,2010-12-10,1,San Antonio Spurs,
117,Atlanta Hawks,2010,regular,25,2010-12-11,0,Indiana Pacers,
118,Atlanta Hawks,2010,regular,26,2010-12-14,1,Detroit Pistons,
119,Atlanta Hawks,2010,regular,27,2010-12-16,1,Boston Celtics,
120,Atlanta Hawks,2010,regular,28,2010-12-17,0,Charlotte Bobcats,
121,Atlanta Hawks,2010,regular,29,2010-12-19,1,New Jersey Nets,
122,Atlanta Hawks,2010,regular,30,2010-12-20,0,Orlando Magic,
123,Atlanta Hawks,2010,regular,31,2010-12-22,0,Cleveland Cavaliers,
124,Atlanta Hawks,2010,regular,32,2010-12-26,1,New Orleans Hornets,
125,Atlanta Hawks,2010,regular,33,2010-12-27,1,Milwaukee Bucks,
126,Atlanta Hawks,2010,regular,34,2010-12-29,0,Golden State Warriors,
127,Atlanta Hawks,2010,regular,35,2010-12-31,1,Oklahoma City Thunder,
128,Atlanta Hawks,2010,regular,36,2011-01-02,1,Los Angeles Clippers,
129,Atlanta Hawks,2010,regular,37,2011-01-04,1,Sacramento Kings,
130,Atlanta Hawks,2010,regular,38,2011-01-05,1,Utah Jazz,
131,Atlanta Hawks,2010,regular,39,2011-01-08,0,Indiana Pacers,
132,Atlanta Hawks,2010,regular,40,2011-01-12,1,Toronto Raptors,
133,Atlanta Hawks,2010,regular,41,2011-01-15,0,Houston Rockets,
134,Atlanta Hawks,2010,regular,42,2011-01-17,0,Sacramento Kings,
135,Atlanta Hawks,2010,regular,43,2011-01-18,1,Miami Heat,OT
136,Atlanta Hawks,2010,regular,44,2011-01-21,0,New Orleans Hornets,
137,Atlanta Hawks,2010,regular,45,2011-01-22,1,Charlotte Bobcats,
138,Atlanta Hawks,2010,regular,46,2011-01-26,1,Milwaukee Bucks,
139,Atlanta Hawks,2010,regular,47,2011-01-28,0,New York Knicks,
140,Atlanta Hawks,2010,regular,48,2011-01-29,1,Dallas Mavericks,
141,Atlanta Hawks,2010,regular,49,2011-02-02,0,Toronto Raptors,
142,Atlanta Hawks,2010,regular,50,2011-02-04,0,Los Angeles Clippers,
143,Atlanta Hawks,2010,regular,51,2011-02-05,1,Washington Wizards,
144,Atlanta Hawks,2010,regular,52,2011-02-08,0,Philadelphia 76ers,
145,Atlanta Hawks,2010,regular,53,2011-02-12,0,Charlotte Bobcats,
146,Atlanta Hawks,2010,regular,54,2011-02-14,1,Detroit Pistons,
147,Atlanta Hawks,2010,regular,55,2011-02-16,1,New York Knicks,
148,Atlanta Hawks,2010,regular,56,2011-02-22,1,Los Angeles Lakers,
149,Atlanta Hawks,2010,regular,57,2011-02-23,1,Phoenix Suns,
150,Atlanta Hawks,2010,regular,58,2011-02-25,1,Golden State Warriors,
151,Atlanta Hawks,2010,regular,59,2011-02-27,1,Portland Trail Blazers,
152,Atlanta Hawks,2010,regular,60,2011-02-28,1,Denver Nuggets,
153,Atlanta Hawks,2010,regular,61,2011-03-02,0,Chicago Bulls,
154,Atlanta Hawks,2010,regular,62,2011-03-04,0,Oklahoma City Thunder,
155,Atlanta Hawks,2010,regular,63,2011-03-06,0,New York Knicks,
156,Atlanta Hawks,2010,regular,64,2011-03-08,0,Los Angeles Lakers,
157,Atlanta Hawks,2010,regular,65,2011-03-11,1,Chicago Bulls,
158,Atlanta Hawks,2010,regular,66,2011-03-12,0,Portland Trail Blazers,
159,Atlanta Hawks,2010,regular,67,2011-03-15,0,Milwaukee Bucks,
160,Atlanta Hawks,2010,regular,68,2011-03-16,0,Denver Nuggets,
161,Atlanta Hawks,2010,regular,69,2011-03-18,0,Miami Heat,
162,Atlanta Hawks,2010,regular,70,2011-03-20,0,Detroit Pistons,
163,Atlanta Hawks,2010,regular,71,2011-03-22,0,Chicago Bulls,
164,Atlanta Hawks,2010,regular,72,2011-03-23,1,Philadelphia 76ers,
165,Atlanta Hawks,2010,regular,73,2011-03-26,0,New Jersey Nets,
166,Atlanta Hawks,2010,regular,74,2011-03-27,1,Cleveland Cavaliers,
167,Atlanta Hawks,2010,regular,75,2011-03-30,0,Orlando Magic,
168,Atlanta Hawks,2010,regular,76,2011-04-01,0,Boston Celtics,
169,Atlanta Hawks,2010,regular,77,2011-04-03,1,Houston Rockets,
170,Atlanta Hawks,2010,regular,78,2011-04-05,0,San Antonio Spurs,
171,Atlanta Hawks,2010,regular,79,2011-04-08,1,Indiana Pacers,
172,Atlanta Hawks,2010,regular,80,2011-04-09,1,Washington Wizards,
173,Atlanta Hawks,2010,regular,81,2011-04-11,0,Miami Heat,
174,Atlanta Hawks,2010,regular,82,2011-04-13,1,Charlotte Bobcats,
175,Atlanta Hawks,2010,post,83,2011-04-16,1,Orlando Magic,
176,Atlanta Hawks,2010,post,84,2011-04-19,1,Orlando Magic,
177,Atlanta Hawks,2010,post,85,2011-04-22,0,Orlando Magic,
178,Atlanta Hawks,2010,post,86,2011-04-24,0,Orlando Magic,
179,Atlanta Hawks,2010,post,87,2011-04-26,1,Orlando Magic,
180,Atlanta Hawks,2010,post,88,2011-04-28,0,Orlando Magic,
181,Atlanta Hawks,2010,post,89,2011-05-02,1,Chicago Bulls,
182,Atlanta Hawks,2010,post,90,2011-05-04,1,Chicago Bulls,
183,Atlanta Hawks,2010,post,91,2011-05-06,0,Chicago Bulls,
184,Atlanta Hawks,2010,post,92,2011-05-08,0,Chicago Bulls,
185,Atlanta Hawks,2010,post,93,2011-05-10,1,Chicago Bulls,
186,Atlanta Hawks,2010,post,94,2011-05-12,0,Chicago Bulls,
187,Atlanta Hawks,2011,regular,1,2011-12-27,1,New Jersey Nets,
188,Atlanta Hawks,2011,regular,2,2011-12-28,0,Washington Wizards,
189,Atlanta Hawks,2011,regular,3,2011-12-30,0,New Jersey Nets,
190,Atlanta Hawks,2011,regular,4,2011-12-31,1,Houston Rockets,
191,Atlanta Hawks,2011,regular,5,2012-01-02,1,Miami Heat,
192,Atlanta Hawks,2011,regular,6,2012-01-03,1,Chicago Bulls,
193,Atlanta Hawks,2011,regular,7,2012-01-05,0,Miami Heat,3OT
194,Atlanta Hawks,2011,regular,8,2012-01-06,1,Charlotte Bobcats,OT
195,Atlanta Hawks,2011,regular,9,2012-01-07,0,Chicago Bulls,
196,Atlanta Hawks,2011,regular,10,2012-01-09,1,New Jersey Nets,
197,Atlanta Hawks,2011,regular,11,2012-01-11,1,Indiana Pacers,
198,Atlanta Hawks,2011,regular,12,2012-01-12,0,Charlotte Bobcats,
199,Atlanta Hawks,2011,regular,13,2012-01-14,0,Minnesota Timberwolves,
200,Atlanta Hawks,2011,regular,14,2012-01-16,0,Toronto Raptors,
201,Atlanta Hawks,2011,regular,15,2012-01-18,0,Portland Trail Blazers,
202,Atlanta Hawks,2011,regular,16,2012-01-20,1,Philadelphia 76ers,
203,Atlanta Hawks,2011,regular,17,2012-01-21,0,Cleveland Cavaliers,
204,Atlanta Hawks,2011,regular,18,2012-01-23,1,Milwaukee Bucks,
205,Atlanta Hawks,2011,regular,19,2012-01-25,1,San Antonio Spurs,
206,Atlanta Hawks,2011,regular,20,2012-01-27,1,Detroit Pistons,OT
207,Atlanta Hawks,2011,regular,21,2012-01-29,1,New Orleans Hornets,
208,Atlanta Hawks,2011,regular,22,2012-01-31,1,Toronto Raptors,
209,Atlanta Hawks,2011,regular,23,2012-02-02,0,Memphis Grizzlies,
210,Atlanta Hawks,2011,regular,24,2012-02-04,0,Philadelphia 76ers,
211,Atlanta Hawks,2011,regular,25,2012-02-06,0,Phoenix Suns,
212,Atlanta Hawks,2011,regular,26,2012-02-08,0,Indiana Pacers,
213,Atlanta Hawks,2011,regular,27,2012-02-10,1,Orlando Magic,OT
214,Atlanta Hawks,2011,regular,28,2012-02-12,0,Miami Heat,
215,Atlanta Hawks,2011,regular,29,2012-02-14,1,Los Angeles Lakers,
216,Atlanta Hawks,2011,regular,30,2012-02-15,1,Phoenix Suns,
217,Atlanta Hawks,2011,regular,31,2012-02-18,1,Portland Trail Blazers,
218,Atlanta Hawks,2011,regular,32,2012-02-20,1,Chicago Bulls,
219,Atlanta Hawks,2011,regular,33,2012-02-22,1,New York Knicks,
220,Atlanta Hawks,2011,regular,34,2012-02-23,0,Orlando Magic,
221,Atlanta Hawks,2011,regular,35,2012-02-29,0,Golden State Warriors,
222,Atlanta Hawks,2011,regular,36,2012-03-02,0,Milwaukee Bucks,
223,Atlanta Hawks,2011,regular,37,2012-03-03,0,Oklahoma City Thunder,
224,Atlanta Hawks,2011,regular,38,2012-03-06,1,Indiana Pacers,
225,Atlanta Hawks,2011,regular,39,2012-03-07,1,Miami Heat,
226,Atlanta Hawks,2011,regular,40,2012-03-09,1,Detroit Pistons,
227,Atlanta Hawks,2011,regular,41,2012-03-11,1,Sacramento Kings,
228,Atlanta Hawks,2011,regular,42,2012-03-13,1,Denver Nuggets,OT
229,Atlanta Hawks,2011,regular,43,2012-03-14,1,Los Angeles Clippers,
230,Atlanta Hawks,2011,regular,44,2012-03-16,0,Washington Wizards,
231,Atlanta Hawks,2011,regular,45,2012-03-18,1,Cleveland Cavaliers,
232,Atlanta Hawks,2011,regular,46,2012-03-19,0,Boston Celtics,
233,Atlanta Hawks,2011,regular,47,2012-03-21,0,Cleveland Cavaliers,OT
234,Atlanta Hawks,2011,regular,48,2012-03-23,0,New Jersey Nets,
235,Atlanta Hawks,2011,regular,49,2012-03-24,1,Washington Wizards,
236,Atlanta Hawks,2011,regular,50,2012-03-25,0,Utah Jazz,4OT
237,Atlanta Hawks,2011,regular,51,2012-03-27,1,Milwaukee Bucks,
238,Atlanta Hawks,2011,regular,52,2012-03-28,0,Chicago Bulls,
239,Atlanta Hawks,2011,regular,53,2012-03-30,0,New York Knicks,
240,Atlanta Hawks,2011,regular,54,2012-03-31,1,Philadelphia 76ers,
241,Atlanta Hawks,2011,regular,55,2012-04-04,0,Charlotte Bobcats,
242,Atlanta Hawks,2011,regular,56,2012-04-06,0,Detroit Pistons,
243,Atlanta Hawks,2011,regular,57,2012-04-07,1,Charlotte Bobcats,
244,Atlanta Hawks,2011,regular,58,2012-04-11,1,Boston Celtics,OT
245,Atlanta Hawks,2011,regular,59,2012-04-13,1,Orlando Magic,
246,Atlanta Hawks,2011,regular,60,2012-04-15,0,Toronto Raptors,
247,Atlanta Hawks,2011,regular,61,2012-04-16,1,Toronto Raptors,
248,Atlanta Hawks,2011,regular,62,2012-04-18,0,Detroit Pistons,
249,Atlanta Hawks,2011,regular,63,2012-04-20,0,Boston Celtics,
250,Atlanta Hawks,2011,regular,64,2012-04-22,0,New York Knicks,
251,Atlanta Hawks,2011,regular,65,2012-04-24,0,Los Angeles Clippers,
252,Atlanta Hawks,2011,regular,66,2012-04-26,0,Dallas Mavericks,
253,Atlanta Hawks,2011,post,67,2012-04-29,0,Boston Celtics,
254,Atlanta Hawks,2011,post,68,2012-05-01,0,Boston Celtics,
255,Atlanta Hawks,2011,post,69,2012-05-04,1,Boston Celtics,OT
256,Atlanta Hawks,2011,post,70,2012-05-06,1,Boston Celtics,
257,Atlanta Hawks,2011,post,71,2012-05-08,0,Boston Celtics,
258,Atlanta Hawks,2011,post,72,2012-05-10,1,Boston Celtics,
259,Atlanta Hawks,2012,regular,1,2012-11-02,0,Houston Rockets,
260,Atlanta Hawks,2012,regular,2,2012-11-04,1,Oklahoma City Thunder,
261,Atlanta Hawks,2012,regular,3,2012-11-07,0,Indiana Pacers,
262,Atlanta Hawks,2012,regular,4,2012-11-09,0,Miami Heat,
263,Atlanta Hawks,2012,regular,5,2012-11-11,1,Los Angeles Clippers,
264,Atlanta Hawks,2012,regular,6,2012-11-12,1,Portland Trail Blazers,
265,Atlanta Hawks,2012,regular,7,2012-11-14,1,Golden State Warriors,
266,Atlanta Hawks,2012,regular,8,2012-11-16,1,Sacramento Kings,
267,Atlanta Hawks,2012,regular,9,2012-11-19,0,Orlando Magic,
268,Atlanta Hawks,2012,regular,10,2012-11-21,0,Washington Wizards,OT
269,Atlanta Hawks,2012,regular,11,2012-11-23,1,Charlotte Bobcats,
270,Atlanta Hawks,2012,regular,12,2012-11-24,0,Los Angeles Clippers,
271,Atlanta Hawks,2012,regular,13,2012-11-28,0,Charlotte Bobcats,
272,Atlanta Hawks,2012,regular,14,2012-11-30,0,Cleveland Cavaliers,
273,Atlanta Hawks,2012,regular,15,2012-12-05,0,Denver Nuggets,
274,Atlanta Hawks,2012,regular,16,2012-12-07,0,Washington Wizards,
275,Atlanta Hawks,2012,regular,17,2012-12-08,1,Memphis Grizzlies,
276,Atlanta Hawks,2012,regular,18,2012-12-10,1,Miami Heat,
277,Atlanta Hawks,2012,regular,19,2012-12-12,1,Orlando Magic,
278,Atlanta Hawks,2012,regular,20,2012-12-13,0,Charlotte Bobcats,
279,Atlanta Hawks,2012,regular,21,2012-12-15,0,Golden State Warriors,
280,Atlanta Hawks,2012,regular,22,2012-12-18,1,Washington Wizards,OT
281,Atlanta Hawks,2012,regular,23,2012-12-19,0,Oklahoma City Thunder,
282,Atlanta Hawks,2012,regular,24,2012-12-21,1,Philadelphia 76ers,
283,Atlanta Hawks,2012,regular,25,2012-12-22,0,Chicago Bulls,
284,Atlanta Hawks,2012,regular,26,2012-12-26,0,Detroit Pistons,2OT
285,Atlanta Hawks,2012,regular,27,2012-12-28,1,Cleveland Cavaliers,
286,Atlanta Hawks,2012,regular,28,2012-12-29,0,Indiana Pacers,
287,Atlanta Hawks,2012,regular,29,2012-12-31,1,Houston Rockets,
288,Atlanta Hawks,2012,regular,30,2013-01-01,1,New Orleans Hornets,
289,Atlanta Hawks,2012,regular,31,2013-01-04,1,Detroit Pistons,
290,Atlanta Hawks,2012,regular,32,2013-01-05,0,Boston Celtics,
291,Atlanta Hawks,2012,regular,33,2013-01-08,1,Minnesota Timberwolves,
292,Atlanta Hawks,2012,regular,34,2013-01-09,1,Cleveland Cavaliers,
293,Atlanta Hawks,2012,regular,35,2013-01-11,0,Utah Jazz,
294,Atlanta Hawks,2012,regular,36,2013-01-12,1,Washington Wizards,
295,Atlanta Hawks,2012,regular,37,2013-01-14,1,Chicago Bulls,
296,Atlanta Hawks,2012,regular,38,2013-01-16,0,Brooklyn Nets,
297,Atlanta Hawks,2012,regular,39,2013-01-18,1,Brooklyn Nets,
298,Atlanta Hawks,2012,regular,40,2013-01-19,0,San Antonio Spurs,
299,Atlanta Hawks,2012,regular,41,2013-01-21,0,Minnesota Timberwolves,
300,Atlanta Hawks,2012,regular,42,2013-01-23,1,Charlotte Bobcats,
301,Atlanta Hawks,2012,regular,43,2013-01-25,0,Boston Celtics,2OT
302,Atlanta Hawks,2012,regular,44,2013-01-27,1,New York Knicks,
303,Atlanta Hawks,2012,regular,45,2013-01-30,0,Toronto Raptors,
304,Atlanta Hawks,2012,regular,46,2013-02-02,0,Chicago Bulls,
