,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Boston Celtics,2009,regular,1,2009-10-27,1,Cleveland Cavaliers,
1,Boston Celtics,2009,regular,2,2009-10-28,0,Charlotte Bobcats,
2,Boston Celtics,2009,regular,3,2009-10-30,0,Chicago Bulls,
3,Boston Celtics,2009,regular,4,2009-11-01,0,New Orleans Hornets,
4,Boston Celtics,2009,regular,5,2009-11-03,1,Philadelphia 76ers,
5,Boston Celtics,2009,regular,6,2009-11-04,1,Minnesota Timberwolves,
6,Boston Celtics,2009,regular,7,2009-11-06,0,Phoenix Suns,
7,Boston Celtics,2009,regular,8,2009-11-07,1,New Jersey Nets,
8,Boston Celtics,2009,regular,9,2009-11-11,0,Utah Jazz,
9,Boston Celtics,2009,regular,10,2009-11-13,0,Atlanta Hawks,
10,Boston Celtics,2009,regular,11,2009-11-14,1,Indiana Pacers,
11,Boston Celtics,2009,regular,12,2009-11-18,0,Golden State Warriors,
12,Boston Celtics,2009,regular,13,2009-11-20,0,Orlando Magic,
13,Boston Celtics,2009,regular,14,2009-11-22,1,New York Knicks,OT
14,Boston Celtics,2009,regular,15,2009-11-25,0,Philadelphia 76ers,
15,Boston Celtics,2009,regular,16,2009-11-27,0,Toronto Raptors,
16,Boston Celtics,2009,regular,17,2009-11-29,1,Miami Heat,
17,Boston Celtics,2009,regular,18,2009-12-01,1,Charlotte Bobcats,
18,Boston Celtics,2009,regular,19,2009-12-03,1,San Antonio Spurs,
19,Boston Celtics,2009,regular,20,2009-12-04,1,Oklahoma City Thunder,
20,Boston Celtics,2009,regular,21,2009-12-08,0,Milwaukee Bucks,
21,Boston Celtics,2009,regular,22,2009-12-10,1,Washington Wizards,
22,Boston Celtics,2009,regular,23,2009-12-12,1,Chicago Bulls,
23,Boston Celtics,2009,regular,24,2009-12-14,1,Memphis Grizzlies,
24,Boston Celtics,2009,regular,25,2009-12-18,0,Philadelphia 76ers,
25,Boston Celtics,2009,regular,26,2009-12-20,0,Minnesota Timberwolves,
26,Boston Celtics,2009,regular,27,2009-12-22,0,Indiana Pacers,
27,Boston Celtics,2009,regular,28,2009-12-25,1,Orlando Magic,
28,Boston Celtics,2009,regular,29,2009-12-27,1,Los Angeles Clippers,
29,Boston Celtics,2009,regular,30,2009-12-28,1,Golden State Warriors,
30,Boston Celtics,2009,regular,31,2009-12-30,1,Phoenix Suns,
31,Boston Celtics,2009,regular,32,2010-01-02,0,Toronto Raptors,
32,Boston Celtics,2009,regular,33,2010-01-06,1,Miami Heat,OT
33,Boston Celtics,2009,regular,34,2010-01-08,1,Atlanta Hawks,
34,Boston Celtics,2009,regular,35,2010-01-10,1,Toronto Raptors,
35,Boston Celtics,2009,regular,36,2010-01-11,0,Atlanta Hawks,
36,Boston Celtics,2009,regular,37,2010-01-13,1,New Jersey Nets,
37,Boston Celtics,2009,regular,38,2010-01-14,0,Chicago Bulls,
38,Boston Celtics,2009,regular,39,2010-01-18,0,Dallas Mavericks,
39,Boston Celtics,2009,regular,40,2010-01-20,1,Detroit Pistons,
40,Boston Celtics,2009,regular,41,2010-01-22,0,Portland Trail Blazers,OT
41,Boston Celtics,2009,regular,42,2010-01-25,0,Los Angeles Clippers,
42,Boston Celtics,2009,regular,43,2010-01-28,1,Orlando Magic,
43,Boston Celtics,2009,regular,44,2010-01-29,1,Atlanta Hawks,
44,Boston Celtics,2009,regular,45,2010-01-31,0,Los Angeles Lakers,
45,Boston Celtics,2009,regular,46,2010-02-01,1,Washington Wizards,
46,Boston Celtics,2009,regular,47,2010-02-03,0,Miami Heat,
47,Boston Celtics,2009,regular,48,2010-02-05,0,New Jersey Nets,
48,Boston Celtics,2009,regular,49,2010-02-07,0,Orlando Magic,
49,Boston Celtics,2009,regular,50,2010-02-10,1,New Orleans Hornets,
50,Boston Celtics,2009,regular,51,2010-02-16,1,Sacramento Kings,
51,Boston Celtics,2009,regular,52,2010-02-18,1,Los Angeles Lakers,
52,Boston Celtics,2009,regular,53,2010-02-19,1,Portland Trail Blazers,
53,Boston Celtics,2009,regular,54,2010-02-21,1,Denver Nuggets,
54,Boston Celtics,2009,regular,55,2010-02-23,0,New York Knicks,
55,Boston Celtics,2009,regular,56,2010-02-25,0,Cleveland Cavaliers,
56,Boston Celtics,2009,regular,57,2010-02-27,0,New Jersey Nets,
57,Boston Celtics,2009,regular,58,2010-03-02,1,Detroit Pistons,
58,Boston Celtics,2009,regular,59,2010-03-03,0,Charlotte Bobcats,
59,Boston Celtics,2009,regular,60,2010-03-05,1,Philadelphia 76ers,
60,Boston Celtics,2009,regular,61,2010-03-07,0,Washington Wizards,
61,Boston Celtics,2009,regular,62,2010-03-09,1,Milwaukee Bucks,
62,Boston Celtics,2009,regular,63,2010-03-10,0,Memphis Grizzlies,
63,Boston Celtics,2009,regular,64,2010-03-12,0,Indiana Pacers,
64,Boston Celtics,2009,regular,65,2010-03-14,1,Cleveland Cavaliers,
65,Boston Celtics,2009,regular,66,2010-03-15,0,Detroit Pistons,
66,Boston Celtics,2009,regular,67,2010-03-17,0,New York Knicks,
67,Boston Celtics,2009,regular,68,2010-03-19,1,Houston Rockets,
68,Boston Celtics,2009,regular,69,2010-03-20,1,Dallas Mavericks,
69,Boston Celtics,2009,regular,70,2010-03-22,1,Utah Jazz,
70,Boston Celtics,2009,regular,71,2010-03-24,0,Denver Nuggets,
71,Boston Celtics,2009,regular,72,2010-03-26,0,Sacramento Kings,
72,Boston Celtics,2009,regular,73,2010-03-28,0,San Antonio Spurs,
73,Boston Celtics,2009,regular,74,2010-03-31,0,Oklahoma City Thunder,
74,Boston Celtics,2009,regular,75,2010-04-02,0,Houston Rockets,OT
75,Boston Celtics,2009,regular,76,2010-04-04,0,Cleveland Cavaliers,
76,Boston Celtics,2009,regular,77,2010-04-06,1,New York Knicks,
77,Boston Celtics,2009,regular,78,2010-04-07,1,Toronto Raptors,
78,Boston Celtics,2009,regular,79,2010-04-09,0,Washington Wizards,
79,Boston Celtics,2009,regular,80,2010-04-10,1,Milwaukee Bucks,
80,Boston Celtics,2009,regular,81,2010-04-13,1,Chicago Bulls,
81,Boston Celtics,2009,regular,82,2010-04-14,0,Milwaukee Bucks,
82,Boston Celtics,2009,post,83,2010-04-17,0,Miami Heat,
83,Boston Celtics,2009,post,84,2010-04-20,0,Miami Heat,
84,Boston Celtics,2009,post,85,2010-04-23,1,Miami Heat,
85,Boston Celtics,2009,post,86,2010-04-25,1,Miami Heat,
86,Boston Celtics,2009,post,87,2010-04-27,0,Miami Heat,
87,Boston Celtics,2009,post,88,2010-05-01,1,Cleveland Cavaliers,
88,Boston Celtics,2009,post,89,2010-05-03,1,Cleveland Cavaliers,
89,Boston Celtics,2009,post,90,2010-05-07,0,Cleveland Cavaliers,
90,Boston Celtics,2009,post,91,2010-05-09,0,Cleveland Cavaliers,
91,Boston Celtics,2009,post,92,2010-05-11,1,Cleveland Cavaliers,
92,Boston Celtics,2009,post,93,2010-05-13,0,Cleveland Cavaliers,
93,Boston Celtics,2009,post,94,2010-05-16,1,Orlando Magic,
94,Boston Celtics,2009,post,95,2010-05-18,1,Orlando Magic,
95,Boston Celtics,2009,post,96,2010-05-22,0,Orlando Magic,
96,Boston Celtics,2009,post,97,2010-05-24,0,Orlando Magic,OT
97,Boston Celtics,2009,post,98,2010-05-26,1,Orlando Magic,
98,Boston Celtics,2009,post,99,2010-05-28,0,Orlando Magic,
99,Boston Celtics,2009,post,100,2010-06-03,1,Los Angeles Lakers,
100,Boston Celtics,2009,post,101,2010-06-06,1,Los Angeles Lakers,
101,Boston Celtics,2009,post,102,2010-06-08,0,Los Angeles Lakers,
102,Boston Celtics,2009,post,103,2010-06-10,0,Los Angeles Lakers,
103,Boston Celtics,2009,post,104,2010-06-13,0,Los Angeles Lakers,
104,Boston Celtics,2009,post,105,2010-06-15,1,Los Angeles Lakers,
105,Boston Celtics,2009,post,106,2010-06-17,1,Los Angeles Lakers,
106,Boston Celtics,2010,regular,1,2010-10-26,0,Miami Heat,
107,Boston Celtics,2010,regular,2,2010-10-27,1,Cleveland Cavaliers,
108,Boston Celtics,2010,regular,3,2010-10-29,0,New York Knicks,
109,Boston Celtics,2010,regular,4,2010-11-02,1,Detroit Pistons,
110,Boston Celtics,2010,regular,5,2010-11-03,0,Milwaukee Bucks,OT
111,Boston Celtics,2010,regular,6,2010-11-05,0,Chicago Bulls,OT
112,Boston Celtics,2010,regular,7,2010-11-07,1,Oklahoma City Thunder,
113,Boston Celtics,2010,regular,8,2010-11-08,1,Dallas Mavericks,
114,Boston Celtics,2010,regular,9,2010-11-11,1,Miami Heat,
115,Boston Celtics,2010,regular,10,2010-11-13,1,Memphis Grizzlies,OT
116,Boston Celtics,2010,regular,11,2010-11-17,0,Washington Wizards,
117,Boston Celtics,2010,regular,12,2010-11-19,0,Oklahoma City Thunder,
118,Boston Celtics,2010,regular,13,2010-11-21,1,Toronto Raptors,
119,Boston Celtics,2010,regular,14,2010-11-22,1,Atlanta Hawks,
120,Boston Celtics,2010,regular,15,2010-11-24,0,New Jersey Nets,
121,Boston Celtics,2010,regular,16,2010-11-26,0,Toronto Raptors,
122,Boston Celtics,2010,regular,17,2010-11-30,1,Cleveland Cavaliers,
123,Boston Celtics,2010,regular,18,2010-12-01,0,Portland Trail Blazers,
124,Boston Celtics,2010,regular,19,2010-12-03,0,Chicago Bulls,
125,Boston Celtics,2010,regular,20,2010-12-05,1,New Jersey Nets,
126,Boston Celtics,2010,regular,21,2010-12-08,0,Denver Nuggets,
127,Boston Celtics,2010,regular,22,2010-12-09,1,Philadelphia 76ers,
128,Boston Celtics,2010,regular,23,2010-12-11,1,Charlotte Bobcats,
129,Boston Celtics,2010,regular,24,2010-12-15,1,New York Knicks,
130,Boston Celtics,2010,regular,25,2010-12-16,0,Atlanta Hawks,
131,Boston Celtics,2010,regular,26,2010-12-19,0,Indiana Pacers,
132,Boston Celtics,2010,regular,27,2010-12-22,0,Philadelphia 76ers,
133,Boston Celtics,2010,regular,28,2010-12-25,1,Orlando Magic,
134,Boston Celtics,2010,regular,29,2010-12-28,1,Indiana Pacers,
135,Boston Celtics,2010,regular,30,2010-12-29,1,Detroit Pistons,
136,Boston Celtics,2010,regular,31,2010-12-31,0,New Orleans Hornets,
137,Boston Celtics,2010,regular,32,2011-01-02,1,Toronto Raptors,
138,Boston Celtics,2010,regular,33,2011-01-03,0,Minnesota Timberwolves,
139,Boston Celtics,2010,regular,34,2011-01-05,0,San Antonio Spurs,
140,Boston Celtics,2010,regular,35,2011-01-07,0,Toronto Raptors,
141,Boston Celtics,2010,regular,36,2011-01-08,1,Chicago Bulls,
142,Boston Celtics,2010,regular,37,2011-01-10,0,Houston Rockets,
143,Boston Celtics,2010,regular,38,2011-01-12,0,Sacramento Kings,
144,Boston Celtics,2010,regular,39,2011-01-14,0,Charlotte Bobcats,
145,Boston Celtics,2010,regular,40,2011-01-17,0,Orlando Magic,
146,Boston Celtics,2010,regular,41,2011-01-19,0,Detroit Pistons,
147,Boston Celtics,2010,regular,42,2011-01-21,0,Utah Jazz,
148,Boston Celtics,2010,regular,43,2011-01-22,1,Washington Wizards,
149,Boston Celtics,2010,regular,44,2011-01-25,0,Cleveland Cavaliers,
150,Boston Celtics,2010,regular,45,2011-01-27,1,Portland Trail Blazers,
151,Boston Celtics,2010,regular,46,2011-01-28,1,Phoenix Suns,
152,Boston Celtics,2010,regular,47,2011-01-30,1,Los Angeles Lakers,
153,Boston Celtics,2010,regular,48,2011-02-01,1,Sacramento Kings,
154,Boston Celtics,2010,regular,49,2011-02-04,0,Dallas Mavericks,
155,Boston Celtics,2010,regular,50,2011-02-06,0,Orlando Magic,
156,Boston Celtics,2010,regular,51,2011-02-07,1,Charlotte Bobcats,
157,Boston Celtics,2010,regular,52,2011-02-10,0,Los Angeles Lakers,
158,Boston Celtics,2010,regular,53,2011-02-13,0,Miami Heat,
159,Boston Celtics,2010,regular,54,2011-02-16,0,New Jersey Nets,
160,Boston Celtics,2010,regular,55,2011-02-22,1,Golden State Warriors,
161,Boston Celtics,2010,regular,56,2011-02-24,1,Denver Nuggets,
162,Boston Celtics,2010,regular,57,2011-02-26,1,Los Angeles Clippers,
163,Boston Celtics,2010,regular,58,2011-02-28,1,Utah Jazz,
164,Boston Celtics,2010,regular,59,2011-03-02,0,Phoenix Suns,
165,Boston Celtics,2010,regular,60,2011-03-04,0,Golden State Warriors,
166,Boston Celtics,2010,regular,61,2011-03-06,1,Milwaukee Bucks,
167,Boston Celtics,2010,regular,62,2011-03-09,0,Los Angeles Clippers,
168,Boston Celtics,2010,regular,63,2011-03-11,1,Philadelphia 76ers,
169,Boston Celtics,2010,regular,64,2011-03-13,0,Milwaukee Bucks,
170,Boston Celtics,2010,regular,65,2011-03-14,1,New Jersey Nets,
171,Boston Celtics,2010,regular,66,2011-03-16,0,Indiana Pacers,
172,Boston Celtics,2010,regular,67,2011-03-18,1,Houston Rockets,
173,Boston Celtics,2010,regular,68,2011-03-19,1,New Orleans Hornets,
174,Boston Celtics,2010,regular,69,2011-03-21,1,New York Knicks,
175,Boston Celtics,2010,regular,70,2011-03-23,0,Memphis Grizzlies,
176,Boston Celtics,2010,regular,71,2011-03-25,0,Charlotte Bobcats,
177,Boston Celtics,2010,regular,72,2011-03-27,1,Minnesota Timberwolves,
178,Boston Celtics,2010,regular,73,2011-03-28,1,Indiana Pacers,
179,Boston Celtics,2010,regular,74,2011-03-31,1,San Antonio Spurs,
180,Boston Celtics,2010,regular,75,2011-04-01,1,Atlanta Hawks,
181,Boston Celtics,2010,regular,76,2011-04-03,0,Detroit Pistons,
182,Boston Celtics,2010,regular,77,2011-04-05,0,Philadelphia 76ers,
183,Boston Celtics,2010,regular,78,2011-04-07,1,Chicago Bulls,
184,Boston Celtics,2010,regular,79,2011-04-08,0,Washington Wizards,
185,Boston Celtics,2010,regular,80,2011-04-10,1,Miami Heat,
186,Boston Celtics,2010,regular,81,2011-04-11,1,Washington Wizards,OT
187,Boston Celtics,2010,regular,82,2011-04-13,0,New York Knicks,
188,Boston Celtics,2010,post,83,2011-04-17,0,New York Knicks,
189,Boston Celtics,2010,post,84,2011-04-19,0,New York Knicks,
190,Boston Celtics,2010,post,85,2011-04-22,1,New York Knicks,
191,Boston Celtics,2010,post,86,2011-04-24,1,New York Knicks,
192,Boston Celtics,2010,post,87,2011-05-01,1,Miami Heat,
193,Boston Celtics,2010,post,88,2011-05-03,1,Miami Heat,
194,Boston Celtics,2010,post,89,2011-05-07,0,Miami Heat,
195,Boston Celtics,2010,post,90,2011-05-09,0,Miami Heat,OT
196,Boston Celtics,2010,post,91,2011-05-11,1,Miami Heat,
197,Boston Celtics,2011,regular,1,2011-12-25,1,New York Knicks,
198,Boston Celtics,2011,regular,2,2011-12-27,1,Miami Heat,
199,Boston Celtics,2011,regular,3,2011-12-28,1,New Orleans Hornets,
200,Boston Celtics,2011,regular,4,2011-12-30,0,Detroit Pistons,
201,Boston Celtics,2011,regular,5,2012-01-01,1,Washington Wizards,
202,Boston Celtics,2011,regular,6,2012-01-02,0,Washington Wizards,
203,Boston Celtics,2011,regular,7,2012-01-04,0,New Jersey Nets,
204,Boston Celtics,2011,regular,8,2012-01-06,0,Indiana Pacers,
205,Boston Celtics,2011,regular,9,2012-01-11,0,Dallas Mavericks,
206,Boston Celtics,2011,regular,10,2012-01-13,0,Chicago Bulls,
207,Boston Celtics,2011,regular,11,2012-01-14,1,Indiana Pacers,
208,Boston Celtics,2011,regular,12,2012-01-16,0,Oklahoma City Thunder,
209,Boston Celtics,2011,regular,13,2012-01-18,0,Toronto Raptors,
210,Boston Celtics,2011,regular,14,2012-01-20,0,Phoenix Suns,
211,Boston Celtics,2011,regular,15,2012-01-22,1,Washington Wizards,
212,Boston Celtics,2011,regular,16,2012-01-23,0,Orlando Magic,
213,Boston Celtics,2011,regular,17,2012-01-26,1,Orlando Magic,
214,Boston Celtics,2011,regular,18,2012-01-27,0,Indiana Pacers,
215,Boston Celtics,2011,regular,19,2012-01-29,0,Cleveland Cavaliers,
216,Boston Celtics,2011,regular,20,2012-01-31,1,Cleveland Cavaliers,
217,Boston Celtics,2011,regular,21,2012-02-01,0,Toronto Raptors,
218,Boston Celtics,2011,regular,22,2012-02-03,0,New York Knicks,
219,Boston Celtics,2011,regular,23,2012-02-05,0,Memphis Grizzlies,
220,Boston Celtics,2011,regular,24,2012-02-07,0,Charlotte Bobcats,
221,Boston Celtics,2011,regular,25,2012-02-09,0,Los Angeles Lakers,OT
222,Boston Celtics,2011,regular,26,2012-02-10,1,Toronto Raptors,
223,Boston Celtics,2011,regular,27,2012-02-12,0,Chicago Bulls,
224,Boston Celtics,2011,regular,28,2012-02-15,0,Detroit Pistons,
225,Boston Celtics,2011,regular,29,2012-02-16,1,Chicago Bulls,
226,Boston Celtics,2011,regular,30,2012-02-19,1,Detroit Pistons,
227,Boston Celtics,2011,regular,31,2012-02-20,1,Dallas Mavericks,
228,Boston Celtics,2011,regular,32,2012-02-22,1,Oklahoma City Thunder,
229,Boston Celtics,2011,regular,33,2012-02-28,1,Cleveland Cavaliers,
230,Boston Celtics,2011,regular,34,2012-02-29,0,Milwaukee Bucks,
231,Boston Celtics,2011,regular,35,2012-03-02,0,New Jersey Nets,
232,Boston Celtics,2011,regular,36,2012-03-04,0,New York Knicks,OT
233,Boston Celtics,2011,regular,37,2012-03-06,0,Houston Rockets,OT
234,Boston Celtics,2011,regular,38,2012-03-07,1,Philadelphia 76ers,
235,Boston Celtics,2011,regular,39,2012-03-09,0,Portland Trail Blazers,
236,Boston Celtics,2011,regular,40,2012-03-11,1,Los Angeles Lakers,
237,Boston Celtics,2011,regular,41,2012-03-12,1,Los Angeles Clippers,
238,Boston Celtics,2011,regular,42,2012-03-14,1,Golden State Warriors,
239,Boston Celtics,2011,regular,43,2012-03-16,1,Sacramento Kings,
240,Boston Celtics,2011,regular,44,2012-03-17,1,Denver Nuggets,
241,Boston Celtics,2011,regular,45,2012-03-19,1,Atlanta Hawks,
242,Boston Celtics,2011,regular,46,2012-03-22,1,Milwaukee Bucks,
243,Boston Celtics,2011,regular,47,2012-03-23,1,Philadelphia 76ers,
244,Boston Celtics,2011,regular,48,2012-03-25,0,Washington Wizards,
245,Boston Celtics,2011,regular,49,2012-03-26,1,Charlotte Bobcats,
246,Boston Celtics,2011,regular,50,2012-03-28,0,Utah Jazz,
