,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Brooklyn Nets,2012,regular,1,2012-11-03,0,Toronto Raptors,
1,Brooklyn Nets,2012,regular,2,2012-11-05,0,Minnesota Timberwolves,
2,Brooklyn Nets,2012,regular,3,2012-11-07,1,Miami Heat,
3,Brooklyn Nets,2012,regular,4,2012-11-09,1,Orlando Magic,
4,Brooklyn Nets,2012,regular,5,2012-11-11,0,Orlando Magic,
5,Brooklyn Nets,2012,regular,6,2012-11-13,0,Cleveland Cavaliers,
6,Brooklyn Nets,2012,regular,7,2012-11-15,0,Boston Celtics,
7,Brooklyn Nets,2012,regular,8,2012-11-18,1,Sacramento Kings,
8,Brooklyn Nets,2012,regular,9,2012-11-20,1,Los Angeles Lakers,
9,Brooklyn Nets,2012,regular,10,2012-11-21,1,Golden State Warriors,
10,Brooklyn Nets,2012,regular,11,2012-11-23,0,Los Angeles Clippers,
11,Brooklyn Nets,2012,regular,12,2012-11-25,0,Portland Trail Blazers,
12,Brooklyn Nets,2012,regular,13,2012-11-26,0,New York Knicks,OT
13,Brooklyn Nets,2012,regular,14,2012-11-28,1,Boston Celtics,
14,Brooklyn Nets,2012,regular,15,2012-11-30,1,Orlando Magic,
15,Brooklyn Nets,2012,regular,16,2012-12-01,1,Miami Heat,
16,Brooklyn Nets,2012,regular,17,2012-12-04,0,Oklahoma City Thunder,
17,Brooklyn Nets,2012,regular,18,2012-12-07,0,Golden State Warriors,
18,Brooklyn Nets,2012,regular,19,2012-12-09,0,Milwaukee Bucks,
19,Brooklyn Nets,2012,regular,20,2012-12-11,0,New York Knicks,
20,Brooklyn Nets,2012,regular,21,2012-12-12,1,Toronto Raptors,
21,Brooklyn Nets,2012,regular,22,2012-12-14,0,Detroit Pistons,2OT
22,Brooklyn Nets,2012,regular,23,2012-12-15,1,Chicago Bulls,
23,Brooklyn Nets,2012,regular,24,2012-12-18,0,Utah Jazz,
24,Brooklyn Nets,2012,regular,25,2012-12-19,1,New York Knicks,
25,Brooklyn Nets,2012,regular,26,2012-12-23,0,Philadelphia 76ers,
26,Brooklyn Nets,2012,regular,27,2012-12-25,0,Boston Celtics,
27,Brooklyn Nets,2012,regular,28,2012-12-26,1,Milwaukee Bucks,
28,Brooklyn Nets,2012,regular,29,2012-12-28,0,Charlotte Bobcats,
29,Brooklyn Nets,2012,regular,30,2012-12-29,0,Cleveland Cavaliers,
30,Brooklyn Nets,2012,regular,31,2012-12-31,1,San Antonio Spurs,
31,Brooklyn Nets,2012,regular,32,2013-01-02,1,Oklahoma City Thunder,
32,Brooklyn Nets,2012,regular,33,2013-01-04,1,Washington Wizards,2OT
33,Brooklyn Nets,2012,regular,34,2013-01-05,0,Sacramento Kings,
34,Brooklyn Nets,2012,regular,35,2013-01-08,1,Philadelphia 76ers,
35,Brooklyn Nets,2012,regular,36,2013-01-11,0,Phoenix Suns,
36,Brooklyn Nets,2012,regular,37,2013-01-13,0,Indiana Pacers,
37,Brooklyn Nets,2012,regular,38,2013-01-15,0,Toronto Raptors,
38,Brooklyn Nets,2012,regular,39,2013-01-16,1,Atlanta Hawks,
39,Brooklyn Nets,2012,regular,40,2013-01-18,0,Atlanta Hawks,
40,Brooklyn Nets,2012,regular,41,2013-01-21,1,New York Knicks,
41,Brooklyn Nets,2012,regular,42,2013-01-23,1,Minnesota Timberwolves,
42,Brooklyn Nets,2012,regular,43,2013-01-25,1,Memphis Grizzlies,
43,Brooklyn Nets,2012,regular,44,2013-01-26,1,Houston Rockets,
44,Brooklyn Nets,2012,regular,45,2013-01-28,0,Orlando Magic,
45,Brooklyn Nets,2012,regular,46,2013-01-30,0,Miami Heat,
46,Brooklyn Nets,2012,regular,47,2013-02-01,0,Chicago Bulls,
47,Brooklyn Nets,2012,regular,48,2013-02-05,0,Los Angeles Lakers,
48,Brooklyn Nets,2012,regular,49,2013-02-06,1,Detroit Pistons,
49,Brooklyn Nets,2012,regular,50,2013-02-08,1,Washington Wizards,
50,Brooklyn Nets,2012,regular,51,2013-02-10,0,San Antonio Spurs,
51,Brooklyn Nets,2012,regular,52,2013-02-11,1,Indiana Pacers,OT
52,Brooklyn Nets,2012,regular,53,2013-02-13,0,Denver Nuggets,
53,Brooklyn Nets,2012,regular,54,2013-02-19,0,Milwaukee Bucks,OT
54,Brooklyn Nets,2012,regular,55,2013-02-20,1,Milwaukee Bucks,
55,Brooklyn Nets,2012,regular,56,2013-02-22,0,Houston Rockets,
56,Brooklyn Nets,2012,regular,57,2013-02-24,0,Memphis Grizzlies,
57,Brooklyn Nets,2012,regular,58,2013-02-26,1,New Orleans Hornets,
58,Brooklyn Nets,2012,regular,59,2013-03-01,0,Dallas Mavericks,
59,Brooklyn Nets,2012,regular,60,2013-03-02,1,Chicago Bulls,
