,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Charlotte Bobcats,2009,regular,1,2009-10-28,1,Boston Celtics,
1,Charlotte Bobcats,2009,regular,2,2009-10-30,0,New York Knicks,2OT
2,Charlotte Bobcats,2009,regular,3,2009-10-31,1,Cleveland Cavaliers,
3,Charlotte Bobcats,2009,regular,4,2009-11-02,0,New Jersey Nets,
4,Charlotte Bobcats,2009,regular,5,2009-11-06,0,Atlanta Hawks,
5,Charlotte Bobcats,2009,regular,6,2009-11-07,1,Chicago Bulls,
6,Charlotte Bobcats,2009,regular,7,2009-11-10,0,Orlando Magic,
7,Charlotte Bobcats,2009,regular,8,2009-11-11,1,Detroit Pistons,
8,Charlotte Bobcats,2009,regular,9,2009-11-14,0,Portland Trail Blazers,
9,Charlotte Bobcats,2009,regular,10,2009-11-16,1,Orlando Magic,
10,Charlotte Bobcats,2009,regular,11,2009-11-18,1,Philadelphia 76ers,
11,Charlotte Bobcats,2009,regular,12,2009-11-20,1,Milwaukee Bucks,
12,Charlotte Bobcats,2009,regular,13,2009-11-22,0,Indiana Pacers,
13,Charlotte Bobcats,2009,regular,14,2009-11-25,0,Toronto Raptors,
14,Charlotte Bobcats,2009,regular,15,2009-11-27,0,Cleveland Cavaliers,
15,Charlotte Bobcats,2009,regular,16,2009-11-28,1,Washington Wizards,
16,Charlotte Bobcats,2009,regular,17,2009-12-01,0,Boston Celtics,
17,Charlotte Bobcats,2009,regular,18,2009-12-04,1,New Jersey Nets,
18,Charlotte Bobcats,2009,regular,19,2009-12-05,0,Philadelphia 76ers,
19,Charlotte Bobcats,2009,regular,20,2009-12-08,0,Denver Nuggets,
20,Charlotte Bobcats,2009,regular,21,2009-12-11,1,San Antonio Spurs,
21,Charlotte Bobcats,2009,regular,22,2009-12-12,1,Dallas Mavericks,OT
22,Charlotte Bobcats,2009,regular,23,2009-12-15,0,New York Knicks,
23,Charlotte Bobcats,2009,regular,24,2009-12-16,1,Indiana Pacers,
24,Charlotte Bobcats,2009,regular,25,2009-12-19,0,Utah Jazz,
25,Charlotte Bobcats,2009,regular,26,2009-12-20,1,New York Knicks,
26,Charlotte Bobcats,2009,regular,27,2009-12-22,0,Detroit Pistons,
27,Charlotte Bobcats,2009,regular,28,2009-12-26,1,Oklahoma City Thunder,
28,Charlotte Bobcats,2009,regular,29,2009-12-28,0,Milwaukee Bucks,
29,Charlotte Bobcats,2009,regular,30,2009-12-30,1,Toronto Raptors,
30,Charlotte Bobcats,2009,regular,31,2010-01-02,1,Miami Heat,
31,Charlotte Bobcats,2009,regular,32,2010-01-03,1,Cleveland Cavaliers,
32,Charlotte Bobcats,2009,regular,33,2010-01-05,0,Chicago Bulls,
33,Charlotte Bobcats,2009,regular,34,2010-01-07,1,New York Knicks,
34,Charlotte Bobcats,2009,regular,35,2010-01-09,0,Memphis Grizzlies,
35,Charlotte Bobcats,2009,regular,36,2010-01-12,0,Houston Rockets,
36,Charlotte Bobcats,2009,regular,37,2010-01-15,0,San Antonio Spurs,
37,Charlotte Bobcats,2009,regular,38,2010-01-16,0,Phoenix Suns,
38,Charlotte Bobcats,2009,regular,39,2010-01-18,0,Sacramento Kings,
39,Charlotte Bobcats,2009,regular,40,2010-01-20,0,Miami Heat,
40,Charlotte Bobcats,2009,regular,41,2010-01-22,1,Atlanta Hawks,
41,Charlotte Bobcats,2009,regular,42,2010-01-23,0,Orlando Magic,OT
42,Charlotte Bobcats,2009,regular,43,2010-01-25,1,Denver Nuggets,
43,Charlotte Bobcats,2009,regular,44,2010-01-26,1,Phoenix Suns,OT
44,Charlotte Bobcats,2009,regular,45,2010-01-29,1,Golden State Warriors,
45,Charlotte Bobcats,2009,regular,46,2010-01-30,1,Sacramento Kings,
46,Charlotte Bobcats,2009,regular,47,2010-02-01,1,Portland Trail Blazers,
47,Charlotte Bobcats,2009,regular,48,2010-02-03,1,Los Angeles Lakers,
48,Charlotte Bobcats,2009,regular,49,2010-02-06,0,New Orleans Hornets,
49,Charlotte Bobcats,2009,regular,50,2010-02-09,0,Washington Wizards,
50,Charlotte Bobcats,2009,regular,51,2010-02-10,1,Minnesota Timberwolves,
51,Charlotte Bobcats,2009,regular,52,2010-02-16,0,New Jersey Nets,
52,Charlotte Bobcats,2009,regular,53,2010-02-19,0,Cleveland Cavaliers,
53,Charlotte Bobcats,2009,regular,54,2010-02-20,1,Milwaukee Bucks,
54,Charlotte Bobcats,2009,regular,55,2010-02-22,1,Los Angeles Clippers,
55,Charlotte Bobcats,2009,regular,56,2010-02-24,1,Utah Jazz,
56,Charlotte Bobcats,2009,regular,57,2010-02-26,1,Memphis Grizzlies,
57,Charlotte Bobcats,2009,regular,58,2010-03-01,0,Dallas Mavericks,
58,Charlotte Bobcats,2009,regular,59,2010-03-03,1,Boston Celtics,
