,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Chicago Bulls,2009,regular,1,2009-10-29,0,San Antonio Spurs,
1,Chicago Bulls,2009,regular,2,2009-10-30,1,Boston Celtics,
2,Chicago Bulls,2009,regular,3,2009-11-01,1,Miami Heat,
3,Chicago Bulls,2009,regular,4,2009-11-03,0,Milwaukee Bucks,
4,Chicago Bulls,2009,regular,5,2009-11-05,1,Cleveland Cavaliers,
5,Chicago Bulls,2009,regular,6,2009-11-07,0,Charlotte Bobcats,
6,Chicago Bulls,2009,regular,7,2009-11-10,0,Denver Nuggets,
7,Chicago Bulls,2009,regular,8,2009-11-11,1,Toronto Raptors,
8,Chicago Bulls,2009,regular,9,2009-11-14,0,Philadelphia 76ers,
9,Chicago Bulls,2009,regular,10,2009-11-17,1,Sacramento Kings,
10,Chicago Bulls,2009,regular,11,2009-11-19,1,Los Angeles Lakers,
11,Chicago Bulls,2009,regular,12,2009-11-21,1,Denver Nuggets,
12,Chicago Bulls,2009,regular,13,2009-11-23,1,Portland Trail Blazers,
13,Chicago Bulls,2009,regular,14,2009-11-26,1,Utah Jazz,
14,Chicago Bulls,2009,regular,15,2009-11-30,1,Milwaukee Bucks,
15,Chicago Bulls,2009,regular,16,2009-12-02,0,Detroit Pistons,
16,Chicago Bulls,2009,regular,17,2009-12-04,1,Cleveland Cavaliers,
17,Chicago Bulls,2009,regular,18,2009-12-05,0,Toronto Raptors,
18,Chicago Bulls,2009,regular,19,2009-12-08,0,New Jersey Nets,
19,Chicago Bulls,2009,regular,20,2009-12-09,1,Atlanta Hawks,
20,Chicago Bulls,2009,regular,21,2009-12-11,0,Golden State Warriors,OT
21,Chicago Bulls,2009,regular,22,2009-12-12,0,Boston Celtics,
22,Chicago Bulls,2009,regular,23,2009-12-15,0,Los Angeles Lakers,
23,Chicago Bulls,2009,regular,24,2009-12-17,0,New York Knicks,
24,Chicago Bulls,2009,regular,25,2009-12-19,0,Atlanta Hawks,OT
25,Chicago Bulls,2009,regular,26,2009-12-21,0,Sacramento Kings,
26,Chicago Bulls,2009,regular,27,2009-12-22,1,New York Knicks,
27,Chicago Bulls,2009,regular,28,2009-12-26,0,New Orleans Hornets,
28,Chicago Bulls,2009,regular,29,2009-12-29,0,Indiana Pacers,
29,Chicago Bulls,2009,regular,30,2009-12-31,1,Detroit Pistons,
30,Chicago Bulls,2009,regular,31,2010-01-02,0,Orlando Magic,
31,Chicago Bulls,2009,regular,32,2010-01-04,0,Oklahoma City Thunder,
32,Chicago Bulls,2009,regular,33,2010-01-05,1,Charlotte Bobcats,
33,Chicago Bulls,2009,regular,34,2010-01-08,1,Milwaukee Bucks,
34,Chicago Bulls,2009,regular,35,2010-01-09,0,Minnesota Timberwolves,
35,Chicago Bulls,2009,regular,36,2010-01-11,0,Detroit Pistons,
36,Chicago Bulls,2009,regular,37,2010-01-14,1,Boston Celtics,
37,Chicago Bulls,2009,regular,38,2010-01-15,0,Washington Wizards,2OT
38,Chicago Bulls,2009,regular,39,2010-01-18,1,Golden State Warriors,
39,Chicago Bulls,2009,regular,40,2010-01-20,1,Los Angeles Clippers,
40,Chicago Bulls,2009,regular,41,2010-01-22,1,Phoenix Suns,
41,Chicago Bulls,2009,regular,42,2010-01-23,1,Houston Rockets,
42,Chicago Bulls,2009,regular,43,2010-01-25,1,San Antonio Spurs,
43,Chicago Bulls,2009,regular,44,2010-01-27,1,Oklahoma City Thunder,
44,Chicago Bulls,2009,regular,45,2010-01-29,1,New Orleans Hornets,OT
45,Chicago Bulls,2009,regular,46,2010-02-02,0,Los Angeles Clippers,
46,Chicago Bulls,2009,regular,47,2010-02-03,1,Philadelphia 76ers,OT
47,Chicago Bulls,2009,regular,48,2010-02-05,1,Atlanta Hawks,
48,Chicago Bulls,2009,regular,49,2010-02-06,0,Miami Heat,
49,Chicago Bulls,2009,regular,50,2010-02-09,1,Indiana Pacers,
50,Chicago Bulls,2009,regular,51,2010-02-10,0,Orlando Magic,
51,Chicago Bulls,2009,regular,52,2010-02-16,0,New York Knicks,
52,Chicago Bulls,2009,regular,53,2010-02-17,1,New York Knicks,
53,Chicago Bulls,2009,regular,54,2010-02-19,1,Minnesota Timberwolves,
54,Chicago Bulls,2009,regular,55,2010-02-20,0,Philadelphia 76ers,
55,Chicago Bulls,2009,regular,56,2010-02-22,1,Washington Wizards,
56,Chicago Bulls,2009,regular,57,2010-02-24,0,Indiana Pacers,
57,Chicago Bulls,2009,regular,58,2010-02-26,0,Portland Trail Blazers,OT
58,Chicago Bulls,2009,regular,59,2010-02-27,1,Indiana Pacers,
59,Chicago Bulls,2009,regular,60,2010-03-01,0,Atlanta Hawks,
60,Chicago Bulls,2009,regular,61,2010-03-04,0,Memphis Grizzlies,
61,Chicago Bulls,2009,regular,62,2010-03-06,0,Dallas Mavericks,
62,Chicago Bulls,2009,regular,63,2010-03-09,0,Utah Jazz,
63,Chicago Bulls,2009,regular,64,2010-03-11,1,Orlando Magic,
64,Chicago Bulls,2009,regular,65,2010-03-12,1,Miami Heat,
65,Chicago Bulls,2009,regular,66,2010-03-16,1,Memphis Grizzlies,
66,Chicago Bulls,2009,regular,67,2010-03-17,1,Dallas Mavericks,
67,Chicago Bulls,2009,regular,68,2010-03-19,0,Cleveland Cavaliers,
68,Chicago Bulls,2009,regular,69,2010-03-20,1,Philadelphia 76ers,
69,Chicago Bulls,2009,regular,70,2010-03-22,0,Houston Rockets,
70,Chicago Bulls,2009,regular,71,2010-03-25,0,Miami Heat,
71,Chicago Bulls,2009,regular,72,2010-03-27,0,New Jersey Nets,
72,Chicago Bulls,2009,regular,73,2010-03-28,1,Detroit Pistons,
73,Chicago Bulls,2009,regular,74,2010-03-30,0,Phoenix Suns,
74,Chicago Bulls,2009,regular,75,2010-04-02,1,Washington Wizards,
75,Chicago Bulls,2009,regular,76,2010-04-03,0,Charlotte Bobcats,
76,Chicago Bulls,2009,regular,77,2010-04-06,0,Milwaukee Bucks,
77,Chicago Bulls,2009,regular,78,2010-04-08,0,Cleveland Cavaliers,
78,Chicago Bulls,2009,regular,79,2010-04-09,1,New Jersey Nets,2OT
79,Chicago Bulls,2009,regular,80,2010-04-11,1,Toronto Raptors,
80,Chicago Bulls,2009,regular,81,2010-04-13,0,Boston Celtics,
81,Chicago Bulls,2009,regular,82,2010-04-14,1,Charlotte Bobcats,
82,Chicago Bulls,2009,post,83,2010-04-17,1,Cleveland Cavaliers,
83,Chicago Bulls,2009,post,84,2010-04-19,1,Cleveland Cavaliers,
84,Chicago Bulls,2009,post,85,2010-04-22,0,Cleveland Cavaliers,
85,Chicago Bulls,2009,post,86,2010-04-25,0,Cleveland Cavaliers,
86,Chicago Bulls,2009,post,87,2010-04-27,1,Cleveland Cavaliers,
87,Chicago Bulls,2010,regular,1,2010-10-27,1,Oklahoma City Thunder,
88,Chicago Bulls,2010,regular,2,2010-10-30,0,Detroit Pistons,
89,Chicago Bulls,2010,regular,3,2010-11-01,0,Portland Trail Blazers,
90,Chicago Bulls,2010,regular,4,2010-11-04,0,New York Knicks,
91,Chicago Bulls,2010,regular,5,2010-11-05,1,Boston Celtics,OT
92,Chicago Bulls,2010,regular,6,2010-11-08,0,Denver Nuggets,
93,Chicago Bulls,2010,regular,7,2010-11-11,0,Golden State Warriors,
94,Chicago Bulls,2010,regular,8,2010-11-13,0,Washington Wizards,
95,Chicago Bulls,2010,regular,9,2010-11-16,1,Houston Rockets,
96,Chicago Bulls,2010,regular,10,2010-11-17,1,San Antonio Spurs,
97,Chicago Bulls,2010,regular,11,2010-11-19,1,Dallas Mavericks,
98,Chicago Bulls,2010,regular,12,2010-11-23,1,Los Angeles Lakers,
99,Chicago Bulls,2010,regular,13,2010-11-24,1,Phoenix Suns,2OT
100,Chicago Bulls,2010,regular,14,2010-11-26,1,Denver Nuggets,
101,Chicago Bulls,2010,regular,15,2010-11-27,1,Sacramento Kings,
102,Chicago Bulls,2010,regular,16,2010-12-01,0,Orlando Magic,
103,Chicago Bulls,2010,regular,17,2010-12-03,1,Boston Celtics,
104,Chicago Bulls,2010,regular,18,2010-12-04,0,Houston Rockets,OT
105,Chicago Bulls,2010,regular,19,2010-12-06,0,Oklahoma City Thunder,
106,Chicago Bulls,2010,regular,20,2010-12-08,1,Cleveland Cavaliers,
107,Chicago Bulls,2010,regular,21,2010-12-10,0,Los Angeles Lakers,
108,Chicago Bulls,2010,regular,22,2010-12-11,0,Minnesota Timberwolves,
109,Chicago Bulls,2010,regular,23,2010-12-13,0,Indiana Pacers,
110,Chicago Bulls,2010,regular,24,2010-12-15,1,Toronto Raptors,
111,Chicago Bulls,2010,regular,25,2010-12-18,0,Los Angeles Clippers,
112,Chicago Bulls,2010,regular,26,2010-12-21,0,Philadelphia 76ers,
113,Chicago Bulls,2010,regular,27,2010-12-22,1,Washington Wizards,
