,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Charlotte Hornets,2014,regular,1,2014-10-29,0,Milwaukee Bucks,OT
1,Charlotte Hornets,2014,regular,2,2014-11-01,0,Memphis Grizzlies,
2,Charlotte Hornets,2014,regular,3,2014-11-02,1,New York Knicks,
3,Charlotte Hornets,2014,regular,4,2014-11-04,1,New Orleans Pelicans,
4,Charlotte Hornets,2014,regular,5,2014-11-05,0,Miami Heat,
5,Charlotte Hornets,2014,regular,6,2014-11-07,0,Atlanta Hawks,2OT
6,Charlotte Hornets,2014,regular,7,2014-11-09,1,Los Angeles Lakers,
7,Charlotte Hornets,2014,regular,8,2014-11-11,1,Portland Trail Blazers,
8,Charlotte Hornets,2014,regular,9,2014-11-14,1,Phoenix Suns,
9,Charlotte Hornets,2014,regular,10,2014-11-15,1,Golden State Warriors,
10,Charlotte Hornets,2014,regular,11,2014-11-17,0,Dallas Mavericks,
11,Charlotte Hornets,2014,regular,12,2014-11-19,1,Indiana Pacers,
12,Charlotte Hornets,2014,regular,13,2014-11-21,0,Orlando Magic,
13,Charlotte Hornets,2014,regular,14,2014-11-23,1,Miami Heat,
14,Charlotte Hornets,2014,regular,15,2014-11-24,0,Los Angeles Clippers,
15,Charlotte Hornets,2014,regular,16,2014-11-26,0,Portland Trail Blazers,
16,Charlotte Hornets,2014,regular,17,2014-11-28,0,Golden State Warriors,
17,Charlotte Hornets,2014,regular,18,2014-11-29,1,Atlanta Hawks,
18,Charlotte Hornets,2014,regular,19,2014-12-03,0,Chicago Bulls,
19,Charlotte Hornets,2014,regular,20,2014-12-05,0,New York Knicks,
20,Charlotte Hornets,2014,regular,21,2014-12-10,0,Boston Celtics,
21,Charlotte Hornets,2014,regular,22,2014-12-12,1,Memphis Grizzlies,2OT
22,Charlotte Hornets,2014,regular,23,2014-12-13,0,Brooklyn Nets,
23,Charlotte Hornets,2014,regular,24,2014-12-15,1,Cleveland Cavaliers,
24,Charlotte Hornets,2014,regular,25,2014-12-17,0,Phoenix Suns,
25,Charlotte Hornets,2014,regular,26,2014-12-19,1,Philadelphia 76ers,
26,Charlotte Hornets,2014,regular,27,2014-12-20,0,Utah Jazz,
27,Charlotte Hornets,2014,regular,28,2014-12-22,0,Denver Nuggets,
28,Charlotte Hornets,2014,regular,29,2014-12-23,1,Milwaukee Bucks,
29,Charlotte Hornets,2014,regular,30,2014-12-26,1,Oklahoma City Thunder,
30,Charlotte Hornets,2014,regular,31,2014-12-27,0,Orlando Magic,
31,Charlotte Hornets,2014,regular,32,2014-12-29,0,Milwaukee Bucks,OT
32,Charlotte Hornets,2014,regular,33,2014-12-31,1,Houston Rockets,
33,Charlotte Hornets,2014,regular,34,2015-01-02,0,Cleveland Cavaliers,
34,Charlotte Hornets,2014,regular,35,2015-01-03,1,Orlando Magic,
35,Charlotte Hornets,2014,regular,36,2015-01-05,1,Boston Celtics,
36,Charlotte Hornets,2014,regular,37,2015-01-07,0,New Orleans Pelicans,
37,Charlotte Hornets,2014,regular,38,2015-01-08,1,Toronto Raptors,
38,Charlotte Hornets,2014,regular,39,2015-01-10,1,New York Knicks,
39,Charlotte Hornets,2014,regular,40,2015-01-14,0,San Antonio Spurs,
40,Charlotte Hornets,2014,regular,41,2015-01-17,0,Indiana Pacers,OT
41,Charlotte Hornets,2014,regular,42,2015-01-19,0,Minnesota Timberwolves,
42,Charlotte Hornets,2014,regular,43,2015-01-21,0,Miami Heat,
43,Charlotte Hornets,2014,regular,44,2015-01-23,1,Cleveland Cavaliers,
44,Charlotte Hornets,2014,regular,45,2015-01-24,0,New York Knicks,
45,Charlotte Hornets,2014,regular,46,2015-01-28,1,San Antonio Spurs,
46,Charlotte Hornets,2014,regular,47,2015-01-31,1,Denver Nuggets,
47,Charlotte Hornets,2014,regular,48,2015-02-02,1,Washington Wizards,
48,Charlotte Hornets,2014,regular,49,2015-02-05,0,Washington Wizards,
49,Charlotte Hornets,2014,regular,50,2015-02-07,1,Philadelphia 76ers,
50,Charlotte Hornets,2014,regular,51,2015-02-08,0,Indiana Pacers,
51,Charlotte Hornets,2014,regular,52,2015-02-10,0,Detroit Pistons,
52,Charlotte Hornets,2014,regular,53,2015-02-21,0,Oklahoma City Thunder,
53,Charlotte Hornets,2014,regular,54,2015-02-22,1,Dallas Mavericks,
54,Charlotte Hornets,2014,regular,55,2015-02-25,1,Chicago Bulls,
55,Charlotte Hornets,2014,regular,56,2015-02-27,1,Boston Celtics,
56,Charlotte Hornets,2014,regular,57,2015-03-01,1,Orlando Magic,
57,Charlotte Hornets,2014,regular,58,2015-03-03,0,Los Angeles Lakers,
58,Charlotte Hornets,2014,regular,59,2015-03-04,1,Brooklyn Nets,
59,Charlotte Hornets,2014,regular,60,2015-03-06,0,Toronto Raptors,
60,Charlotte Hornets,2014,regular,61,2015-03-08,1,Detroit Pistons,
61,Charlotte Hornets,2014,regular,62,2015-03-09,0,Washington Wizards,
62,Charlotte Hornets,2014,regular,63,2015-03-11,0,Sacramento Kings,
63,Charlotte Hornets,2014,regular,64,2015-03-13,0,Chicago Bulls,
64,Charlotte Hornets,2014,regular,65,2015-03-16,1,Utah Jazz,
65,Charlotte Hornets,2014,regular,66,2015-03-17,1,Los Angeles Clippers,
66,Charlotte Hornets,2014,regular,67,2015-03-20,1,Sacramento Kings,
67,Charlotte Hornets,2014,regular,68,2015-03-22,1,Minnesota Timberwolves,
68,Charlotte Hornets,2014,regular,69,2015-03-23,1,Chicago Bulls,
69,Charlotte Hornets,2014,regular,70,2015-03-25,0,Brooklyn Nets,
70,Charlotte Hornets,2014,regular,71,2015-03-27,1,Washington Wizards,2OT
71,Charlotte Hornets,2014,regular,72,2015-03-28,0,Atlanta Hawks,
72,Charlotte Hornets,2014,regular,73,2015-03-30,0,Boston Celtics,
73,Charlotte Hornets,2014,regular,74,2015-04-01,0,Detroit Pistons,
74,Charlotte Hornets,2014,regular,75,2015-04-03,1,Indiana Pacers,
75,Charlotte Hornets,2014,regular,76,2015-04-04,0,Philadelphia 76ers,
76,Charlotte Hornets,2014,regular,77,2015-04-07,1,Miami Heat,
77,Charlotte Hornets,2014,regular,78,2015-04-08,0,Toronto Raptors,
78,Charlotte Hornets,2014,regular,79,2015-04-10,1,Atlanta Hawks,
79,Charlotte Hornets,2014,regular,80,2015-04-12,1,Detroit Pistons,
80,Charlotte Hornets,2014,regular,81,2015-04-13,0,Houston Rockets,
81,Charlotte Hornets,2014,regular,82,2015-04-15,1,Toronto Raptors,
82,Charlotte Hornets,2015,regular,1,2015-10-28,1,Miami Heat,
83,Charlotte Hornets,2015,regular,2,2015-10-30,1,Atlanta Hawks,
84,Charlotte Hornets,2015,regular,3,2015-11-01,0,Atlanta Hawks,
85,Charlotte Hornets,2015,regular,4,2015-11-03,0,Chicago Bulls,
86,Charlotte Hornets,2015,regular,5,2015-11-05,1,Dallas Mavericks,
87,Charlotte Hornets,2015,regular,6,2015-11-07,1,San Antonio Spurs,
88,Charlotte Hornets,2015,regular,7,2015-11-10,1,Minnesota Timberwolves,
89,Charlotte Hornets,2015,regular,8,2015-11-11,0,New York Knicks,
90,Charlotte Hornets,2015,regular,9,2015-11-13,1,Chicago Bulls,
91,Charlotte Hornets,2015,regular,10,2015-11-15,0,Portland Trail Blazers,
92,Charlotte Hornets,2015,regular,11,2015-11-17,1,New York Knicks,
93,Charlotte Hornets,2015,regular,12,2015-11-18,0,Brooklyn Nets,
94,Charlotte Hornets,2015,regular,13,2015-11-20,0,Philadelphia 76ers,
95,Charlotte Hornets,2015,regular,14,2015-11-23,0,Sacramento Kings,OT
96,Charlotte Hornets,2015,regular,15,2015-11-25,0,Washington Wizards,
97,Charlotte Hornets,2015,regular,16,2015-11-27,0,Cleveland Cavaliers,
98,Charlotte Hornets,2015,regular,17,2015-11-29,0,Milwaukee Bucks,
99,Charlotte Hornets,2015,regular,18,2015-12-02,0,Golden State Warriors,
100,Charlotte Hornets,2015,regular,19,2015-12-05,1,Chicago Bulls,
