,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Cleveland Cavaliers,2009,regular,1,2009-10-27,0,Boston Celtics,
1,Cleveland Cavaliers,2009,regular,2,2009-10-28,1,Toronto Raptors,
2,Cleveland Cavaliers,2009,regular,3,2009-10-30,1,Minnesota Timberwolves,
3,Cleveland Cavaliers,2009,regular,4,2009-10-31,0,Charlotte Bobcats,
4,Cleveland Cavaliers,2009,regular,5,2009-11-03,0,Washington Wizards,
5,Cleveland Cavaliers,2009,regular,6,2009-11-05,0,Chicago Bulls,
6,Cleveland Cavaliers,2009,regular,7,2009-11-06,1,New York Knicks,
7,Cleveland Cavaliers,2009,regular,8,2009-11-11,1,Orlando Magic,
8,Cleveland Cavaliers,2009,regular,9,2009-11-12,1,Miami Heat,
9,Cleveland Cavaliers,2009,regular,10,2009-11-14,0,Utah Jazz,
10,Cleveland Cavaliers,2009,regular,11,2009-11-17,0,Golden State Warriors,
11,Cleveland Cavaliers,2009,regular,12,2009-11-18,1,Washington Wizards,
12,Cleveland Cavaliers,2009,regular,13,2009-11-20,1,Indiana Pacers,
13,Cleveland Cavaliers,2009,regular,14,2009-11-21,0,Philadelphia 76ers,
14,Cleveland Cavaliers,2009,regular,15,2009-11-25,1,Detroit Pistons,
15,Cleveland Cavaliers,2009,regular,16,2009-11-27,1,Charlotte Bobcats,
16,Cleveland Cavaliers,2009,regular,17,2009-11-28,0,Dallas Mavericks,
17,Cleveland Cavaliers,2009,regular,18,2009-12-02,0,Phoenix Suns,
18,Cleveland Cavaliers,2009,regular,19,2009-12-04,0,Chicago Bulls,
19,Cleveland Cavaliers,2009,regular,20,2009-12-06,1,Milwaukee Bucks,
20,Cleveland Cavaliers,2009,regular,21,2009-12-08,1,Memphis Grizzlies,OT
21,Cleveland Cavaliers,2009,regular,22,2009-12-09,1,Houston Rockets,
22,Cleveland Cavaliers,2009,regular,23,2009-12-11,0,Portland Trail Blazers,
23,Cleveland Cavaliers,2009,regular,24,2009-12-13,1,Oklahoma City Thunder,
24,Cleveland Cavaliers,2009,regular,25,2009-12-15,0,New Jersey Nets,
25,Cleveland Cavaliers,2009,regular,26,2009-12-16,1,Philadelphia 76ers,
26,Cleveland Cavaliers,2009,regular,27,2009-12-18,0,Milwaukee Bucks,
