,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Dallas Mavericks,2009,regular,1,2009-10-27,0,Washington Wizards,
1,Dallas Mavericks,2009,regular,2,2009-10-30,1,Los Angeles Lakers,
2,Dallas Mavericks,2009,regular,3,2009-10-31,1,Los Angeles Clippers,
3,Dallas Mavericks,2009,regular,4,2009-11-03,0,Utah Jazz,
4,Dallas Mavericks,2009,regular,5,2009-11-04,1,New Orleans Hornets,OT
5,Dallas Mavericks,2009,regular,6,2009-11-07,0,Toronto Raptors,
6,Dallas Mavericks,2009,regular,7,2009-11-10,0,Houston Rockets,
7,Dallas Mavericks,2009,regular,8,2009-11-11,1,San Antonio Spurs,
8,Dallas Mavericks,2009,regular,9,2009-11-13,1,Minnesota Timberwolves,
9,Dallas Mavericks,2009,regular,10,2009-11-15,1,Detroit Pistons,
10,Dallas Mavericks,2009,regular,11,2009-11-16,1,Milwaukee Bucks,OT
11,Dallas Mavericks,2009,regular,12,2009-11-18,0,San Antonio Spurs,OT
12,Dallas Mavericks,2009,regular,13,2009-11-20,0,Sacramento Kings,
13,Dallas Mavericks,2009,regular,14,2009-11-24,0,Golden State Warriors,
14,Dallas Mavericks,2009,regular,15,2009-11-25,1,Houston Rockets,
15,Dallas Mavericks,2009,regular,16,2009-11-27,1,Indiana Pacers,
16,Dallas Mavericks,2009,regular,17,2009-11-28,1,Cleveland Cavaliers,
17,Dallas Mavericks,2009,regular,18,2009-11-30,0,Philadelphia 76ers,
18,Dallas Mavericks,2009,regular,19,2009-12-02,1,New Jersey Nets,
19,Dallas Mavericks,2009,regular,20,2009-12-04,1,Memphis Grizzlies,
20,Dallas Mavericks,2009,regular,21,2009-12-05,0,Atlanta Hawks,
21,Dallas Mavericks,2009,regular,22,2009-12-08,0,Phoenix Suns,
22,Dallas Mavericks,2009,regular,23,2009-12-11,1,Miami Heat,
23,Dallas Mavericks,2009,regular,24,2009-12-12,0,Charlotte Bobcats,OT
