,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Denver Nuggets,2009,regular,1,2009-10-28,0,Utah Jazz,
1,Denver Nuggets,2009,regular,2,2009-10-29,1,Portland Trail Blazers,
2,Denver Nuggets,2009,regular,3,2009-11-01,0,Memphis Grizzlies,
3,Denver Nuggets,2009,regular,4,2009-11-03,1,Indiana Pacers,
4,Denver Nuggets,2009,regular,5,2009-11-04,1,New Jersey Nets,
5,Denver Nuggets,2009,regular,6,2009-11-06,1,Miami Heat,
6,Denver Nuggets,2009,regular,7,2009-11-07,1,Atlanta Hawks,
7,Denver Nuggets,2009,regular,8,2009-11-10,1,Chicago Bulls,
8,Denver Nuggets,2009,regular,9,2009-11-11,1,Milwaukee Bucks,
9,Denver Nuggets,2009,regular,10,2009-11-13,0,Los Angeles Lakers,
10,Denver Nuggets,2009,regular,11,2009-11-17,0,Toronto Raptors,
11,Denver Nuggets,2009,regular,12,2009-11-20,1,Los Angeles Clippers,
12,Denver Nuggets,2009,regular,13,2009-11-21,0,Chicago Bulls,
13,Denver Nuggets,2009,regular,14,2009-11-24,0,New Jersey Nets,
14,Denver Nuggets,2009,regular,15,2009-11-25,1,Minnesota Timberwolves,
15,Denver Nuggets,2009,regular,16,2009-11-27,0,New York Knicks,
16,Denver Nuggets,2009,regular,17,2009-11-29,0,Minnesota Timberwolves,
17,Denver Nuggets,2009,regular,18,2009-12-01,0,Golden State Warriors,
18,Denver Nuggets,2009,regular,19,2009-12-03,0,Miami Heat,
19,Denver Nuggets,2009,regular,20,2009-12-05,1,San Antonio Spurs,
20,Denver Nuggets,2009,regular,21,2009-12-07,1,Philadelphia 76ers,
21,Denver Nuggets,2009,regular,22,2009-12-08,1,Charlotte Bobcats,
22,Denver Nuggets,2009,regular,23,2009-12-10,1,Detroit Pistons,
23,Denver Nuggets,2009,regular,24,2009-12-12,0,Phoenix Suns,
24,Denver Nuggets,2009,regular,25,2009-12-14,0,Oklahoma City Thunder,
25,Denver Nuggets,2009,regular,26,2009-12-16,0,Houston Rockets,
26,Denver Nuggets,2009,regular,27,2009-12-18,1,New Orleans Hornets,
27,Denver Nuggets,2009,regular,28,2009-12-20,1,Memphis Grizzlies,
