,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Detroit Pistons,2009,regular,1,2009-10-28,1,Memphis Grizzlies,
1,Detroit Pistons,2009,regular,2,2009-10-30,0,Oklahoma City Thunder,
2,Detroit Pistons,2009,regular,3,2009-10-31,1,Milwaukee Bucks,
3,Detroit Pistons,2009,regular,4,2009-11-03,0,Orlando Magic,
4,Detroit Pistons,2009,regular,5,2009-11-04,1,Toronto Raptors,
5,Detroit Pistons,2009,regular,6,2009-11-06,1,Orlando Magic,
6,Detroit Pistons,2009,regular,7,2009-11-08,0,Philadelphia 76ers,
7,Detroit Pistons,2009,regular,8,2009-11-11,0,Charlotte Bobcats,
8,Detroit Pistons,2009,regular,9,2009-11-14,1,Washington Wizards,
9,Detroit Pistons,2009,regular,10,2009-11-15,0,Dallas Mavericks,
10,Detroit Pistons,2009,regular,11,2009-11-17,1,Los Angeles Lakers,
11,Detroit Pistons,2009,regular,12,2009-11-18,1,Portland Trail Blazers,
12,Detroit Pistons,2009,regular,13,2009-11-21,1,Utah Jazz,OT
13,Detroit Pistons,2009,regular,14,2009-11-22,1,Phoenix Suns,
14,Detroit Pistons,2009,regular,15,2009-11-25,0,Cleveland Cavaliers,
15,Detroit Pistons,2009,regular,16,2009-11-27,0,Los Angeles Clippers,
16,Detroit Pistons,2009,regular,17,2009-11-29,0,Atlanta Hawks,
17,Detroit Pistons,2009,regular,18,2009-12-02,1,Chicago Bulls,
18,Detroit Pistons,2009,regular,19,2009-12-04,0,Milwaukee Bucks,
19,Detroit Pistons,2009,regular,20,2009-12-06,0,Washington Wizards,
20,Detroit Pistons,2009,regular,21,2009-12-09,1,Philadelphia 76ers,
21,Detroit Pistons,2009,regular,22,2009-12-10,0,Denver Nuggets,
22,Detroit Pistons,2009,regular,23,2009-12-12,0,Golden State Warriors,
23,Detroit Pistons,2009,regular,24,2009-12-15,1,Houston Rockets,
24,Detroit Pistons,2009,regular,25,2009-12-16,1,New Orleans Hornets,
25,Detroit Pistons,2009,regular,26,2009-12-18,1,Oklahoma City Thunder,
26,Detroit Pistons,2009,regular,27,2009-12-20,0,Los Angeles Lakers,
27,Detroit Pistons,2009,regular,28,2009-12-22,1,Charlotte Bobcats,
28,Detroit Pistons,2009,regular,29,2009-12-23,0,Toronto Raptors,
29,Detroit Pistons,2009,regular,30,2009-12-27,1,Toronto Raptors,
30,Detroit Pistons,2009,regular,31,2009-12-29,0,New York Knicks,
31,Detroit Pistons,2009,regular,32,2009-12-31,0,Chicago Bulls,
