,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Houston Rockets,2009,regular,1,2009-10-27,1,Portland Trail Blazers,
1,Houston Rockets,2009,regular,2,2009-10-28,1,Golden State Warriors,
2,Houston Rockets,2009,regular,3,2009-10-31,0,Portland Trail Blazers,
3,Houston Rockets,2009,regular,4,2009-11-02,1,Utah Jazz,
4,Houston Rockets,2009,regular,5,2009-11-04,0,Los Angeles Lakers,OT
5,Houston Rockets,2009,regular,6,2009-11-06,0,Oklahoma City Thunder,
6,Houston Rockets,2009,regular,7,2009-11-10,1,Dallas Mavericks,
7,Houston Rockets,2009,regular,8,2009-11-11,0,Memphis Grizzlies,
8,Houston Rockets,2009,regular,9,2009-11-13,1,Sacramento Kings,
9,Houston Rockets,2009,regular,10,2009-11-15,1,Los Angeles Lakers,
10,Houston Rockets,2009,regular,11,2009-11-17,0,Phoenix Suns,
11,Houston Rockets,2009,regular,12,2009-11-18,1,Minnesota Timberwolves,
12,Houston Rockets,2009,regular,13,2009-11-20,1,Atlanta Hawks,
13,Houston Rockets,2009,regular,14,2009-11-21,0,Sacramento Kings,
14,Houston Rockets,2009,regular,15,2009-11-25,0,Dallas Mavericks,
15,Houston Rockets,2009,regular,16,2009-11-27,0,San Antonio Spurs,
16,Houston Rockets,2009,regular,17,2009-11-29,1,Oklahoma City Thunder,
17,Houston Rockets,2009,regular,18,2009-12-02,1,Los Angeles Clippers,
18,Houston Rockets,2009,regular,19,2009-12-03,1,Golden State Warriors,
19,Houston Rockets,2009,regular,20,2009-12-05,1,Portland Trail Blazers,
20,Houston Rockets,2009,regular,21,2009-12-09,0,Cleveland Cavaliers,
21,Houston Rockets,2009,regular,22,2009-12-11,1,Philadelphia 76ers,
22,Houston Rockets,2009,regular,23,2009-12-13,1,Toronto Raptors,
23,Houston Rockets,2009,regular,24,2009-12-15,0,Detroit Pistons,
24,Houston Rockets,2009,regular,25,2009-12-16,1,Denver Nuggets,
25,Houston Rockets,2009,regular,26,2009-12-18,1,Dallas Mavericks,OT
26,Houston Rockets,2009,regular,27,2009-12-19,0,Oklahoma City Thunder,
27,Houston Rockets,2009,regular,28,2009-12-22,0,Los Angeles Clippers,
28,Houston Rockets,2009,regular,29,2009-12-23,1,Orlando Magic,
29,Houston Rockets,2009,regular,30,2009-12-26,1,New Jersey Nets,
