,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Indiana Pacers,2009,regular,1,2009-10-28,1,Atlanta Hawks,
1,Indiana Pacers,2009,regular,2,2009-10-30,0,Miami Heat,
2,Indiana Pacers,2009,regular,3,2009-11-03,0,Denver Nuggets,
3,Indiana Pacers,2009,regular,4,2009-11-04,1,New York Knicks,
4,Indiana Pacers,2009,regular,5,2009-11-06,0,Washington Wizards,
5,Indiana Pacers,2009,regular,6,2009-11-11,0,Golden State Warriors,
6,Indiana Pacers,2009,regular,7,2009-11-14,0,Boston Celtics,
7,Indiana Pacers,2009,regular,8,2009-11-17,1,New Jersey Nets,
8,Indiana Pacers,2009,regular,9,2009-11-18,0,New York Knicks,
9,Indiana Pacers,2009,regular,10,2009-11-20,0,Cleveland Cavaliers,
10,Indiana Pacers,2009,regular,11,2009-11-22,1,Charlotte Bobcats,
11,Indiana Pacers,2009,regular,12,2009-11-24,1,Toronto Raptors,
12,Indiana Pacers,2009,regular,13,2009-11-25,0,Los Angeles Clippers,
13,Indiana Pacers,2009,regular,14,2009-11-27,0,Dallas Mavericks,
14,Indiana Pacers,2009,regular,15,2009-11-30,1,Golden State Warriors,
15,Indiana Pacers,2009,regular,16,2009-12-02,1,Sacramento Kings,
16,Indiana Pacers,2009,regular,17,2009-12-04,1,Utah Jazz,
17,Indiana Pacers,2009,regular,18,2009-12-05,1,Los Angeles Clippers,
18,Indiana Pacers,2009,regular,19,2009-12-09,0,Portland Trail Blazers,
19,Indiana Pacers,2009,regular,20,2009-12-11,0,New Jersey Nets,
20,Indiana Pacers,2009,regular,21,2009-12-12,1,Washington Wizards,
21,Indiana Pacers,2009,regular,22,2009-12-14,1,Orlando Magic,
22,Indiana Pacers,2009,regular,23,2009-12-16,0,Charlotte Bobcats,
23,Indiana Pacers,2009,regular,24,2009-12-18,1,Memphis Grizzlies,
24,Indiana Pacers,2009,regular,25,2009-12-19,1,San Antonio Spurs,
25,Indiana Pacers,2009,regular,26,2009-12-21,0,Milwaukee Bucks,
26,Indiana Pacers,2009,regular,27,2009-12-22,1,Boston Celtics,
27,Indiana Pacers,2009,regular,28,2009-12-26,0,Atlanta Hawks,
28,Indiana Pacers,2009,regular,29,2009-12-27,1,Miami Heat,
29,Indiana Pacers,2009,regular,30,2009-12-29,1,Chicago Bulls,
30,Indiana Pacers,2009,regular,31,2009-12-30,0,Memphis Grizzlies,
31,Indiana Pacers,2009,regular,32,2010-01-02,0,Minnesota Timberwolves,
32,Indiana Pacers,2009,regular,33,2010-01-03,1,New York Knicks,
33,Indiana Pacers,2009,regular,34,2010-01-05,0,Orlando Magic,
34,Indiana Pacers,2009,regular,35,2010-01-08,1,Minnesota Timberwolves,
35,Indiana Pacers,2009,regular,36,2010-01-09,1,Oklahoma City Thunder,
36,Indiana Pacers,2009,regular,37,2010-01-11,0,Toronto Raptors,
37,Indiana Pacers,2009,regular,38,2010-01-13,0,Phoenix Suns,
38,Indiana Pacers,2009,regular,39,2010-01-15,1,New Jersey Nets,
39,Indiana Pacers,2009,regular,40,2010-01-16,0,New Orleans Hornets,
40,Indiana Pacers,2009,regular,41,2010-01-19,1,Miami Heat,
41,Indiana Pacers,2009,regular,42,2010-01-20,1,Orlando Magic,
42,Indiana Pacers,2009,regular,43,2010-01-22,1,Detroit Pistons,
43,Indiana Pacers,2009,regular,44,2010-01-23,0,Philadelphia 76ers,
44,Indiana Pacers,2009,regular,45,2010-01-25,1,Philadelphia 76ers,
45,Indiana Pacers,2009,regular,46,2010-01-27,0,Los Angeles Lakers,
46,Indiana Pacers,2009,regular,47,2010-01-29,0,Cleveland Cavaliers,
47,Indiana Pacers,2009,regular,48,2010-01-31,1,Toronto Raptors,
48,Indiana Pacers,2009,regular,49,2010-02-02,0,Toronto Raptors,
49,Indiana Pacers,2009,regular,50,2010-02-05,0,Detroit Pistons,
50,Indiana Pacers,2009,regular,51,2010-02-06,1,Milwaukee Bucks,
51,Indiana Pacers,2009,regular,52,2010-02-09,0,Chicago Bulls,
52,Indiana Pacers,2009,regular,53,2010-02-17,0,San Antonio Spurs,
53,Indiana Pacers,2009,regular,54,2010-02-19,1,New Orleans Hornets,
54,Indiana Pacers,2009,regular,55,2010-02-20,1,Houston Rockets,
55,Indiana Pacers,2009,regular,56,2010-02-22,1,Dallas Mavericks,
56,Indiana Pacers,2009,regular,57,2010-02-24,1,Chicago Bulls,
57,Indiana Pacers,2009,regular,58,2010-02-25,0,Milwaukee Bucks,
58,Indiana Pacers,2009,regular,59,2010-02-27,0,Chicago Bulls,
59,Indiana Pacers,2009,regular,60,2010-03-02,1,Los Angeles Lakers,
60,Indiana Pacers,2009,regular,61,2010-03-03,1,Portland Trail Blazers,
61,Indiana Pacers,2009,regular,62,2010-03-05,1,Denver Nuggets,
62,Indiana Pacers,2009,regular,63,2010-03-06,1,Phoenix Suns,
63,Indiana Pacers,2009,regular,64,2010-03-09,0,Philadelphia 76ers,
64,Indiana Pacers,2009,regular,65,2010-03-12,1,Boston Celtics,
65,Indiana Pacers,2009,regular,66,2010-03-14,1,Milwaukee Bucks,
66,Indiana Pacers,2009,regular,67,2010-03-16,0,Charlotte Bobcats,
67,Indiana Pacers,2009,regular,68,2010-03-17,1,Cleveland Cavaliers,
68,Indiana Pacers,2009,regular,69,2010-03-19,0,Detroit Pistons,
69,Indiana Pacers,2009,regular,70,2010-03-21,0,Oklahoma City Thunder,
70,Indiana Pacers,2009,regular,71,2010-03-23,1,Detroit Pistons,
71,Indiana Pacers,2009,regular,72,2010-03-24,0,Washington Wizards,
72,Indiana Pacers,2009,regular,73,2010-03-26,0,Utah Jazz,
73,Indiana Pacers,2009,regular,74,2010-03-28,1,Atlanta Hawks,
74,Indiana Pacers,2009,regular,75,2010-03-30,0,Sacramento Kings,
75,Indiana Pacers,2009,regular,76,2010-04-02,0,Miami Heat,OT
76,Indiana Pacers,2009,regular,77,2010-04-04,0,Houston Rockets,
77,Indiana Pacers,2009,regular,78,2010-04-07,0,New York Knicks,
78,Indiana Pacers,2009,regular,79,2010-04-09,1,Cleveland Cavaliers,
79,Indiana Pacers,2009,regular,80,2010-04-10,0,New Jersey Nets,
80,Indiana Pacers,2009,regular,81,2010-04-12,0,Orlando Magic,
81,Indiana Pacers,2009,regular,82,2010-04-14,1,Washington Wizards,
82,Indiana Pacers,2010,regular,1,2010-10-27,1,San Antonio Spurs,
83,Indiana Pacers,2010,regular,2,2010-10-29,1,Charlotte Bobcats,
84,Indiana Pacers,2010,regular,3,2010-10-30,0,Philadelphia 76ers,
85,Indiana Pacers,2010,regular,4,2010-11-03,1,Philadelphia 76ers,
86,Indiana Pacers,2010,regular,5,2010-11-05,0,Milwaukee Bucks,
87,Indiana Pacers,2010,regular,6,2010-11-09,0,Denver Nuggets,
88,Indiana Pacers,2010,regular,7,2010-11-12,0,Houston Rockets,
89,Indiana Pacers,2010,regular,8,2010-11-13,1,Cleveland Cavaliers,
90,Indiana Pacers,2010,regular,9,2010-11-16,0,Atlanta Hawks,
91,Indiana Pacers,2010,regular,10,2010-11-18,0,Los Angeles Clippers,
92,Indiana Pacers,2010,regular,11,2010-11-20,0,Orlando Magic,
93,Indiana Pacers,2010,regular,12,2010-11-22,1,Miami Heat,
94,Indiana Pacers,2010,regular,13,2010-11-23,0,Cleveland Cavaliers,
95,Indiana Pacers,2010,regular,14,2010-11-26,0,Oklahoma City Thunder,OT
96,Indiana Pacers,2010,regular,15,2010-11-28,1,Los Angeles Lakers,
97,Indiana Pacers,2010,regular,16,2010-11-30,1,Sacramento Kings,
98,Indiana Pacers,2010,regular,17,2010-12-01,1,Utah Jazz,
99,Indiana Pacers,2010,regular,18,2010-12-03,1,Phoenix Suns,
