,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Los Angeles Lakers,2009,regular,1,2009-10-27,0,Los Angeles Clippers,
1,Los Angeles Lakers,2009,regular,2,2009-10-30,0,Dallas Mavericks,
2,Los Angeles Lakers,2009,regular,3,2009-11-01,0,Atlanta Hawks,
3,Los Angeles Lakers,2009,regular,4,2009-11-03,1,Oklahoma City Thunder,OT
4,Los Angeles Lakers,2009,regular,5,2009-11-04,1,Houston Rockets,OT
5,Los Angeles Lakers,2009,regular,6,2009-11-06,0,Memphis Grizzlies,
6,Los Angeles Lakers,2009,regular,7,2009-11-08,0,New Orleans Hornets,
7,Los Angeles Lakers,2009,regular,8,2009-11-12,0,Phoenix Suns,
8,Los Angeles Lakers,2009,regular,9,2009-11-13,1,Denver Nuggets,
9,Los Angeles Lakers,2009,regular,10,2009-11-15,0,Houston Rockets,
10,Los Angeles Lakers,2009,regular,11,2009-11-17,0,Detroit Pistons,
11,Los Angeles Lakers,2009,regular,12,2009-11-19,0,Chicago Bulls,
12,Los Angeles Lakers,2009,regular,13,2009-11-22,0,Oklahoma City Thunder,
13,Los Angeles Lakers,2009,regular,14,2009-11-24,0,New York Knicks,
14,Los Angeles Lakers,2009,regular,15,2009-11-28,1,Golden State Warriors,
15,Los Angeles Lakers,2009,regular,16,2009-11-29,0,New Jersey Nets,
16,Los Angeles Lakers,2009,regular,17,2009-12-01,0,New Orleans Hornets,
17,Los Angeles Lakers,2009,regular,18,2009-12-04,0,Miami Heat,
18,Los Angeles Lakers,2009,regular,19,2009-12-06,0,Phoenix Suns,
19,Los Angeles Lakers,2009,regular,20,2009-12-09,0,Utah Jazz,
20,Los Angeles Lakers,2009,regular,21,2009-12-11,0,Minnesota Timberwolves,
21,Los Angeles Lakers,2009,regular,22,2009-12-12,1,Utah Jazz,
22,Los Angeles Lakers,2009,regular,23,2009-12-15,1,Chicago Bulls,
23,Los Angeles Lakers,2009,regular,24,2009-12-16,1,Milwaukee Bucks,OT
24,Los Angeles Lakers,2009,regular,25,2009-12-19,1,New Jersey Nets,
25,Los Angeles Lakers,2009,regular,26,2009-12-20,1,Detroit Pistons,
26,Los Angeles Lakers,2009,regular,27,2009-12-22,0,Oklahoma City Thunder,
27,Los Angeles Lakers,2009,regular,28,2009-12-25,0,Cleveland Cavaliers,
28,Los Angeles Lakers,2009,regular,29,2009-12-26,1,Sacramento Kings,2OT
