,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Memphis Grizzlies,2009,regular,1,2009-10-28,0,Detroit Pistons,
1,Memphis Grizzlies,2009,regular,2,2009-10-30,0,Toronto Raptors,
2,Memphis Grizzlies,2009,regular,3,2009-11-01,1,Denver Nuggets,
3,Memphis Grizzlies,2009,regular,4,2009-11-02,1,Sacramento Kings,OT
4,Memphis Grizzlies,2009,regular,5,2009-11-04,1,Golden State Warriors,
5,Memphis Grizzlies,2009,regular,6,2009-11-06,1,Los Angeles Lakers,
6,Memphis Grizzlies,2009,regular,7,2009-11-07,1,Los Angeles Clippers,
7,Memphis Grizzlies,2009,regular,8,2009-11-10,0,Portland Trail Blazers,
8,Memphis Grizzlies,2009,regular,9,2009-11-11,1,Houston Rockets,
9,Memphis Grizzlies,2009,regular,10,2009-11-14,0,Minnesota Timberwolves,
10,Memphis Grizzlies,2009,regular,11,2009-11-18,0,Los Angeles Clippers,
11,Memphis Grizzlies,2009,regular,12,2009-11-20,1,Philadelphia 76ers,
12,Memphis Grizzlies,2009,regular,13,2009-11-21,0,Milwaukee Bucks,
13,Memphis Grizzlies,2009,regular,14,2009-11-23,0,Sacramento Kings,
14,Memphis Grizzlies,2009,regular,15,2009-11-25,1,Phoenix Suns,
15,Memphis Grizzlies,2009,regular,16,2009-11-27,1,Portland Trail Blazers,
16,Memphis Grizzlies,2009,regular,17,2009-11-29,1,Los Angeles Clippers,
17,Memphis Grizzlies,2009,regular,18,2009-11-30,1,Utah Jazz,
18,Memphis Grizzlies,2009,regular,19,2009-12-02,1,Minnesota Timberwolves,
19,Memphis Grizzlies,2009,regular,20,2009-12-04,0,Dallas Mavericks,
20,Memphis Grizzlies,2009,regular,21,2009-12-08,0,Cleveland Cavaliers,OT
21,Memphis Grizzlies,2009,regular,22,2009-12-11,0,Oklahoma City Thunder,
22,Memphis Grizzlies,2009,regular,23,2009-12-13,1,Miami Heat,
23,Memphis Grizzlies,2009,regular,24,2009-12-14,0,Boston Celtics,
24,Memphis Grizzlies,2009,regular,25,2009-12-16,1,Atlanta Hawks,
25,Memphis Grizzlies,2009,regular,26,2009-12-18,0,Indiana Pacers,
26,Memphis Grizzlies,2009,regular,27,2009-12-20,0,Denver Nuggets,
27,Memphis Grizzlies,2009,regular,28,2009-12-22,0,Golden State Warriors,
28,Memphis Grizzlies,2009,regular,29,2009-12-26,1,Dallas Mavericks,
29,Memphis Grizzlies,2009,regular,30,2009-12-28,0,Washington Wizards,OT
30,Memphis Grizzlies,2009,regular,31,2009-12-30,1,Indiana Pacers,
31,Memphis Grizzlies,2009,regular,32,2010-01-02,1,Phoenix Suns,
32,Memphis Grizzlies,2009,regular,33,2010-01-05,1,Portland Trail Blazers,
33,Memphis Grizzlies,2009,regular,34,2010-01-06,1,Utah Jazz,
34,Memphis Grizzlies,2009,regular,35,2010-01-08,0,Utah Jazz,
35,Memphis Grizzlies,2009,regular,36,2010-01-09,1,Charlotte Bobcats,
36,Memphis Grizzlies,2009,regular,37,2010-01-12,0,Los Angeles Clippers,
37,Memphis Grizzlies,2009,regular,38,2010-01-15,0,Minnesota Timberwolves,
38,Memphis Grizzlies,2009,regular,39,2010-01-16,0,San Antonio Spurs,
39,Memphis Grizzlies,2009,regular,40,2010-01-18,0,Phoenix Suns,
40,Memphis Grizzlies,2009,regular,41,2010-01-20,1,New Orleans Hornets,
41,Memphis Grizzlies,2009,regular,42,2010-01-22,0,Oklahoma City Thunder,
42,Memphis Grizzlies,2009,regular,43,2010-01-25,0,Orlando Magic,
43,Memphis Grizzlies,2009,regular,44,2010-01-27,1,Detroit Pistons,
44,Memphis Grizzlies,2009,regular,45,2010-01-29,1,San Antonio Spurs,
45,Memphis Grizzlies,2009,regular,46,2010-01-30,0,New Orleans Hornets,OT
46,Memphis Grizzlies,2009,regular,47,2010-02-01,0,Los Angeles Lakers,
47,Memphis Grizzlies,2009,regular,48,2010-02-02,1,Cleveland Cavaliers,
