,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Miami Heat,2009,regular,1,2009-10-28,0,New York Knicks,
1,Miami Heat,2009,regular,2,2009-10-30,1,Indiana Pacers,
2,Miami Heat,2009,regular,3,2009-11-01,0,Chicago Bulls,
3,Miami Heat,2009,regular,4,2009-11-03,0,Phoenix Suns,
4,Miami Heat,2009,regular,5,2009-11-04,1,Washington Wizards,
5,Miami Heat,2009,regular,6,2009-11-06,0,Denver Nuggets,
6,Miami Heat,2009,regular,7,2009-11-10,0,Washington Wizards,
7,Miami Heat,2009,regular,8,2009-11-12,0,Cleveland Cavaliers,
8,Miami Heat,2009,regular,9,2009-11-14,0,New Jersey Nets,
9,Miami Heat,2009,regular,10,2009-11-17,0,Oklahoma City Thunder,
10,Miami Heat,2009,regular,11,2009-11-18,1,Atlanta Hawks,
11,Miami Heat,2009,regular,12,2009-11-20,1,Toronto Raptors,
12,Miami Heat,2009,regular,13,2009-11-22,0,New Orleans Hornets,
13,Miami Heat,2009,regular,14,2009-11-25,1,Orlando Magic,
14,Miami Heat,2009,regular,15,2009-11-27,0,Washington Wizards,
15,Miami Heat,2009,regular,16,2009-11-29,0,Boston Celtics,
16,Miami Heat,2009,regular,17,2009-12-01,1,Portland Trail Blazers,
17,Miami Heat,2009,regular,18,2009-12-03,1,Denver Nuggets,
18,Miami Heat,2009,regular,19,2009-12-04,1,Los Angeles Lakers,
19,Miami Heat,2009,regular,20,2009-12-06,1,Sacramento Kings,
20,Miami Heat,2009,regular,21,2009-12-11,0,Dallas Mavericks,
21,Miami Heat,2009,regular,22,2009-12-13,0,Memphis Grizzlies,
22,Miami Heat,2009,regular,23,2009-12-15,0,Toronto Raptors,
23,Miami Heat,2009,regular,24,2009-12-17,0,Orlando Magic,
24,Miami Heat,2009,regular,25,2009-12-20,0,Portland Trail Blazers,
25,Miami Heat,2009,regular,26,2009-12-23,0,Utah Jazz,
26,Miami Heat,2009,regular,27,2009-12-25,1,New York Knicks,
27,Miami Heat,2009,regular,28,2009-12-27,0,Indiana Pacers,
28,Miami Heat,2009,regular,29,2009-12-30,1,New Orleans Hornets,
29,Miami Heat,2009,regular,30,2009-12-31,1,San Antonio Spurs,
30,Miami Heat,2009,regular,31,2010-01-02,0,Charlotte Bobcats,
31,Miami Heat,2009,regular,32,2010-01-04,0,Atlanta Hawks,
32,Miami Heat,2009,regular,33,2010-01-06,0,Boston Celtics,OT
33,Miami Heat,2009,regular,34,2010-01-08,1,Phoenix Suns,
34,Miami Heat,2009,regular,35,2010-01-10,1,Los Angeles Clippers,
35,Miami Heat,2009,regular,36,2010-01-11,1,Utah Jazz,
36,Miami Heat,2009,regular,37,2010-01-13,1,Golden State Warriors,
37,Miami Heat,2009,regular,38,2010-01-15,1,Houston Rockets,
38,Miami Heat,2009,regular,39,2010-01-16,1,Oklahoma City Thunder,
39,Miami Heat,2009,regular,40,2010-01-19,0,Indiana Pacers,
40,Miami Heat,2009,regular,41,2010-01-20,1,Charlotte Bobcats,
41,Miami Heat,2009,regular,42,2010-01-22,1,Washington Wizards,
42,Miami Heat,2009,regular,43,2010-01-23,0,Sacramento Kings,
43,Miami Heat,2009,regular,44,2010-01-25,0,Cleveland Cavaliers,
44,Miami Heat,2009,regular,45,2010-01-27,1,Toronto Raptors,
45,Miami Heat,2009,regular,46,2010-01-29,1,Detroit Pistons,
46,Miami Heat,2009,regular,47,2010-01-30,1,Milwaukee Bucks,
47,Miami Heat,2009,regular,48,2010-02-01,0,Milwaukee Bucks,
48,Miami Heat,2009,regular,49,2010-02-03,1,Boston Celtics,
49,Miami Heat,2009,regular,50,2010-02-04,1,Cleveland Cavaliers,
50,Miami Heat,2009,regular,51,2010-02-06,1,Chicago Bulls,
51,Miami Heat,2009,regular,52,2010-02-09,0,Houston Rockets,
52,Miami Heat,2009,regular,53,2010-02-10,1,Atlanta Hawks,
53,Miami Heat,2009,regular,54,2010-02-16,1,Philadelphia 76ers,
54,Miami Heat,2009,regular,55,2010-02-17,1,New Jersey Nets,
55,Miami Heat,2009,regular,56,2010-02-19,1,Memphis Grizzlies,2OT
56,Miami Heat,2009,regular,57,2010-02-20,1,Dallas Mavericks,
57,Miami Heat,2009,regular,58,2010-02-23,0,Minnesota Timberwolves,
