,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Milwaukee Bucks,2009,regular,1,2009-10-30,1,Philadelphia 76ers,
1,Milwaukee Bucks,2009,regular,2,2009-10-31,0,Detroit Pistons,
2,Milwaukee Bucks,2009,regular,3,2009-11-03,1,Chicago Bulls,
3,Milwaukee Bucks,2009,regular,4,2009-11-06,1,Minnesota Timberwolves,
4,Milwaukee Bucks,2009,regular,5,2009-11-07,0,New York Knicks,
5,Milwaukee Bucks,2009,regular,6,2009-11-11,0,Denver Nuggets,
6,Milwaukee Bucks,2009,regular,7,2009-11-14,0,Golden State Warriors,
7,Milwaukee Bucks,2009,regular,8,2009-11-16,0,Dallas Mavericks,OT
8,Milwaukee Bucks,2009,regular,9,2009-11-18,0,New Jersey Nets,
9,Milwaukee Bucks,2009,regular,10,2009-11-20,0,Charlotte Bobcats,
10,Milwaukee Bucks,2009,regular,11,2009-11-21,1,Memphis Grizzlies,
11,Milwaukee Bucks,2009,regular,12,2009-11-23,1,San Antonio Spurs,
12,Milwaukee Bucks,2009,regular,13,2009-11-25,1,New Orleans Hornets,OT
13,Milwaukee Bucks,2009,regular,14,2009-11-27,1,Oklahoma City Thunder,
14,Milwaukee Bucks,2009,regular,15,2009-11-28,0,Orlando Magic,
15,Milwaukee Bucks,2009,regular,16,2009-11-30,0,Chicago Bulls,
16,Milwaukee Bucks,2009,regular,17,2009-12-02,1,Washington Wizards,
17,Milwaukee Bucks,2009,regular,18,2009-12-04,1,Detroit Pistons,
18,Milwaukee Bucks,2009,regular,19,2009-12-06,0,Cleveland Cavaliers,
19,Milwaukee Bucks,2009,regular,20,2009-12-08,1,Boston Celtics,
20,Milwaukee Bucks,2009,regular,21,2009-12-09,0,Toronto Raptors,
21,Milwaukee Bucks,2009,regular,22,2009-12-12,0,Portland Trail Blazers,2OT
22,Milwaukee Bucks,2009,regular,23,2009-12-16,0,Los Angeles Lakers,OT
23,Milwaukee Bucks,2009,regular,24,2009-12-18,1,Cleveland Cavaliers,
24,Milwaukee Bucks,2009,regular,25,2009-12-19,0,Sacramento Kings,
25,Milwaukee Bucks,2009,regular,26,2009-12-21,1,Indiana Pacers,
26,Milwaukee Bucks,2009,regular,27,2009-12-23,0,Washington Wizards,
27,Milwaukee Bucks,2009,regular,28,2009-12-26,0,San Antonio Spurs,
28,Milwaukee Bucks,2009,regular,29,2009-12-28,1,Charlotte Bobcats,
29,Milwaukee Bucks,2009,regular,30,2009-12-30,1,Orlando Magic,
30,Milwaukee Bucks,2009,regular,31,2010-01-02,0,Oklahoma City Thunder,OT
31,Milwaukee Bucks,2009,regular,32,2010-01-05,1,New Jersey Nets,
32,Milwaukee Bucks,2009,regular,33,2010-01-08,0,Chicago Bulls,
33,Milwaukee Bucks,2009,regular,34,2010-01-10,1,Los Angeles Lakers,
34,Milwaukee Bucks,2009,regular,35,2010-01-11,1,Phoenix Suns,
