,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Minnesota Timberwolves,2009,regular,1,2009-10-28,0,New Jersey Nets,
1,Minnesota Timberwolves,2009,regular,2,2009-10-30,0,Cleveland Cavaliers,
2,Minnesota Timberwolves,2009,regular,3,2009-11-01,1,Phoenix Suns,
3,Minnesota Timberwolves,2009,regular,4,2009-11-02,1,Los Angeles Clippers,
4,Minnesota Timberwolves,2009,regular,5,2009-11-04,0,Boston Celtics,
5,Minnesota Timberwolves,2009,regular,6,2009-11-06,0,Milwaukee Bucks,
6,Minnesota Timberwolves,2009,regular,7,2009-11-08,1,Portland Trail Blazers,
7,Minnesota Timberwolves,2009,regular,8,2009-11-09,1,Golden State Warriors,
8,Minnesota Timberwolves,2009,regular,9,2009-11-11,0,Portland Trail Blazers,
9,Minnesota Timberwolves,2009,regular,10,2009-11-13,0,Dallas Mavericks,
10,Minnesota Timberwolves,2009,regular,11,2009-11-14,1,Memphis Grizzlies,
11,Minnesota Timberwolves,2009,regular,12,2009-11-18,0,Houston Rockets,
12,Minnesota Timberwolves,2009,regular,13,2009-11-21,1,Portland Trail Blazers,
13,Minnesota Timberwolves,2009,regular,14,2009-11-23,1,Los Angeles Clippers,
14,Minnesota Timberwolves,2009,regular,15,2009-11-25,0,Denver Nuggets,
15,Minnesota Timberwolves,2009,regular,16,2009-11-27,0,Phoenix Suns,
16,Minnesota Timberwolves,2009,regular,17,2009-11-29,1,Denver Nuggets,
17,Minnesota Timberwolves,2009,regular,18,2009-12-02,0,Memphis Grizzlies,
18,Minnesota Timberwolves,2009,regular,19,2009-12-04,1,New Orleans Hornets,
19,Minnesota Timberwolves,2009,regular,20,2009-12-05,0,Utah Jazz,
20,Minnesota Timberwolves,2009,regular,21,2009-12-08,1,Toronto Raptors,
21,Minnesota Timberwolves,2009,regular,22,2009-12-09,0,New Orleans Hornets,
22,Minnesota Timberwolves,2009,regular,23,2009-12-11,1,Los Angeles Lakers,
23,Minnesota Timberwolves,2009,regular,24,2009-12-12,1,Sacramento Kings,
24,Minnesota Timberwolves,2009,regular,25,2009-12-14,1,Utah Jazz,
25,Minnesota Timberwolves,2009,regular,26,2009-12-16,0,Los Angeles Clippers,
26,Minnesota Timberwolves,2009,regular,27,2009-12-18,0,Sacramento Kings,
27,Minnesota Timberwolves,2009,regular,28,2009-12-20,1,Boston Celtics,
28,Minnesota Timberwolves,2009,regular,29,2009-12-22,0,Atlanta Hawks,
29,Minnesota Timberwolves,2009,regular,30,2009-12-23,1,New Jersey Nets,
30,Minnesota Timberwolves,2009,regular,31,2009-12-26,0,Washington Wizards,
31,Minnesota Timberwolves,2009,regular,32,2009-12-29,1,San Antonio Spurs,
32,Minnesota Timberwolves,2009,regular,33,2009-12-30,0,Utah Jazz,
33,Minnesota Timberwolves,2009,regular,34,2010-01-01,0,Orlando Magic,
34,Minnesota Timberwolves,2009,regular,35,2010-01-02,1,Indiana Pacers,
35,Minnesota Timberwolves,2009,regular,36,2010-01-06,0,Golden State Warriors,
36,Minnesota Timberwolves,2009,regular,37,2010-01-08,0,Indiana Pacers,
37,Minnesota Timberwolves,2009,regular,38,2010-01-09,1,Chicago Bulls,
38,Minnesota Timberwolves,2009,regular,39,2010-01-11,1,Denver Nuggets,
39,Minnesota Timberwolves,2009,regular,40,2010-01-13,1,Houston Rockets,3OT
40,Minnesota Timberwolves,2009,regular,41,2010-01-15,1,Memphis Grizzlies,
41,Minnesota Timberwolves,2009,regular,42,2010-01-18,0,Philadelphia 76ers,OT
42,Minnesota Timberwolves,2009,regular,43,2010-01-20,0,Oklahoma City Thunder,
43,Minnesota Timberwolves,2009,regular,44,2010-01-22,0,New Orleans Hornets,
44,Minnesota Timberwolves,2009,regular,45,2010-01-23,1,Milwaukee Bucks,
45,Minnesota Timberwolves,2009,regular,46,2010-01-26,1,New York Knicks,
46,Minnesota Timberwolves,2009,regular,47,2010-01-27,1,Cleveland Cavaliers,
47,Minnesota Timberwolves,2009,regular,48,2010-01-29,0,Los Angeles Clippers,
48,Minnesota Timberwolves,2009,regular,49,2010-01-31,0,New York Knicks,
