,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,New Jersey Nets,2009,regular,1,2009-10-28,1,Minnesota Timberwolves,
1,New Jersey Nets,2009,regular,2,2009-10-30,0,Orlando Magic,
2,New Jersey Nets,2009,regular,3,2009-10-31,1,Washington Wizards,
3,New Jersey Nets,2009,regular,4,2009-11-02,1,Charlotte Bobcats,
4,New Jersey Nets,2009,regular,5,2009-11-04,0,Denver Nuggets,
5,New Jersey Nets,2009,regular,6,2009-11-06,1,Philadelphia 76ers,
6,New Jersey Nets,2009,regular,7,2009-11-07,0,Boston Celtics,
7,New Jersey Nets,2009,regular,8,2009-11-11,0,Philadelphia 76ers,
8,New Jersey Nets,2009,regular,9,2009-11-13,1,Orlando Magic,
9,New Jersey Nets,2009,regular,10,2009-11-14,1,Miami Heat,
10,New Jersey Nets,2009,regular,11,2009-11-17,0,Indiana Pacers,
11,New Jersey Nets,2009,regular,12,2009-11-18,1,Milwaukee Bucks,
12,New Jersey Nets,2009,regular,13,2009-11-21,0,New York Knicks,
13,New Jersey Nets,2009,regular,14,2009-11-24,1,Denver Nuggets,
14,New Jersey Nets,2009,regular,15,2009-11-25,1,Portland Trail Blazers,
15,New Jersey Nets,2009,regular,16,2009-11-27,1,Sacramento Kings,
16,New Jersey Nets,2009,regular,17,2009-11-29,1,Los Angeles Lakers,
17,New Jersey Nets,2009,regular,18,2009-12-02,0,Dallas Mavericks,
18,New Jersey Nets,2009,regular,19,2009-12-04,0,Charlotte Bobcats,
19,New Jersey Nets,2009,regular,20,2009-12-06,1,New York Knicks,
20,New Jersey Nets,2009,regular,21,2009-12-08,1,Chicago Bulls,
21,New Jersey Nets,2009,regular,22,2009-12-09,0,Golden State Warriors,
22,New Jersey Nets,2009,regular,23,2009-12-11,1,Indiana Pacers,
23,New Jersey Nets,2009,regular,24,2009-12-13,1,Atlanta Hawks,
24,New Jersey Nets,2009,regular,25,2009-12-15,1,Cleveland Cavaliers,
25,New Jersey Nets,2009,regular,26,2009-12-16,0,Utah Jazz,
26,New Jersey Nets,2009,regular,27,2009-12-18,1,Toronto Raptors,
27,New Jersey Nets,2009,regular,28,2009-12-19,0,Los Angeles Lakers,
28,New Jersey Nets,2009,regular,29,2009-12-23,0,Minnesota Timberwolves,
29,New Jersey Nets,2009,regular,30,2009-12-26,0,Houston Rockets,
30,New Jersey Nets,2009,regular,31,2009-12-28,0,Oklahoma City Thunder,
31,New Jersey Nets,2009,regular,32,2009-12-30,0,New York Knicks,
32,New Jersey Nets,2009,regular,33,2010-01-02,0,Cleveland Cavaliers,
33,New Jersey Nets,2009,regular,34,2010-01-05,0,Milwaukee Bucks,
34,New Jersey Nets,2009,regular,35,2010-01-06,1,Atlanta Hawks,
35,New Jersey Nets,2009,regular,36,2010-01-08,1,New Orleans Hornets,
36,New Jersey Nets,2009,regular,37,2010-01-10,1,San Antonio Spurs,
37,New Jersey Nets,2009,regular,38,2010-01-13,0,Boston Celtics,
38,New Jersey Nets,2009,regular,39,2010-01-15,0,Indiana Pacers,
39,New Jersey Nets,2009,regular,40,2010-01-18,1,Los Angeles Clippers,
40,New Jersey Nets,2009,regular,41,2010-01-20,1,Phoenix Suns,
41,New Jersey Nets,2009,regular,42,2010-01-22,1,Golden State Warriors,
42,New Jersey Nets,2009,regular,43,2010-01-23,1,Utah Jazz,
43,New Jersey Nets,2009,regular,44,2010-01-27,0,Los Angeles Clippers,
44,New Jersey Nets,2009,regular,45,2010-01-29,0,Washington Wizards,
45,New Jersey Nets,2009,regular,46,2010-01-31,0,Philadelphia 76ers,
46,New Jersey Nets,2009,regular,47,2010-02-02,0,Detroit Pistons,
47,New Jersey Nets,2009,regular,48,2010-02-03,1,Toronto Raptors,
48,New Jersey Nets,2009,regular,49,2010-02-05,1,Boston Celtics,
49,New Jersey Nets,2009,regular,50,2010-02-06,1,Detroit Pistons,
50,New Jersey Nets,2009,regular,51,2010-02-09,1,Cleveland Cavaliers,
51,New Jersey Nets,2009,regular,52,2010-02-10,0,Milwaukee Bucks,
52,New Jersey Nets,2009,regular,53,2010-02-16,1,Charlotte Bobcats,
53,New Jersey Nets,2009,regular,54,2010-02-17,0,Miami Heat,
54,New Jersey Nets,2009,regular,55,2010-02-19,0,Toronto Raptors,
55,New Jersey Nets,2009,regular,56,2010-02-21,0,Memphis Grizzlies,
56,New Jersey Nets,2009,regular,57,2010-02-23,0,Portland Trail Blazers,
57,New Jersey Nets,2009,regular,58,2010-02-27,1,Boston Celtics,
58,New Jersey Nets,2009,regular,59,2010-02-28,0,Washington Wizards,
59,New Jersey Nets,2009,regular,60,2010-03-03,0,Cleveland Cavaliers,
60,New Jersey Nets,2009,regular,61,2010-03-05,0,Orlando Magic,
61,New Jersey Nets,2009,regular,62,2010-03-06,1,New York Knicks,
62,New Jersey Nets,2009,regular,63,2010-03-08,1,Memphis Grizzlies,
63,New Jersey Nets,2009,regular,64,2010-03-10,1,Dallas Mavericks,
64,New Jersey Nets,2009,regular,65,2010-03-12,1,Oklahoma City Thunder,
65,New Jersey Nets,2009,regular,66,2010-03-13,1,Houston Rockets,
66,New Jersey Nets,2009,regular,67,2010-03-16,0,Atlanta Hawks,
67,New Jersey Nets,2009,regular,68,2010-03-17,1,Philadelphia 76ers,
68,New Jersey Nets,2009,regular,69,2010-03-20,0,Toronto Raptors,
69,New Jersey Nets,2009,regular,70,2010-03-22,0,Miami Heat,
70,New Jersey Nets,2009,regular,71,2010-03-24,0,Sacramento Kings,
71,New Jersey Nets,2009,regular,72,2010-03-26,0,Detroit Pistons,
72,New Jersey Nets,2009,regular,73,2010-03-27,1,Chicago Bulls,
73,New Jersey Nets,2009,regular,74,2010-03-29,0,San Antonio Spurs,
74,New Jersey Nets,2009,regular,75,2010-03-31,0,Phoenix Suns,
75,New Jersey Nets,2009,regular,76,2010-04-03,0,New Orleans Hornets,
76,New Jersey Nets,2009,regular,77,2010-04-04,1,Washington Wizards,
77,New Jersey Nets,2009,regular,78,2010-04-07,1,Milwaukee Bucks,
78,New Jersey Nets,2009,regular,79,2010-04-09,0,Chicago Bulls,2OT
79,New Jersey Nets,2009,regular,80,2010-04-10,1,Indiana Pacers,
80,New Jersey Nets,2009,regular,81,2010-04-12,0,Charlotte Bobcats,
81,New Jersey Nets,2009,regular,82,2010-04-14,1,Miami Heat,2OT
82,New Jersey Nets,2010,regular,1,2010-10-27,0,Detroit Pistons,
83,New Jersey Nets,2010,regular,2,2010-10-29,0,Sacramento Kings,
84,New Jersey Nets,2010,regular,3,2010-10-31,0,Miami Heat,
85,New Jersey Nets,2010,regular,4,2010-11-03,0,Charlotte Bobcats,
86,New Jersey Nets,2010,regular,5,2010-11-05,1,Orlando Magic,
87,New Jersey Nets,2010,regular,6,2010-11-06,1,Miami Heat,
88,New Jersey Nets,2010,regular,7,2010-11-09,0,Cleveland Cavaliers,
89,New Jersey Nets,2010,regular,8,2010-11-10,1,Cleveland Cavaliers,
90,New Jersey Nets,2010,regular,9,2010-11-13,0,Orlando Magic,
91,New Jersey Nets,2010,regular,10,2010-11-15,1,Los Angeles Clippers,
92,New Jersey Nets,2010,regular,11,2010-11-17,1,Utah Jazz,
93,New Jersey Nets,2010,regular,12,2010-11-19,1,Sacramento Kings,
94,New Jersey Nets,2010,regular,13,2010-11-20,1,Denver Nuggets,
95,New Jersey Nets,2010,regular,14,2010-11-23,0,Atlanta Hawks,OT
96,New Jersey Nets,2010,regular,15,2010-11-24,1,Boston Celtics,
97,New Jersey Nets,2010,regular,16,2010-11-27,1,Philadelphia 76ers,
98,New Jersey Nets,2010,regular,17,2010-11-28,0,Portland Trail Blazers,
99,New Jersey Nets,2010,regular,18,2010-11-30,1,New York Knicks,
100,New Jersey Nets,2010,regular,19,2010-12-01,0,Oklahoma City Thunder,3OT
101,New Jersey Nets,2010,regular,20,2010-12-03,1,Charlotte Bobcats,OT
102,New Jersey Nets,2010,regular,21,2010-12-05,0,Boston Celtics,
103,New Jersey Nets,2010,regular,22,2010-12-07,1,Atlanta Hawks,
104,New Jersey Nets,2010,regular,23,2010-12-09,1,Dallas Mavericks,
105,New Jersey Nets,2010,regular,24,2010-12-12,0,Los Angeles Lakers,
106,New Jersey Nets,2010,regular,25,2010-12-14,0,Philadelphia 76ers,
107,New Jersey Nets,2010,regular,26,2010-12-16,0,Washington Wizards,
108,New Jersey Nets,2010,regular,27,2010-12-17,1,Toronto Raptors,
