,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,New Orleans Hornets,2009,regular,1,2009-10-28,1,San Antonio Spurs,
1,New Orleans Hornets,2009,regular,2,2009-10-30,0,Sacramento Kings,
2,New Orleans Hornets,2009,regular,3,2009-11-01,1,Boston Celtics,
3,New Orleans Hornets,2009,regular,4,2009-11-02,1,New York Knicks,
4,New Orleans Hornets,2009,regular,5,2009-11-04,0,Dallas Mavericks,OT
5,New Orleans Hornets,2009,regular,6,2009-11-06,0,Toronto Raptors,
6,New Orleans Hornets,2009,regular,7,2009-11-08,1,Los Angeles Lakers,
7,New Orleans Hornets,2009,regular,8,2009-11-09,1,Los Angeles Clippers,
8,New Orleans Hornets,2009,regular,9,2009-11-11,1,Phoenix Suns,
9,New Orleans Hornets,2009,regular,10,2009-11-13,0,Portland Trail Blazers,
10,New Orleans Hornets,2009,regular,11,2009-11-14,1,Atlanta Hawks,
11,New Orleans Hornets,2009,regular,12,2009-11-17,0,Los Angeles Clippers,
12,New Orleans Hornets,2009,regular,13,2009-11-19,0,Phoenix Suns,
13,New Orleans Hornets,2009,regular,14,2009-11-21,0,Atlanta Hawks,
14,New Orleans Hornets,2009,regular,15,2009-11-22,1,Miami Heat,
15,New Orleans Hornets,2009,regular,16,2009-11-25,0,Milwaukee Bucks,OT
16,New Orleans Hornets,2009,regular,17,2009-11-29,1,Sacramento Kings,
17,New Orleans Hornets,2009,regular,18,2009-12-01,1,Los Angeles Lakers,
18,New Orleans Hornets,2009,regular,19,2009-12-04,0,Minnesota Timberwolves,
19,New Orleans Hornets,2009,regular,20,2009-12-08,0,Sacramento Kings,
20,New Orleans Hornets,2009,regular,21,2009-12-09,1,Minnesota Timberwolves,
21,New Orleans Hornets,2009,regular,22,2009-12-11,0,New York Knicks,
22,New Orleans Hornets,2009,regular,23,2009-12-14,1,Dallas Mavericks,
23,New Orleans Hornets,2009,regular,24,2009-12-16,0,Detroit Pistons,
24,New Orleans Hornets,2009,regular,25,2009-12-18,0,Denver Nuggets,
25,New Orleans Hornets,2009,regular,26,2009-12-20,1,Toronto Raptors,
26,New Orleans Hornets,2009,regular,27,2009-12-23,0,Golden State Warriors,
27,New Orleans Hornets,2009,regular,28,2009-12-26,1,Chicago Bulls,
28,New Orleans Hornets,2009,regular,29,2009-12-29,1,Houston Rockets,
29,New Orleans Hornets,2009,regular,30,2009-12-30,0,Miami Heat,
30,New Orleans Hornets,2009,regular,31,2010-01-02,0,Houston Rockets,
31,New Orleans Hornets,2009,regular,32,2010-01-04,1,Utah Jazz,
32,New Orleans Hornets,2009,regular,33,2010-01-06,1,Oklahoma City Thunder,
33,New Orleans Hornets,2009,regular,34,2010-01-08,0,New Jersey Nets,
34,New Orleans Hornets,2009,regular,35,2010-01-10,1,Washington Wizards,
35,New Orleans Hornets,2009,regular,36,2010-01-11,1,Philadelphia 76ers,
36,New Orleans Hornets,2009,regular,37,2010-01-13,0,Los Angeles Clippers,
37,New Orleans Hornets,2009,regular,38,2010-01-15,1,Detroit Pistons,OT
38,New Orleans Hornets,2009,regular,39,2010-01-16,1,Indiana Pacers,
39,New Orleans Hornets,2009,regular,40,2010-01-18,0,San Antonio Spurs,
40,New Orleans Hornets,2009,regular,41,2010-01-20,0,Memphis Grizzlies,
41,New Orleans Hornets,2009,regular,42,2010-01-22,1,Minnesota Timberwolves,
42,New Orleans Hornets,2009,regular,43,2010-01-23,1,Denver Nuggets,OT
43,New Orleans Hornets,2009,regular,44,2010-01-25,1,Portland Trail Blazers,
44,New Orleans Hornets,2009,regular,45,2010-01-27,1,Golden State Warriors,
45,New Orleans Hornets,2009,regular,46,2010-01-29,0,Chicago Bulls,OT
46,New Orleans Hornets,2009,regular,47,2010-01-30,1,Memphis Grizzlies,OT
47,New Orleans Hornets,2009,regular,48,2010-02-01,0,Phoenix Suns,
48,New Orleans Hornets,2009,regular,49,2010-02-03,0,Oklahoma City Thunder,
49,New Orleans Hornets,2009,regular,50,2010-02-05,0,Philadelphia 76ers,
50,New Orleans Hornets,2009,regular,51,2010-02-06,1,Charlotte Bobcats,
51,New Orleans Hornets,2009,regular,52,2010-02-08,1,Orlando Magic,
52,New Orleans Hornets,2009,regular,53,2010-02-10,0,Boston Celtics,
53,New Orleans Hornets,2009,regular,54,2010-02-17,0,Utah Jazz,
54,New Orleans Hornets,2009,regular,55,2010-02-19,0,Indiana Pacers,
55,New Orleans Hornets,2009,regular,56,2010-02-21,0,Houston Rockets,
56,New Orleans Hornets,2009,regular,57,2010-02-23,1,Cleveland Cavaliers,
57,New Orleans Hornets,2009,regular,58,2010-02-24,1,Milwaukee Bucks,
58,New Orleans Hornets,2009,regular,59,2010-02-26,0,Orlando Magic,
59,New Orleans Hornets,2009,regular,60,2010-02-28,1,Dallas Mavericks,
60,New Orleans Hornets,2009,regular,61,2010-03-01,0,San Antonio Spurs,
61,New Orleans Hornets,2009,regular,62,2010-03-03,0,Memphis Grizzlies,
62,New Orleans Hornets,2009,regular,63,2010-03-05,1,San Antonio Spurs,
63,New Orleans Hornets,2009,regular,64,2010-03-08,0,Golden State Warriors,
64,New Orleans Hornets,2009,regular,65,2010-03-10,1,Oklahoma City Thunder,
65,New Orleans Hornets,2009,regular,66,2010-03-12,0,Denver Nuggets,
66,New Orleans Hornets,2009,regular,67,2010-03-14,1,Phoenix Suns,
