,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,New Orleans Pelicans,2013,regular,1,2013-10-30,0,Indiana Pacers,
1,New Orleans Pelicans,2013,regular,2,2013-11-01,1,Orlando Magic,
2,New Orleans Pelicans,2013,regular,3,2013-11-02,0,Charlotte Bobcats,
3,New Orleans Pelicans,2013,regular,4,2013-11-05,0,Phoenix Suns,
4,New Orleans Pelicans,2013,regular,5,2013-11-06,1,Memphis Grizzlies,
5,New Orleans Pelicans,2013,regular,6,2013-11-08,0,Los Angeles Lakers,
6,New Orleans Pelicans,2013,regular,7,2013-11-10,1,Phoenix Suns,
7,New Orleans Pelicans,2013,regular,8,2013-11-12,1,Los Angeles Lakers,
8,New Orleans Pelicans,2013,regular,9,2013-11-13,1,Utah Jazz,
9,New Orleans Pelicans,2013,regular,10,2013-11-16,0,Philadelphia 76ers,
10,New Orleans Pelicans,2013,regular,11,2013-11-20,0,Utah Jazz,
11,New Orleans Pelicans,2013,regular,12,2013-11-22,0,Cleveland Cavaliers,
12,New Orleans Pelicans,2013,regular,13,2013-11-25,1,San Antonio Spurs,
13,New Orleans Pelicans,2013,regular,14,2013-11-26,0,Golden State Warriors,
14,New Orleans Pelicans,2013,regular,15,2013-11-29,1,Philadelphia 76ers,
15,New Orleans Pelicans,2013,regular,16,2013-12-01,1,New York Knicks,
16,New Orleans Pelicans,2013,regular,17,2013-12-02,1,Chicago Bulls,3OT
17,New Orleans Pelicans,2013,regular,18,2013-12-04,0,Dallas Mavericks,
18,New Orleans Pelicans,2013,regular,19,2013-12-06,0,Oklahoma City Thunder,
19,New Orleans Pelicans,2013,regular,20,2013-12-11,0,Detroit Pistons,OT
20,New Orleans Pelicans,2013,regular,21,2013-12-13,0,Memphis Grizzlies,
21,New Orleans Pelicans,2013,regular,22,2013-12-15,1,Denver Nuggets,
22,New Orleans Pelicans,2013,regular,23,2013-12-17,1,Golden State Warriors,
23,New Orleans Pelicans,2013,regular,24,2013-12-18,1,Los Angeles Clippers,
24,New Orleans Pelicans,2013,regular,25,2013-12-21,1,Portland Trail Blazers,
25,New Orleans Pelicans,2013,regular,26,2013-12-23,1,Sacramento Kings,
26,New Orleans Pelicans,2013,regular,27,2013-12-27,0,Denver Nuggets,
27,New Orleans Pelicans,2013,regular,28,2013-12-28,1,Houston Rockets,
28,New Orleans Pelicans,2013,regular,29,2013-12-30,0,Portland Trail Blazers,
29,New Orleans Pelicans,2013,regular,30,2014-01-01,1,Minnesota Timberwolves,
30,New Orleans Pelicans,2013,regular,31,2014-01-03,1,Boston Celtics,
31,New Orleans Pelicans,2013,regular,32,2014-01-04,1,Indiana Pacers,
32,New Orleans Pelicans,2013,regular,33,2014-01-07,1,Miami Heat,
33,New Orleans Pelicans,2013,regular,34,2014-01-08,0,Washington Wizards,
34,New Orleans Pelicans,2013,regular,35,2014-01-10,0,Dallas Mavericks,
35,New Orleans Pelicans,2013,regular,36,2014-01-11,1,Dallas Mavericks,
36,New Orleans Pelicans,2013,regular,37,2014-01-13,0,San Antonio Spurs,
