,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,New York Knicks,2009,regular,1,2009-10-28,1,Miami Heat,
1,New York Knicks,2009,regular,2,2009-10-30,1,Charlotte Bobcats,2OT
2,New York Knicks,2009,regular,3,2009-10-31,0,Philadelphia 76ers,OT
3,New York Knicks,2009,regular,4,2009-11-02,0,New Orleans Hornets,
4,New York Knicks,2009,regular,5,2009-11-04,0,Indiana Pacers,
5,New York Knicks,2009,regular,6,2009-11-06,0,Cleveland Cavaliers,
6,New York Knicks,2009,regular,7,2009-11-07,1,Milwaukee Bucks,
7,New York Knicks,2009,regular,8,2009-11-09,0,Utah Jazz,
8,New York Knicks,2009,regular,9,2009-11-11,0,Atlanta Hawks,
9,New York Knicks,2009,regular,10,2009-11-13,0,Golden State Warriors,
10,New York Knicks,2009,regular,11,2009-11-18,1,Indiana Pacers,
11,New York Knicks,2009,regular,12,2009-11-21,1,New Jersey Nets,
12,New York Knicks,2009,regular,13,2009-11-22,0,Boston Celtics,OT
13,New York Knicks,2009,regular,14,2009-11-24,1,Los Angeles Lakers,
14,New York Knicks,2009,regular,15,2009-11-25,1,Sacramento Kings,
15,New York Knicks,2009,regular,16,2009-11-27,1,Denver Nuggets,
16,New York Knicks,2009,regular,17,2009-11-29,0,Orlando Magic,
17,New York Knicks,2009,regular,18,2009-12-01,0,Phoenix Suns,
18,New York Knicks,2009,regular,19,2009-12-02,1,Orlando Magic,
19,New York Knicks,2009,regular,20,2009-12-04,1,Atlanta Hawks,
20,New York Knicks,2009,regular,21,2009-12-06,0,New Jersey Nets,
21,New York Knicks,2009,regular,22,2009-12-07,0,Portland Trail Blazers,
22,New York Knicks,2009,regular,23,2009-12-11,1,New Orleans Hornets,
23,New York Knicks,2009,regular,24,2009-12-15,1,Charlotte Bobcats,
24,New York Knicks,2009,regular,25,2009-12-17,1,Chicago Bulls,
25,New York Knicks,2009,regular,26,2009-12-18,0,Los Angeles Clippers,
26,New York Knicks,2009,regular,27,2009-12-20,0,Charlotte Bobcats,
27,New York Knicks,2009,regular,28,2009-12-22,0,Chicago Bulls,
28,New York Knicks,2009,regular,29,2009-12-25,0,Miami Heat,
29,New York Knicks,2009,regular,30,2009-12-27,0,San Antonio Spurs,
30,New York Knicks,2009,regular,31,2009-12-29,1,Detroit Pistons,
31,New York Knicks,2009,regular,32,2009-12-30,1,New Jersey Nets,
32,New York Knicks,2009,regular,33,2010-01-01,1,Atlanta Hawks,OT
33,New York Knicks,2009,regular,34,2010-01-03,0,Indiana Pacers,
34,New York Knicks,2009,regular,35,2010-01-07,0,Charlotte Bobcats,
35,New York Knicks,2009,regular,36,2010-01-09,1,Houston Rockets,
36,New York Knicks,2009,regular,37,2010-01-11,1,Oklahoma City Thunder,
37,New York Knicks,2009,regular,38,2010-01-13,1,Philadelphia 76ers,
38,New York Knicks,2009,regular,39,2010-01-15,0,Toronto Raptors,
39,New York Knicks,2009,regular,40,2010-01-16,1,Detroit Pistons,
40,New York Knicks,2009,regular,41,2010-01-18,0,Detroit Pistons,
41,New York Knicks,2009,regular,42,2010-01-22,0,Los Angeles Lakers,
42,New York Knicks,2009,regular,43,2010-01-24,0,Dallas Mavericks,
43,New York Knicks,2009,regular,44,2010-01-26,0,Minnesota Timberwolves,
44,New York Knicks,2009,regular,45,2010-01-28,0,Toronto Raptors,
45,New York Knicks,2009,regular,46,2010-01-30,1,Washington Wizards,
46,New York Knicks,2009,regular,47,2010-01-31,1,Minnesota Timberwolves,
47,New York Knicks,2009,regular,48,2010-02-03,0,Washington Wizards,
48,New York Knicks,2009,regular,49,2010-02-05,0,Milwaukee Bucks,
49,New York Knicks,2009,regular,50,2010-02-06,1,Cleveland Cavaliers,
50,New York Knicks,2009,regular,51,2010-02-09,0,Sacramento Kings,OT
51,New York Knicks,2009,regular,52,2010-02-16,1,Chicago Bulls,
52,New York Knicks,2009,regular,53,2010-02-17,0,Chicago Bulls,
53,New York Knicks,2009,regular,54,2010-02-20,0,Oklahoma City Thunder,OT
54,New York Knicks,2009,regular,55,2010-02-22,0,Milwaukee Bucks,
55,New York Knicks,2009,regular,56,2010-02-23,1,Boston Celtics,
56,New York Knicks,2009,regular,57,2010-02-26,1,Washington Wizards,OT
57,New York Knicks,2009,regular,58,2010-02-27,0,Memphis Grizzlies,
58,New York Knicks,2009,regular,59,2010-03-01,1,Cleveland Cavaliers,
59,New York Knicks,2009,regular,60,2010-03-03,0,Detroit Pistons,
60,New York Knicks,2009,regular,61,2010-03-05,1,Toronto Raptors,
61,New York Knicks,2009,regular,62,2010-03-06,0,New Jersey Nets,
62,New York Knicks,2009,regular,63,2010-03-08,0,Atlanta Hawks,
63,New York Knicks,2009,regular,64,2010-03-10,1,San Antonio Spurs,
64,New York Knicks,2009,regular,65,2010-03-12,1,Memphis Grizzlies,
65,New York Knicks,2009,regular,66,2010-03-13,1,Dallas Mavericks,
66,New York Knicks,2009,regular,67,2010-03-15,1,Philadelphia 76ers,
67,New York Knicks,2009,regular,68,2010-03-17,1,Boston Celtics,
68,New York Knicks,2009,regular,69,2010-03-19,0,Philadelphia 76ers,
69,New York Knicks,2009,regular,70,2010-03-21,0,Houston Rockets,
70,New York Knicks,2009,regular,71,2010-03-23,0,Denver Nuggets,
71,New York Knicks,2009,regular,72,2010-03-26,1,Phoenix Suns,
72,New York Knicks,2009,regular,73,2010-03-29,1,Utah Jazz,
73,New York Knicks,2009,regular,74,2010-03-31,1,Portland Trail Blazers,
74,New York Knicks,2009,regular,75,2010-04-02,1,Golden State Warriors,
75,New York Knicks,2009,regular,76,2010-04-04,1,Los Angeles Clippers,
76,New York Knicks,2009,regular,77,2010-04-06,0,Boston Celtics,
77,New York Knicks,2009,regular,78,2010-04-07,1,Indiana Pacers,
78,New York Knicks,2009,regular,79,2010-04-09,1,Orlando Magic,
79,New York Knicks,2009,regular,80,2010-04-11,0,Miami Heat,
80,New York Knicks,2009,regular,81,2010-04-12,0,Washington Wizards,
81,New York Knicks,2009,regular,82,2010-04-14,1,Toronto Raptors,
82,New York Knicks,2010,regular,1,2010-10-27,1,Toronto Raptors,
83,New York Knicks,2010,regular,2,2010-10-29,1,Boston Celtics,
84,New York Knicks,2010,regular,3,2010-10-30,0,Portland Trail Blazers,
85,New York Knicks,2010,regular,4,2010-11-04,1,Chicago Bulls,
86,New York Knicks,2010,regular,5,2010-11-05,0,Washington Wizards,
87,New York Knicks,2010,regular,6,2010-11-07,0,Philadelphia 76ers,
88,New York Knicks,2010,regular,7,2010-11-09,1,Milwaukee Bucks,
89,New York Knicks,2010,regular,8,2010-11-10,0,Golden State Warriors,
90,New York Knicks,2010,regular,9,2010-11-12,1,Minnesota Timberwolves,
91,New York Knicks,2010,regular,10,2010-11-14,0,Houston Rockets,
92,New York Knicks,2010,regular,11,2010-11-16,1,Denver Nuggets,
93,New York Knicks,2010,regular,12,2010-11-17,1,Sacramento Kings,
94,New York Knicks,2010,regular,13,2010-11-19,1,Golden State Warriors,
95,New York Knicks,2010,regular,14,2010-11-20,1,Los Angeles Clippers,
96,New York Knicks,2010,regular,15,2010-11-23,0,Charlotte Bobcats,
97,New York Knicks,2010,regular,16,2010-11-24,1,Charlotte Bobcats,
98,New York Knicks,2010,regular,17,2010-11-27,0,Atlanta Hawks,
99,New York Knicks,2010,regular,18,2010-11-28,1,Detroit Pistons,2OT
100,New York Knicks,2010,regular,19,2010-11-30,0,New Jersey Nets,
101,New York Knicks,2010,regular,20,2010-12-03,1,New Orleans Hornets,
102,New York Knicks,2010,regular,21,2010-12-05,1,Toronto Raptors,
103,New York Knicks,2010,regular,22,2010-12-06,0,Minnesota Timberwolves,
104,New York Knicks,2010,regular,23,2010-12-08,0,Toronto Raptors,
105,New York Knicks,2010,regular,24,2010-12-10,1,Washington Wizards,
106,New York Knicks,2010,regular,25,2010-12-12,0,Denver Nuggets,
107,New York Knicks,2010,regular,26,2010-12-15,0,Boston Celtics,
108,New York Knicks,2010,regular,27,2010-12-17,0,Miami Heat,
109,New York Knicks,2010,regular,28,2010-12-18,1,Cleveland Cavaliers,OT
110,New York Knicks,2010,regular,29,2010-12-22,0,Oklahoma City Thunder,
111,New York Knicks,2010,regular,30,2010-12-25,0,Chicago Bulls,
112,New York Knicks,2010,regular,31,2010-12-28,1,Miami Heat,
113,New York Knicks,2010,regular,32,2010-12-30,1,Orlando Magic,
114,New York Knicks,2010,regular,33,2011-01-02,0,Indiana Pacers,
115,New York Knicks,2010,regular,34,2011-01-04,0,San Antonio Spurs,
116,New York Knicks,2010,regular,35,2011-01-07,1,Phoenix Suns,
117,New York Knicks,2010,regular,36,2011-01-09,1,Los Angeles Lakers,
118,New York Knicks,2010,regular,37,2011-01-11,1,Portland Trail Blazers,
119,New York Knicks,2010,regular,38,2011-01-12,1,Utah Jazz,
120,New York Knicks,2010,regular,39,2011-01-14,0,Sacramento Kings,
121,New York Knicks,2010,regular,40,2011-01-17,0,Phoenix Suns,
122,New York Knicks,2010,regular,41,2011-01-19,1,Houston Rockets,
123,New York Knicks,2010,regular,42,2011-01-21,1,San Antonio Spurs,
124,New York Knicks,2010,regular,43,2011-01-22,1,Oklahoma City Thunder,
125,New York Knicks,2010,regular,44,2011-01-24,0,Washington Wizards,
126,New York Knicks,2010,regular,45,2011-01-27,0,Miami Heat,
127,New York Knicks,2010,regular,46,2011-01-28,1,Atlanta Hawks,
128,New York Knicks,2010,regular,47,2011-01-30,0,Detroit Pistons,
129,New York Knicks,2010,regular,48,2011-02-02,0,Dallas Mavericks,
130,New York Knicks,2010,regular,49,2011-02-04,1,Philadelphia 76ers,
131,New York Knicks,2010,regular,50,2011-02-06,0,Philadelphia 76ers,
