,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Orlando Magic,2009,regular,1,2009-10-28,0,Philadelphia 76ers,
1,Orlando Magic,2009,regular,2,2009-10-30,1,New Jersey Nets,
2,Orlando Magic,2009,regular,3,2009-11-01,1,Toronto Raptors,
3,Orlando Magic,2009,regular,4,2009-11-03,1,Detroit Pistons,
4,Orlando Magic,2009,regular,5,2009-11-04,0,Phoenix Suns,
5,Orlando Magic,2009,regular,6,2009-11-06,0,Detroit Pistons,
6,Orlando Magic,2009,regular,7,2009-11-08,1,Oklahoma City Thunder,
7,Orlando Magic,2009,regular,8,2009-11-10,1,Charlotte Bobcats,
8,Orlando Magic,2009,regular,9,2009-11-11,0,Cleveland Cavaliers,
9,Orlando Magic,2009,regular,10,2009-11-13,0,New Jersey Nets,
10,Orlando Magic,2009,regular,11,2009-11-16,0,Charlotte Bobcats,
11,Orlando Magic,2009,regular,12,2009-11-18,0,Oklahoma City Thunder,
12,Orlando Magic,2009,regular,13,2009-11-20,1,Boston Celtics,
13,Orlando Magic,2009,regular,14,2009-11-22,1,Toronto Raptors,
14,Orlando Magic,2009,regular,15,2009-11-25,0,Miami Heat,
15,Orlando Magic,2009,regular,16,2009-11-26,1,Atlanta Hawks,
16,Orlando Magic,2009,regular,17,2009-11-28,1,Milwaukee Bucks,
17,Orlando Magic,2009,regular,18,2009-11-29,1,New York Knicks,
18,Orlando Magic,2009,regular,19,2009-12-02,0,New York Knicks,
19,Orlando Magic,2009,regular,20,2009-12-05,1,Golden State Warriors,
20,Orlando Magic,2009,regular,21,2009-12-08,1,Los Angeles Clippers,
21,Orlando Magic,2009,regular,22,2009-12-10,1,Utah Jazz,
22,Orlando Magic,2009,regular,23,2009-12-11,1,Phoenix Suns,
23,Orlando Magic,2009,regular,24,2009-12-14,0,Indiana Pacers,
24,Orlando Magic,2009,regular,25,2009-12-16,0,Toronto Raptors,
25,Orlando Magic,2009,regular,26,2009-12-17,1,Miami Heat,
26,Orlando Magic,2009,regular,27,2009-12-19,0,Portland Trail Blazers,
27,Orlando Magic,2009,regular,28,2009-12-21,0,Utah Jazz,
28,Orlando Magic,2009,regular,29,2009-12-23,0,Houston Rockets,
29,Orlando Magic,2009,regular,30,2009-12-25,0,Boston Celtics,
30,Orlando Magic,2009,regular,31,2009-12-30,0,Milwaukee Bucks,
31,Orlando Magic,2009,regular,32,2010-01-01,1,Minnesota Timberwolves,
32,Orlando Magic,2009,regular,33,2010-01-02,1,Chicago Bulls,
33,Orlando Magic,2009,regular,34,2010-01-05,1,Indiana Pacers,
34,Orlando Magic,2009,regular,35,2010-01-06,0,Toronto Raptors,
