,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Philadelphia 76ers,2009,regular,1,2009-10-28,1,Orlando Magic,
1,Philadelphia 76ers,2009,regular,2,2009-10-30,0,Milwaukee Bucks,
2,Philadelphia 76ers,2009,regular,3,2009-10-31,1,New York Knicks,OT
3,Philadelphia 76ers,2009,regular,4,2009-11-03,0,Boston Celtics,
4,Philadelphia 76ers,2009,regular,5,2009-11-06,0,New Jersey Nets,
5,Philadelphia 76ers,2009,regular,6,2009-11-08,1,Detroit Pistons,
6,Philadelphia 76ers,2009,regular,7,2009-11-09,0,Phoenix Suns,
7,Philadelphia 76ers,2009,regular,8,2009-11-11,1,New Jersey Nets,
8,Philadelphia 76ers,2009,regular,9,2009-11-13,0,Utah Jazz,
9,Philadelphia 76ers,2009,regular,10,2009-11-14,1,Chicago Bulls,
10,Philadelphia 76ers,2009,regular,11,2009-11-18,0,Charlotte Bobcats,
11,Philadelphia 76ers,2009,regular,12,2009-11-20,0,Memphis Grizzlies,
12,Philadelphia 76ers,2009,regular,13,2009-11-21,1,Cleveland Cavaliers,
13,Philadelphia 76ers,2009,regular,14,2009-11-24,1,Washington Wizards,
14,Philadelphia 76ers,2009,regular,15,2009-11-25,1,Boston Celtics,
15,Philadelphia 76ers,2009,regular,16,2009-11-27,0,Atlanta Hawks,
16,Philadelphia 76ers,2009,regular,17,2009-11-29,1,San Antonio Spurs,
17,Philadelphia 76ers,2009,regular,18,2009-11-30,1,Dallas Mavericks,
18,Philadelphia 76ers,2009,regular,19,2009-12-02,1,Oklahoma City Thunder,
19,Philadelphia 76ers,2009,regular,20,2009-12-05,1,Charlotte Bobcats,
20,Philadelphia 76ers,2009,regular,21,2009-12-07,0,Denver Nuggets,
21,Philadelphia 76ers,2009,regular,22,2009-12-09,0,Detroit Pistons,
22,Philadelphia 76ers,2009,regular,23,2009-12-11,0,Houston Rockets,
23,Philadelphia 76ers,2009,regular,24,2009-12-14,0,Golden State Warriors,
24,Philadelphia 76ers,2009,regular,25,2009-12-16,0,Cleveland Cavaliers,
25,Philadelphia 76ers,2009,regular,26,2009-12-18,1,Boston Celtics,
26,Philadelphia 76ers,2009,regular,27,2009-12-19,0,Los Angeles Clippers,OT
27,Philadelphia 76ers,2009,regular,28,2009-12-22,1,Washington Wizards,
28,Philadelphia 76ers,2009,regular,29,2009-12-26,1,Utah Jazz,
29,Philadelphia 76ers,2009,regular,30,2009-12-28,1,Portland Trail Blazers,
