,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Phoenix Suns,2009,regular,1,2009-10-28,1,Los Angeles Clippers,
1,Phoenix Suns,2009,regular,2,2009-10-30,0,Golden State Warriors,
2,Phoenix Suns,2009,regular,3,2009-11-01,0,Minnesota Timberwolves,
3,Phoenix Suns,2009,regular,4,2009-11-03,1,Miami Heat,
4,Phoenix Suns,2009,regular,5,2009-11-04,1,Orlando Magic,
5,Phoenix Suns,2009,regular,6,2009-11-06,1,Boston Celtics,
6,Phoenix Suns,2009,regular,7,2009-11-08,1,Washington Wizards,
7,Phoenix Suns,2009,regular,8,2009-11-09,1,Philadelphia 76ers,
8,Phoenix Suns,2009,regular,9,2009-11-11,0,New Orleans Hornets,
9,Phoenix Suns,2009,regular,10,2009-11-12,1,Los Angeles Lakers,
10,Phoenix Suns,2009,regular,11,2009-11-15,0,Toronto Raptors,
11,Phoenix Suns,2009,regular,12,2009-11-17,1,Houston Rockets,
12,Phoenix Suns,2009,regular,13,2009-11-19,1,New Orleans Hornets,
13,Phoenix Suns,2009,regular,14,2009-11-22,0,Detroit Pistons,
14,Phoenix Suns,2009,regular,15,2009-11-25,0,Memphis Grizzlies,
15,Phoenix Suns,2009,regular,16,2009-11-27,1,Minnesota Timberwolves,
16,Phoenix Suns,2009,regular,17,2009-11-29,1,Toronto Raptors,
17,Phoenix Suns,2009,regular,18,2009-12-01,1,New York Knicks,
18,Phoenix Suns,2009,regular,19,2009-12-02,1,Cleveland Cavaliers,
19,Phoenix Suns,2009,regular,20,2009-12-05,0,Sacramento Kings,
20,Phoenix Suns,2009,regular,21,2009-12-06,1,Los Angeles Lakers,
21,Phoenix Suns,2009,regular,22,2009-12-08,1,Dallas Mavericks,
22,Phoenix Suns,2009,regular,23,2009-12-11,0,Orlando Magic,
23,Phoenix Suns,2009,regular,24,2009-12-12,1,Denver Nuggets,
24,Phoenix Suns,2009,regular,25,2009-12-15,0,San Antonio Spurs,
25,Phoenix Suns,2009,regular,26,2009-12-17,1,Portland Trail Blazers,
26,Phoenix Suns,2009,regular,27,2009-12-19,0,Washington Wizards,
27,Phoenix Suns,2009,regular,28,2009-12-21,0,Cleveland Cavaliers,
28,Phoenix Suns,2009,regular,29,2009-12-23,0,Oklahoma City Thunder,
29,Phoenix Suns,2009,regular,30,2009-12-25,0,Los Angeles Clippers,
30,Phoenix Suns,2009,regular,31,2009-12-26,1,Golden State Warriors,
31,Phoenix Suns,2009,regular,32,2009-12-28,0,Los Angeles Lakers,
32,Phoenix Suns,2009,regular,33,2009-12-30,0,Boston Celtics,
33,Phoenix Suns,2009,regular,34,2010-01-02,0,Memphis Grizzlies,
34,Phoenix Suns,2009,regular,35,2010-01-05,1,Sacramento Kings,
35,Phoenix Suns,2009,regular,36,2010-01-06,0,Houston Rockets,
36,Phoenix Suns,2009,regular,37,2010-01-08,0,Miami Heat,
37,Phoenix Suns,2009,regular,38,2010-01-11,0,Milwaukee Bucks,
38,Phoenix Suns,2009,regular,39,2010-01-13,1,Indiana Pacers,
39,Phoenix Suns,2009,regular,40,2010-01-15,1,Atlanta Hawks,
40,Phoenix Suns,2009,regular,41,2010-01-16,1,Charlotte Bobcats,
41,Phoenix Suns,2009,regular,42,2010-01-18,1,Memphis Grizzlies,
42,Phoenix Suns,2009,regular,43,2010-01-20,0,New Jersey Nets,
43,Phoenix Suns,2009,regular,44,2010-01-22,0,Chicago Bulls,
44,Phoenix Suns,2009,regular,45,2010-01-23,0,Golden State Warriors,
45,Phoenix Suns,2009,regular,46,2010-01-25,1,Utah Jazz,
46,Phoenix Suns,2009,regular,47,2010-01-26,0,Charlotte Bobcats,OT
47,Phoenix Suns,2009,regular,48,2010-01-28,0,Dallas Mavericks,
48,Phoenix Suns,2009,regular,49,2010-01-31,1,Houston Rockets,OT
49,Phoenix Suns,2009,regular,50,2010-02-01,1,New Orleans Hornets,
50,Phoenix Suns,2009,regular,51,2010-02-03,1,Denver Nuggets,
51,Phoenix Suns,2009,regular,52,2010-02-05,1,Sacramento Kings,
52,Phoenix Suns,2009,regular,53,2010-02-10,0,Portland Trail Blazers,
53,Phoenix Suns,2009,regular,54,2010-02-16,1,Memphis Grizzlies,
54,Phoenix Suns,2009,regular,55,2010-02-17,1,Dallas Mavericks,
55,Phoenix Suns,2009,regular,56,2010-02-19,0,Atlanta Hawks,
56,Phoenix Suns,2009,regular,57,2010-02-21,0,Sacramento Kings,
57,Phoenix Suns,2009,regular,58,2010-02-23,1,Oklahoma City Thunder,
58,Phoenix Suns,2009,regular,59,2010-02-24,0,Philadelphia 76ers,
59,Phoenix Suns,2009,regular,60,2010-02-26,0,Los Angeles Clippers,
60,Phoenix Suns,2009,regular,61,2010-02-28,1,San Antonio Spurs,
61,Phoenix Suns,2009,regular,62,2010-03-01,0,Denver Nuggets,
62,Phoenix Suns,2009,regular,63,2010-03-03,1,Los Angeles Clippers,
63,Phoenix Suns,2009,regular,64,2010-03-04,0,Utah Jazz,
64,Phoenix Suns,2009,regular,65,2010-03-06,0,Indiana Pacers,
65,Phoenix Suns,2009,regular,66,2010-03-12,0,Los Angeles Lakers,
66,Phoenix Suns,2009,regular,67,2010-03-14,0,New Orleans Hornets,
67,Phoenix Suns,2009,regular,68,2010-03-16,0,Minnesota Timberwolves,
68,Phoenix Suns,2009,regular,69,2010-03-19,0,Utah Jazz,
69,Phoenix Suns,2009,regular,70,2010-03-21,0,Portland Trail Blazers,
70,Phoenix Suns,2009,regular,71,2010-03-22,1,Golden State Warriors,
71,Phoenix Suns,2009,regular,72,2010-03-26,0,New York Knicks,
72,Phoenix Suns,2009,regular,73,2010-03-28,1,Minnesota Timberwolves,
73,Phoenix Suns,2009,regular,74,2010-03-30,1,Chicago Bulls,
74,Phoenix Suns,2009,regular,75,2010-03-31,1,New Jersey Nets,
75,Phoenix Suns,2009,regular,76,2010-04-02,1,Detroit Pistons,
76,Phoenix Suns,2009,regular,77,2010-04-03,1,Milwaukee Bucks,
77,Phoenix Suns,2009,regular,78,2010-04-07,0,San Antonio Spurs,
78,Phoenix Suns,2009,regular,79,2010-04-09,1,Oklahoma City Thunder,
79,Phoenix Suns,2009,regular,80,2010-04-11,0,Houston Rockets,
80,Phoenix Suns,2009,regular,81,2010-04-13,0,Denver Nuggets,
81,Phoenix Suns,2009,regular,82,2010-04-14,1,Utah Jazz,
82,Phoenix Suns,2009,post,83,2010-04-18,0,Portland Trail Blazers,
83,Phoenix Suns,2009,post,84,2010-04-20,0,Portland Trail Blazers,
84,Phoenix Suns,2009,post,85,2010-04-22,1,Portland Trail Blazers,
85,Phoenix Suns,2009,post,86,2010-04-24,1,Portland Trail Blazers,
86,Phoenix Suns,2009,post,87,2010-04-26,0,Portland Trail Blazers,
87,Phoenix Suns,2009,post,88,2010-04-29,1,Portland Trail Blazers,
88,Phoenix Suns,2009,post,89,2010-05-03,0,San Antonio Spurs,
89,Phoenix Suns,2009,post,90,2010-05-05,0,San Antonio Spurs,
90,Phoenix Suns,2009,post,91,2010-05-07,1,San Antonio Spurs,
91,Phoenix Suns,2009,post,92,2010-05-09,1,San Antonio Spurs,
92,Phoenix Suns,2009,post,93,2010-05-17,1,Los Angeles Lakers,
93,Phoenix Suns,2009,post,94,2010-05-19,1,Los Angeles Lakers,
94,Phoenix Suns,2009,post,95,2010-05-23,0,Los Angeles Lakers,
95,Phoenix Suns,2009,post,96,2010-05-25,0,Los Angeles Lakers,
96,Phoenix Suns,2009,post,97,2010-05-27,1,Los Angeles Lakers,
97,Phoenix Suns,2009,post,98,2010-05-29,0,Los Angeles Lakers,
98,Phoenix Suns,2010,regular,1,2010-10-26,1,Portland Trail Blazers,
99,Phoenix Suns,2010,regular,2,2010-10-28,1,Utah Jazz,
100,Phoenix Suns,2010,regular,3,2010-10-29,0,Los Angeles Lakers,
101,Phoenix Suns,2010,regular,4,2010-11-03,0,San Antonio Spurs,
102,Phoenix Suns,2010,regular,5,2010-11-05,0,Memphis Grizzlies,2OT
103,Phoenix Suns,2010,regular,6,2010-11-07,1,Atlanta Hawks,
