,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Portland Trailblazers,2009,regular,1,2009-10-27,0,Houston Rockets,
1,Portland Trailblazers,2009,regular,2,2009-10-29,0,Denver Nuggets,
2,Portland Trailblazers,2009,regular,3,2009-10-31,1,Houston Rockets,
3,Portland Trailblazers,2009,regular,4,2009-11-01,1,Oklahoma City Thunder,
4,Portland Trailblazers,2009,regular,5,2009-11-03,0,Atlanta Hawks,
5,Portland Trailblazers,2009,regular,6,2009-11-06,0,San Antonio Spurs,
6,Portland Trailblazers,2009,regular,7,2009-11-08,0,Minnesota Timberwolves,
7,Portland Trailblazers,2009,regular,8,2009-11-10,1,Memphis Grizzlies,
8,Portland Trailblazers,2009,regular,9,2009-11-11,1,Minnesota Timberwolves,
9,Portland Trailblazers,2009,regular,10,2009-11-13,1,New Orleans Hornets,
10,Portland Trailblazers,2009,regular,11,2009-11-14,1,Charlotte Bobcats,
11,Portland Trailblazers,2009,regular,12,2009-11-16,1,Atlanta Hawks,OT
12,Portland Trailblazers,2009,regular,13,2009-11-18,0,Detroit Pistons,
13,Portland Trailblazers,2009,regular,14,2009-11-20,1,Golden State Warriors,
14,Portland Trailblazers,2009,regular,15,2009-11-21,0,Minnesota Timberwolves,
15,Portland Trailblazers,2009,regular,16,2009-11-23,0,Chicago Bulls,
16,Portland Trailblazers,2009,regular,17,2009-11-25,0,New Jersey Nets,
17,Portland Trailblazers,2009,regular,18,2009-11-27,0,Memphis Grizzlies,
18,Portland Trailblazers,2009,regular,19,2009-11-28,1,Utah Jazz,
19,Portland Trailblazers,2009,regular,20,2009-12-01,0,Miami Heat,
20,Portland Trailblazers,2009,regular,21,2009-12-05,0,Houston Rockets,
21,Portland Trailblazers,2009,regular,22,2009-12-07,1,New York Knicks,
22,Portland Trailblazers,2009,regular,23,2009-12-09,1,Indiana Pacers,
23,Portland Trailblazers,2009,regular,24,2009-12-11,1,Cleveland Cavaliers,
24,Portland Trailblazers,2009,regular,25,2009-12-12,1,Milwaukee Bucks,2OT
25,Portland Trailblazers,2009,regular,26,2009-12-15,0,Sacramento Kings,
26,Portland Trailblazers,2009,regular,27,2009-12-17,0,Phoenix Suns,
27,Portland Trailblazers,2009,regular,28,2009-12-19,1,Orlando Magic,
28,Portland Trailblazers,2009,regular,29,2009-12-20,1,Miami Heat,
29,Portland Trailblazers,2009,regular,30,2009-12-22,1,Dallas Mavericks,
30,Portland Trailblazers,2009,regular,31,2009-12-23,1,San Antonio Spurs,
31,Portland Trailblazers,2009,regular,32,2009-12-25,0,Denver Nuggets,
32,Portland Trailblazers,2009,regular,33,2009-12-28,0,Philadelphia 76ers,
33,Portland Trailblazers,2009,regular,34,2009-12-30,0,Los Angeles Clippers,
34,Portland Trailblazers,2009,regular,35,2010-01-02,0,Golden State Warriors,
35,Portland Trailblazers,2009,regular,36,2010-01-04,1,Los Angeles Clippers,
36,Portland Trailblazers,2009,regular,37,2010-01-05,0,Memphis Grizzlies,
37,Portland Trailblazers,2009,regular,38,2010-01-08,0,Los Angeles Lakers,
38,Portland Trailblazers,2009,regular,39,2010-01-10,0,Cleveland Cavaliers,
39,Portland Trailblazers,2009,regular,40,2010-01-13,0,Milwaukee Bucks,
40,Portland Trailblazers,2009,regular,41,2010-01-15,0,Orlando Magic,
41,Portland Trailblazers,2009,regular,42,2010-01-18,1,Washington Wizards,
42,Portland Trailblazers,2009,regular,43,2010-01-20,1,Philadelphia 76ers,
43,Portland Trailblazers,2009,regular,44,2010-01-22,1,Boston Celtics,OT
44,Portland Trailblazers,2009,regular,45,2010-01-23,1,Detroit Pistons,
45,Portland Trailblazers,2009,regular,46,2010-01-25,0,New Orleans Hornets,
46,Portland Trailblazers,2009,regular,47,2010-01-27,0,Utah Jazz,
47,Portland Trailblazers,2009,regular,48,2010-01-29,1,Houston Rockets,
48,Portland Trailblazers,2009,regular,49,2010-01-30,1,Dallas Mavericks,OT
49,Portland Trailblazers,2009,regular,50,2010-02-01,0,Charlotte Bobcats,
50,Portland Trailblazers,2009,regular,51,2010-02-03,1,Utah Jazz,
51,Portland Trailblazers,2009,regular,52,2010-02-04,0,San Antonio Spurs,
52,Portland Trailblazers,2009,regular,53,2010-02-06,0,Los Angeles Lakers,
53,Portland Trailblazers,2009,regular,54,2010-02-09,0,Oklahoma City Thunder,
54,Portland Trailblazers,2009,regular,55,2010-02-10,1,Phoenix Suns,
55,Portland Trailblazers,2009,regular,56,2010-02-16,0,Los Angeles Clippers,
56,Portland Trailblazers,2009,regular,57,2010-02-19,0,Boston Celtics,
57,Portland Trailblazers,2009,regular,58,2010-02-21,0,Utah Jazz,OT
58,Portland Trailblazers,2009,regular,59,2010-02-23,1,New Jersey Nets,
59,Portland Trailblazers,2009,regular,60,2010-02-24,1,Toronto Raptors,
60,Portland Trailblazers,2009,regular,61,2010-02-26,1,Chicago Bulls,OT
61,Portland Trailblazers,2009,regular,62,2010-02-27,1,Minnesota Timberwolves,
62,Portland Trailblazers,2009,regular,63,2010-03-01,1,Memphis Grizzlies,
63,Portland Trailblazers,2009,regular,64,2010-03-03,0,Indiana Pacers,
64,Portland Trailblazers,2009,regular,65,2010-03-07,1,Denver Nuggets,
65,Portland Trailblazers,2009,regular,66,2010-03-09,0,Sacramento Kings,
66,Portland Trailblazers,2009,regular,67,2010-03-11,1,Golden State Warriors,
67,Portland Trailblazers,2009,regular,68,2010-03-12,1,Sacramento Kings,
68,Portland Trailblazers,2009,regular,69,2010-03-14,0,Toronto Raptors,
69,Portland Trailblazers,2009,regular,70,2010-03-19,0,Washington Wizards,
70,Portland Trailblazers,2009,regular,71,2010-03-21,1,Phoenix Suns,
71,Portland Trailblazers,2009,regular,72,2010-03-25,0,Dallas Mavericks,
72,Portland Trailblazers,2009,regular,73,2010-03-27,1,New Orleans Hornets,
73,Portland Trailblazers,2009,regular,74,2010-03-28,1,Oklahoma City Thunder,
74,Portland Trailblazers,2009,regular,75,2010-03-31,0,New York Knicks,
75,Portland Trailblazers,2009,regular,76,2010-04-01,1,Denver Nuggets,
76,Portland Trailblazers,2009,regular,77,2010-04-03,1,Sacramento Kings,
77,Portland Trailblazers,2009,regular,78,2010-04-07,1,Los Angeles Clippers,
78,Portland Trailblazers,2009,regular,79,2010-04-09,0,Dallas Mavericks,
79,Portland Trailblazers,2009,regular,80,2010-04-11,1,Los Angeles Lakers,
