,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Sacramento Kings,2009,regular,1,2009-10-28,1,Oklahoma City Thunder,
1,Sacramento Kings,2009,regular,2,2009-10-30,1,New Orleans Hornets,
2,Sacramento Kings,2009,regular,3,2009-10-31,1,San Antonio Spurs,
3,Sacramento Kings,2009,regular,4,2009-11-02,0,Memphis Grizzlies,OT
4,Sacramento Kings,2009,regular,5,2009-11-04,0,Atlanta Hawks,
5,Sacramento Kings,2009,regular,6,2009-11-07,1,Utah Jazz,
6,Sacramento Kings,2009,regular,7,2009-11-08,0,Golden State Warriors,
7,Sacramento Kings,2009,regular,8,2009-11-10,0,Oklahoma City Thunder,
8,Sacramento Kings,2009,regular,9,2009-11-13,0,Houston Rockets,
9,Sacramento Kings,2009,regular,10,2009-11-17,0,Chicago Bulls,
10,Sacramento Kings,2009,regular,11,2009-11-20,1,Dallas Mavericks,
11,Sacramento Kings,2009,regular,12,2009-11-21,1,Houston Rockets,
12,Sacramento Kings,2009,regular,13,2009-11-23,1,Memphis Grizzlies,
13,Sacramento Kings,2009,regular,14,2009-11-25,0,New York Knicks,
14,Sacramento Kings,2009,regular,15,2009-11-27,0,New Jersey Nets,
15,Sacramento Kings,2009,regular,16,2009-11-29,0,New Orleans Hornets,
16,Sacramento Kings,2009,regular,17,2009-12-02,0,Indiana Pacers,
17,Sacramento Kings,2009,regular,18,2009-12-05,1,Phoenix Suns,
18,Sacramento Kings,2009,regular,19,2009-12-06,0,Miami Heat,
19,Sacramento Kings,2009,regular,20,2009-12-08,1,New Orleans Hornets,
20,Sacramento Kings,2009,regular,21,2009-12-09,1,San Antonio Spurs,
21,Sacramento Kings,2009,regular,22,2009-12-12,0,Minnesota Timberwolves,
22,Sacramento Kings,2009,regular,23,2009-12-15,1,Portland Trail Blazers,
23,Sacramento Kings,2009,regular,24,2009-12-16,0,Washington Wizards,
24,Sacramento Kings,2009,regular,25,2009-12-18,1,Minnesota Timberwolves,
25,Sacramento Kings,2009,regular,26,2009-12-19,1,Milwaukee Bucks,
26,Sacramento Kings,2009,regular,27,2009-12-21,1,Chicago Bulls,
