,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,San Antonio Spurs,2009,regular,1,2009-10-28,0,New Orleans Hornets,
1,San Antonio Spurs,2009,regular,2,2009-10-29,1,Chicago Bulls,
2,San Antonio Spurs,2009,regular,3,2009-10-31,0,Sacramento Kings,
3,San Antonio Spurs,2009,regular,4,2009-11-05,1,Utah Jazz,
4,San Antonio Spurs,2009,regular,5,2009-11-06,1,Portland Trail Blazers,
5,San Antonio Spurs,2009,regular,6,2009-11-09,0,Toronto Raptors,
6,San Antonio Spurs,2009,regular,7,2009-11-11,0,Dallas Mavericks,
7,San Antonio Spurs,2009,regular,8,2009-11-14,0,Oklahoma City Thunder,
8,San Antonio Spurs,2009,regular,9,2009-11-18,1,Dallas Mavericks,OT
9,San Antonio Spurs,2009,regular,10,2009-11-19,0,Utah Jazz,
10,San Antonio Spurs,2009,regular,11,2009-11-21,0,Washington Wizards,
11,San Antonio Spurs,2009,regular,12,2009-11-23,0,Milwaukee Bucks,
12,San Antonio Spurs,2009,regular,13,2009-11-25,0,Golden State Warriors,
13,San Antonio Spurs,2009,regular,14,2009-11-27,1,Houston Rockets,
14,San Antonio Spurs,2009,regular,15,2009-11-29,0,Philadelphia 76ers,
15,San Antonio Spurs,2009,regular,16,2009-12-03,0,Boston Celtics,
16,San Antonio Spurs,2009,regular,17,2009-12-05,0,Denver Nuggets,
17,San Antonio Spurs,2009,regular,18,2009-12-07,1,Utah Jazz,
18,San Antonio Spurs,2009,regular,19,2009-12-09,0,Sacramento Kings,
19,San Antonio Spurs,2009,regular,20,2009-12-11,0,Charlotte Bobcats,
20,San Antonio Spurs,2009,regular,21,2009-12-13,1,Los Angeles Clippers,
21,San Antonio Spurs,2009,regular,22,2009-12-15,1,Phoenix Suns,
22,San Antonio Spurs,2009,regular,23,2009-12-16,1,Golden State Warriors,
23,San Antonio Spurs,2009,regular,24,2009-12-19,0,Indiana Pacers,
24,San Antonio Spurs,2009,regular,25,2009-12-21,0,Los Angeles Clippers,
25,San Antonio Spurs,2009,regular,26,2009-12-23,0,Portland Trail Blazers,
26,San Antonio Spurs,2009,regular,27,2009-12-26,1,Milwaukee Bucks,
27,San Antonio Spurs,2009,regular,28,2009-12-27,1,New York Knicks,
28,San Antonio Spurs,2009,regular,29,2009-12-29,0,Minnesota Timberwolves,
29,San Antonio Spurs,2009,regular,30,2009-12-31,0,Miami Heat,
