,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Toronto Raptors,2009,regular,1,2009-10-28,0,Cleveland Cavaliers,
1,Toronto Raptors,2009,regular,2,2009-10-30,1,Memphis Grizzlies,
2,Toronto Raptors,2009,regular,3,2009-11-01,0,Orlando Magic,
3,Toronto Raptors,2009,regular,4,2009-11-04,0,Detroit Pistons,
4,Toronto Raptors,2009,regular,5,2009-11-06,1,New Orleans Hornets,
5,Toronto Raptors,2009,regular,6,2009-11-07,1,Dallas Mavericks,
6,Toronto Raptors,2009,regular,7,2009-11-09,1,San Antonio Spurs,
7,Toronto Raptors,2009,regular,8,2009-11-11,0,Chicago Bulls,
8,Toronto Raptors,2009,regular,9,2009-11-13,1,Los Angeles Clippers,
9,Toronto Raptors,2009,regular,10,2009-11-15,1,Phoenix Suns,
10,Toronto Raptors,2009,regular,11,2009-11-17,1,Denver Nuggets,
11,Toronto Raptors,2009,regular,12,2009-11-18,1,Utah Jazz,
12,Toronto Raptors,2009,regular,13,2009-11-20,0,Miami Heat,
13,Toronto Raptors,2009,regular,14,2009-11-22,0,Orlando Magic,
14,Toronto Raptors,2009,regular,15,2009-11-24,0,Indiana Pacers,
15,Toronto Raptors,2009,regular,16,2009-11-25,1,Charlotte Bobcats,
16,Toronto Raptors,2009,regular,17,2009-11-27,1,Boston Celtics,
17,Toronto Raptors,2009,regular,18,2009-11-29,0,Phoenix Suns,
18,Toronto Raptors,2009,regular,19,2009-12-01,0,Washington Wizards,
19,Toronto Raptors,2009,regular,20,2009-12-02,1,Atlanta Hawks,
20,Toronto Raptors,2009,regular,21,2009-12-04,1,Washington Wizards,OT
21,Toronto Raptors,2009,regular,22,2009-12-05,1,Chicago Bulls,
22,Toronto Raptors,2009,regular,23,2009-12-08,0,Minnesota Timberwolves,
23,Toronto Raptors,2009,regular,24,2009-12-09,1,Milwaukee Bucks,
24,Toronto Raptors,2009,regular,25,2009-12-11,0,Atlanta Hawks,
25,Toronto Raptors,2009,regular,26,2009-12-13,0,Houston Rockets,
26,Toronto Raptors,2009,regular,27,2009-12-15,1,Miami Heat,
27,Toronto Raptors,2009,regular,28,2009-12-16,1,Orlando Magic,
28,Toronto Raptors,2009,regular,29,2009-12-18,0,New Jersey Nets,
29,Toronto Raptors,2009,regular,30,2009-12-20,0,New Orleans Hornets,
30,Toronto Raptors,2009,regular,31,2009-12-23,1,Detroit Pistons,
31,Toronto Raptors,2009,regular,32,2009-12-27,0,Detroit Pistons,
32,Toronto Raptors,2009,regular,33,2009-12-30,0,Charlotte Bobcats,
33,Toronto Raptors,2009,regular,34,2010-01-02,1,Boston Celtics,
34,Toronto Raptors,2009,regular,35,2010-01-03,0,San Antonio Spurs,
35,Toronto Raptors,2009,regular,36,2010-01-06,1,Orlando Magic,
36,Toronto Raptors,2009,regular,37,2010-01-08,1,Philadelphia 76ers,
37,Toronto Raptors,2009,regular,38,2010-01-10,0,Boston Celtics,
38,Toronto Raptors,2009,regular,39,2010-01-11,1,Indiana Pacers,
39,Toronto Raptors,2009,regular,40,2010-01-15,1,New York Knicks,
40,Toronto Raptors,2009,regular,41,2010-01-17,0,Dallas Mavericks,
41,Toronto Raptors,2009,regular,42,2010-01-19,1,Cleveland Cavaliers,
42,Toronto Raptors,2009,regular,43,2010-01-20,1,Milwaukee Bucks,
43,Toronto Raptors,2009,regular,44,2010-01-22,0,Milwaukee Bucks,
44,Toronto Raptors,2009,regular,45,2010-01-24,0,Los Angeles Lakers,
45,Toronto Raptors,2009,regular,46,2010-01-27,0,Miami Heat,
46,Toronto Raptors,2009,regular,47,2010-01-28,1,New York Knicks,
47,Toronto Raptors,2009,regular,48,2010-01-31,0,Indiana Pacers,
48,Toronto Raptors,2009,regular,49,2010-02-02,1,Indiana Pacers,
49,Toronto Raptors,2009,regular,50,2010-02-03,0,New Jersey Nets,
50,Toronto Raptors,2009,regular,51,2010-02-07,0,Sacramento Kings,
51,Toronto Raptors,2009,regular,52,2010-02-10,0,Philadelphia 76ers,
52,Toronto Raptors,2009,regular,53,2010-02-17,0,Memphis Grizzlies,OT
53,Toronto Raptors,2009,regular,54,2010-02-19,1,New Jersey Nets,
54,Toronto Raptors,2009,regular,55,2010-02-20,0,Washington Wizards,
55,Toronto Raptors,2009,regular,56,2010-02-24,0,Portland Trail Blazers,
56,Toronto Raptors,2009,regular,57,2010-02-26,0,Cleveland Cavaliers,OT
57,Toronto Raptors,2009,regular,58,2010-02-28,1,Oklahoma City Thunder,
58,Toronto Raptors,2009,regular,59,2010-03-01,1,Houston Rockets,
59,Toronto Raptors,2009,regular,60,2010-03-05,0,New York Knicks,
60,Toronto Raptors,2009,regular,61,2010-03-07,0,Philadelphia 76ers,
61,Toronto Raptors,2009,regular,62,2010-03-09,1,Los Angeles Lakers,
62,Toronto Raptors,2009,regular,63,2010-03-10,1,Sacramento Kings,
63,Toronto Raptors,2009,regular,64,2010-03-13,1,Golden State Warriors,
64,Toronto Raptors,2009,regular,65,2010-03-14,1,Portland Trail Blazers,
65,Toronto Raptors,2009,regular,66,2010-03-17,0,Atlanta Hawks,
66,Toronto Raptors,2009,regular,67,2010-03-19,0,Oklahoma City Thunder,
67,Toronto Raptors,2009,regular,68,2010-03-20,1,New Jersey Nets,
68,Toronto Raptors,2009,regular,69,2010-03-22,1,Minnesota Timberwolves,
69,Toronto Raptors,2009,regular,70,2010-03-24,0,Utah Jazz,
70,Toronto Raptors,2009,regular,71,2010-03-26,0,Denver Nuggets,
71,Toronto Raptors,2009,regular,72,2010-03-28,1,Miami Heat,
72,Toronto Raptors,2009,regular,73,2010-03-29,1,Charlotte Bobcats,
73,Toronto Raptors,2009,regular,74,2010-03-31,0,Los Angeles Clippers,
74,Toronto Raptors,2009,regular,75,2010-04-03,1,Philadelphia 76ers,OT
75,Toronto Raptors,2009,regular,76,2010-04-04,0,Golden State Warriors,
76,Toronto Raptors,2009,regular,77,2010-04-06,1,Cleveland Cavaliers,
77,Toronto Raptors,2009,regular,78,2010-04-07,0,Boston Celtics,
78,Toronto Raptors,2009,regular,79,2010-04-09,1,Atlanta Hawks,
79,Toronto Raptors,2009,regular,80,2010-04-11,0,Chicago Bulls,
80,Toronto Raptors,2009,regular,81,2010-04-12,1,Detroit Pistons,
81,Toronto Raptors,2009,regular,82,2010-04-14,0,New York Knicks,
82,Toronto Raptors,2010,regular,1,2010-10-27,0,New York Knicks,
83,Toronto Raptors,2010,regular,2,2010-10-29,0,Cleveland Cavaliers,
84,Toronto Raptors,2010,regular,3,2010-11-01,1,Sacramento Kings,
85,Toronto Raptors,2010,regular,4,2010-11-03,1,Utah Jazz,
86,Toronto Raptors,2010,regular,5,2010-11-05,1,Los Angeles Lakers,
87,Toronto Raptors,2010,regular,6,2010-11-06,1,Portland Trail Blazers,
88,Toronto Raptors,2010,regular,7,2010-11-08,0,Golden State Warriors,
89,Toronto Raptors,2010,regular,8,2010-11-10,0,Charlotte Bobcats,
90,Toronto Raptors,2010,regular,9,2010-11-12,1,Orlando Magic,
91,Toronto Raptors,2010,regular,10,2010-11-13,1,Miami Heat,
92,Toronto Raptors,2010,regular,11,2010-11-16,1,Washington Wizards,
93,Toronto Raptors,2010,regular,12,2010-11-17,1,Philadelphia 76ers,
94,Toronto Raptors,2010,regular,13,2010-11-19,0,Houston Rockets,
95,Toronto Raptors,2010,regular,14,2010-11-21,0,Boston Celtics,
96,Toronto Raptors,2010,regular,15,2010-11-24,0,Philadelphia 76ers,
97,Toronto Raptors,2010,regular,16,2010-11-26,1,Boston Celtics,
98,Toronto Raptors,2010,regular,17,2010-11-28,0,Atlanta Hawks,
99,Toronto Raptors,2010,regular,18,2010-12-01,0,Washington Wizards,
100,Toronto Raptors,2010,regular,19,2010-12-03,0,Oklahoma City Thunder,
101,Toronto Raptors,2010,regular,20,2010-12-05,0,New York Knicks,
102,Toronto Raptors,2010,regular,21,2010-12-06,1,Indiana Pacers,
103,Toronto Raptors,2010,regular,22,2010-12-08,1,New York Knicks,
104,Toronto Raptors,2010,regular,23,2010-12-10,0,Denver Nuggets,
105,Toronto Raptors,2010,regular,24,2010-12-11,1,Detroit Pistons,
106,Toronto Raptors,2010,regular,25,2010-12-14,1,Charlotte Bobcats,
107,Toronto Raptors,2010,regular,26,2010-12-15,0,Chicago Bulls,
108,Toronto Raptors,2010,regular,27,2010-12-17,0,New Jersey Nets,
109,Toronto Raptors,2010,regular,28,2010-12-19,0,Los Angeles Lakers,
110,Toronto Raptors,2010,regular,29,2010-12-22,0,Detroit Pistons,
111,Toronto Raptors,2010,regular,30,2010-12-27,1,Memphis Grizzlies,
112,Toronto Raptors,2010,regular,31,2010-12-28,1,Dallas Mavericks,
113,Toronto Raptors,2010,regular,32,2010-12-31,1,Houston Rockets,
114,Toronto Raptors,2010,regular,33,2011-01-02,0,Boston Celtics,
115,Toronto Raptors,2010,regular,34,2011-01-04,1,Chicago Bulls,
116,Toronto Raptors,2010,regular,35,2011-01-05,1,Cleveland Cavaliers,
117,Toronto Raptors,2010,regular,36,2011-01-07,1,Boston Celtics,
118,Toronto Raptors,2010,regular,37,2011-01-09,0,Sacramento Kings,
119,Toronto Raptors,2010,regular,38,2011-01-12,0,Atlanta Hawks,
120,Toronto Raptors,2010,regular,39,2011-01-14,0,Detroit Pistons,
121,Toronto Raptors,2010,regular,40,2011-01-15,1,Washington Wizards,
122,Toronto Raptors,2010,regular,41,2011-01-17,1,New Orleans Hornets,
123,Toronto Raptors,2010,regular,42,2011-01-19,1,San Antonio Spurs,
124,Toronto Raptors,2010,regular,43,2011-01-21,1,Orlando Magic,
125,Toronto Raptors,2010,regular,44,2011-01-22,1,Miami Heat,
126,Toronto Raptors,2010,regular,45,2011-01-24,0,Memphis Grizzlies,
127,Toronto Raptors,2010,regular,46,2011-01-26,0,Philadelphia 76ers,
128,Toronto Raptors,2010,regular,47,2011-01-28,0,Milwaukee Bucks,OT
129,Toronto Raptors,2010,regular,48,2011-01-29,1,Minnesota Timberwolves,
130,Toronto Raptors,2010,regular,49,2011-01-31,1,Indiana Pacers,
131,Toronto Raptors,2010,regular,50,2011-02-02,1,Atlanta Hawks,
132,Toronto Raptors,2010,regular,51,2011-02-04,0,Minnesota Timberwolves,
133,Toronto Raptors,2010,regular,52,2011-02-08,1,Milwaukee Bucks,
134,Toronto Raptors,2010,regular,53,2011-02-09,0,San Antonio Spurs,
135,Toronto Raptors,2010,regular,54,2011-02-11,0,Portland Trail Blazers,
136,Toronto Raptors,2010,regular,55,2011-02-13,0,Los Angeles Clippers,
137,Toronto Raptors,2010,regular,56,2011-02-16,0,Miami Heat,
138,Toronto Raptors,2010,regular,57,2011-02-22,1,Charlotte Bobcats,
139,Toronto Raptors,2010,regular,58,2011-02-23,0,Chicago Bulls,
140,Toronto Raptors,2010,regular,59,2011-02-25,0,Phoenix Suns,
141,Toronto Raptors,2010,regular,60,2011-02-27,0,Dallas Mavericks,
142,Toronto Raptors,2010,regular,61,2011-03-01,0,New Orleans Hornets,
143,Toronto Raptors,2010,regular,62,2011-03-04,1,New Jersey Nets,
144,Toronto Raptors,2010,regular,63,2011-03-05,1,New Jersey Nets,3OT
145,Toronto Raptors,2010,regular,64,2011-03-09,0,Utah Jazz,
146,Toronto Raptors,2010,regular,65,2011-03-11,0,Indiana Pacers,
147,Toronto Raptors,2010,regular,66,2011-03-13,0,Charlotte Bobcats,
148,Toronto Raptors,2010,regular,67,2011-03-16,1,Detroit Pistons,
149,Toronto Raptors,2010,regular,68,2011-03-18,0,Washington Wizards,
150,Toronto Raptors,2010,regular,69,2011-03-20,1,Oklahoma City Thunder,
151,Toronto Raptors,2010,regular,70,2011-03-21,1,Denver Nuggets,
152,Toronto Raptors,2010,regular,71,2011-03-23,1,Phoenix Suns,
153,Toronto Raptors,2010,regular,72,2011-03-25,1,Golden State Warriors,
154,Toronto Raptors,2010,regular,73,2011-03-26,1,Los Angeles Clippers,
155,Toronto Raptors,2010,regular,74,2011-03-30,0,Milwaukee Bucks,
