,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Utah Jazz,2009,regular,1,2009-10-28,1,Denver Nuggets,
1,Utah Jazz,2009,regular,2,2009-10-30,0,Los Angeles Clippers,
2,Utah Jazz,2009,regular,3,2009-11-02,0,Houston Rockets,
3,Utah Jazz,2009,regular,4,2009-11-03,1,Dallas Mavericks,
4,Utah Jazz,2009,regular,5,2009-11-05,0,San Antonio Spurs,
5,Utah Jazz,2009,regular,6,2009-11-07,0,Sacramento Kings,
6,Utah Jazz,2009,regular,7,2009-11-09,1,New York Knicks,
7,Utah Jazz,2009,regular,8,2009-11-11,1,Boston Celtics,
8,Utah Jazz,2009,regular,9,2009-11-13,1,Philadelphia 76ers,
9,Utah Jazz,2009,regular,10,2009-11-14,1,Cleveland Cavaliers,
10,Utah Jazz,2009,regular,11,2009-11-18,0,Toronto Raptors,
11,Utah Jazz,2009,regular,12,2009-11-19,1,San Antonio Spurs,
12,Utah Jazz,2009,regular,13,2009-11-21,0,Detroit Pistons,OT
13,Utah Jazz,2009,regular,14,2009-11-24,0,Oklahoma City Thunder,
14,Utah Jazz,2009,regular,15,2009-11-26,0,Chicago Bulls,
15,Utah Jazz,2009,regular,16,2009-11-28,0,Portland Trail Blazers,
16,Utah Jazz,2009,regular,17,2009-11-30,0,Memphis Grizzlies,
17,Utah Jazz,2009,regular,18,2009-12-04,0,Indiana Pacers,
18,Utah Jazz,2009,regular,19,2009-12-05,1,Minnesota Timberwolves,
19,Utah Jazz,2009,regular,20,2009-12-07,0,San Antonio Spurs,
20,Utah Jazz,2009,regular,21,2009-12-09,1,Los Angeles Lakers,
21,Utah Jazz,2009,regular,22,2009-12-10,0,Orlando Magic,
22,Utah Jazz,2009,regular,23,2009-12-12,0,Los Angeles Lakers,
23,Utah Jazz,2009,regular,24,2009-12-14,0,Minnesota Timberwolves,
24,Utah Jazz,2009,regular,25,2009-12-16,1,New Jersey Nets,
25,Utah Jazz,2009,regular,26,2009-12-18,1,Atlanta Hawks,
26,Utah Jazz,2009,regular,27,2009-12-19,1,Charlotte Bobcats,
27,Utah Jazz,2009,regular,28,2009-12-21,1,Orlando Magic,
28,Utah Jazz,2009,regular,29,2009-12-23,1,Miami Heat,
29,Utah Jazz,2009,regular,30,2009-12-26,0,Philadelphia 76ers,
30,Utah Jazz,2009,regular,31,2009-12-30,1,Minnesota Timberwolves,
31,Utah Jazz,2009,regular,32,2009-12-31,1,Oklahoma City Thunder,
32,Utah Jazz,2009,regular,33,2010-01-02,0,Denver Nuggets,
33,Utah Jazz,2009,regular,34,2010-01-04,0,New Orleans Hornets,
34,Utah Jazz,2009,regular,35,2010-01-06,0,Memphis Grizzlies,
35,Utah Jazz,2009,regular,36,2010-01-08,1,Memphis Grizzlies,
36,Utah Jazz,2009,regular,37,2010-01-09,1,Dallas Mavericks,
37,Utah Jazz,2009,regular,38,2010-01-11,0,Miami Heat,
38,Utah Jazz,2009,regular,39,2010-01-14,0,Cleveland Cavaliers,
39,Utah Jazz,2009,regular,40,2010-01-16,0,Milwaukee Bucks,
40,Utah Jazz,2009,regular,41,2010-01-17,1,Denver Nuggets,
41,Utah Jazz,2009,regular,42,2010-01-20,1,San Antonio Spurs,
42,Utah Jazz,2009,regular,43,2010-01-23,0,New Jersey Nets,
43,Utah Jazz,2009,regular,44,2010-01-25,0,Phoenix Suns,
44,Utah Jazz,2009,regular,45,2010-01-27,1,Portland Trail Blazers,
45,Utah Jazz,2009,regular,46,2010-01-29,0,Sacramento Kings,
46,Utah Jazz,2009,regular,47,2010-02-01,0,Dallas Mavericks,
47,Utah Jazz,2009,regular,48,2010-02-03,0,Portland Trail Blazers,
48,Utah Jazz,2009,regular,49,2010-02-06,0,Denver Nuggets,
49,Utah Jazz,2009,regular,50,2010-02-09,1,Los Angeles Clippers,
50,Utah Jazz,2009,regular,51,2010-02-10,0,Los Angeles Lakers,
51,Utah Jazz,2009,regular,52,2010-02-16,1,Houston Rockets,
52,Utah Jazz,2009,regular,53,2010-02-17,1,New Orleans Hornets,
53,Utah Jazz,2009,regular,54,2010-02-19,1,Golden State Warriors,
54,Utah Jazz,2009,regular,55,2010-02-21,1,Portland Trail Blazers,OT
55,Utah Jazz,2009,regular,56,2010-02-22,0,Atlanta Hawks,
56,Utah Jazz,2009,regular,57,2010-02-24,0,Charlotte Bobcats,
57,Utah Jazz,2009,regular,58,2010-02-26,1,Sacramento Kings,
58,Utah Jazz,2009,regular,59,2010-02-27,0,Houston Rockets,
59,Utah Jazz,2009,regular,60,2010-03-01,1,Los Angeles Clippers,
60,Utah Jazz,2009,regular,61,2010-03-04,1,Phoenix Suns,
61,Utah Jazz,2009,regular,62,2010-03-06,0,Los Angeles Clippers,
62,Utah Jazz,2009,regular,63,2010-03-09,1,Chicago Bulls,
63,Utah Jazz,2009,regular,64,2010-03-10,1,Detroit Pistons,
64,Utah Jazz,2009,regular,65,2010-03-12,1,Milwaukee Bucks,
65,Utah Jazz,2009,regular,66,2010-03-14,1,Oklahoma City Thunder,
66,Utah Jazz,2009,regular,67,2010-03-15,0,Washington Wizards,
67,Utah Jazz,2009,regular,68,2010-03-17,0,Minnesota Timberwolves,
68,Utah Jazz,2009,regular,69,2010-03-19,1,Phoenix Suns,
69,Utah Jazz,2009,regular,70,2010-03-20,0,New Orleans Hornets,
70,Utah Jazz,2009,regular,71,2010-03-22,0,Boston Celtics,
71,Utah Jazz,2009,regular,72,2010-03-24,1,Toronto Raptors,
72,Utah Jazz,2009,regular,73,2010-03-26,1,Indiana Pacers,
73,Utah Jazz,2009,regular,74,2010-03-27,1,Washington Wizards,
74,Utah Jazz,2009,regular,75,2010-03-29,0,New York Knicks,
75,Utah Jazz,2009,regular,76,2010-03-31,0,Golden State Warriors,
76,Utah Jazz,2009,regular,77,2010-04-02,1,Los Angeles Lakers,
77,Utah Jazz,2009,regular,78,2010-04-06,0,Oklahoma City Thunder,OT
78,Utah Jazz,2009,regular,79,2010-04-07,1,Houston Rockets,
79,Utah Jazz,2009,regular,80,2010-04-09,1,New Orleans Hornets,
80,Utah Jazz,2009,regular,81,2010-04-13,1,Golden State Warriors,
81,Utah Jazz,2009,regular,82,2010-04-14,0,Phoenix Suns,
82,Utah Jazz,2009,post,83,2010-04-17,1,Denver Nuggets,
83,Utah Jazz,2009,post,84,2010-04-19,1,Denver Nuggets,
84,Utah Jazz,2009,post,85,2010-04-23,0,Denver Nuggets,
85,Utah Jazz,2009,post,86,2010-04-25,0,Denver Nuggets,
86,Utah Jazz,2009,post,87,2010-04-28,1,Denver Nuggets,
87,Utah Jazz,2009,post,88,2010-04-30,0,Denver Nuggets,
88,Utah Jazz,2009,post,89,2010-05-02,1,Los Angeles Lakers,
89,Utah Jazz,2009,post,90,2010-05-04,1,Los Angeles Lakers,
90,Utah Jazz,2009,post,91,2010-05-08,0,Los Angeles Lakers,
91,Utah Jazz,2009,post,92,2010-05-10,0,Los Angeles Lakers,
92,Utah Jazz,2010,regular,1,2010-10-27,1,Denver Nuggets,
93,Utah Jazz,2010,regular,2,2010-10-28,0,Phoenix Suns,
94,Utah Jazz,2010,regular,3,2010-10-31,1,Oklahoma City Thunder,
95,Utah Jazz,2010,regular,4,2010-11-03,0,Toronto Raptors,
96,Utah Jazz,2010,regular,5,2010-11-05,1,Golden State Warriors,
97,Utah Jazz,2010,regular,6,2010-11-06,0,Los Angeles Clippers,2OT
98,Utah Jazz,2010,regular,7,2010-11-09,1,Miami Heat,OT
99,Utah Jazz,2010,regular,8,2010-11-10,1,Orlando Magic,
100,Utah Jazz,2010,regular,9,2010-11-12,1,Atlanta Hawks,
101,Utah Jazz,2010,regular,10,2010-11-13,1,Charlotte Bobcats,
102,Utah Jazz,2010,regular,11,2010-11-15,0,Oklahoma City Thunder,
103,Utah Jazz,2010,regular,12,2010-11-17,0,New Jersey Nets,
104,Utah Jazz,2010,regular,13,2010-11-19,0,San Antonio Spurs,
105,Utah Jazz,2010,regular,14,2010-11-20,1,Portland Trail Blazers,
106,Utah Jazz,2010,regular,15,2010-11-22,0,Sacramento Kings,
107,Utah Jazz,2010,regular,16,2010-11-24,0,New Orleans Hornets,
108,Utah Jazz,2010,regular,17,2010-11-26,0,Los Angeles Lakers,
109,Utah Jazz,2010,regular,18,2010-11-28,1,Los Angeles Clippers,
