,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
0,Washington Wizards,2009,regular,1,2009-10-27,1,Dallas Mavericks,
1,Washington Wizards,2009,regular,2,2009-10-30,1,Atlanta Hawks,
2,Washington Wizards,2009,regular,3,2009-10-31,0,New Jersey Nets,
3,Washington Wizards,2009,regular,4,2009-11-03,1,Cleveland Cavaliers,
4,Washington Wizards,2009,regular,5,2009-11-04,0,Miami Heat,
5,Washington Wizards,2009,regular,6,2009-11-06,1,Indiana Pacers,
6,Washington Wizards,2009,regular,7,2009-11-08,0,Phoenix Suns,
7,Washington Wizards,2009,regular,8,2009-11-10,1,Miami Heat,
8,Washington Wizards,2009,regular,9,2009-11-14,0,Detroit Pistons,
9,Washington Wizards,2009,regular,10,2009-11-18,0,Cleveland Cavaliers,
10,Washington Wizards,2009,regular,11,2009-11-20,1,Oklahoma City Thunder,
11,Washington Wizards,2009,regular,12,2009-11-21,1,San Antonio Spurs,
12,Washington Wizards,2009,regular,13,2009-11-24,0,Philadelphia 76ers,
13,Washington Wizards,2009,regular,14,2009-11-27,1,Miami Heat,
14,Washington Wizards,2009,regular,15,2009-11-28,0,Charlotte Bobcats,
15,Washington Wizards,2009,regular,16,2009-12-01,1,Toronto Raptors,
16,Washington Wizards,2009,regular,17,2009-12-02,0,Milwaukee Bucks,
17,Washington Wizards,2009,regular,18,2009-12-04,0,Toronto Raptors,OT
18,Washington Wizards,2009,regular,19,2009-12-06,1,Detroit Pistons,
19,Washington Wizards,2009,regular,20,2009-12-10,0,Boston Celtics,
20,Washington Wizards,2009,regular,21,2009-12-12,0,Indiana Pacers,
21,Washington Wizards,2009,regular,22,2009-12-14,1,Los Angeles Clippers,
22,Washington Wizards,2009,regular,23,2009-12-16,1,Sacramento Kings,
23,Washington Wizards,2009,regular,24,2009-12-18,1,Golden State Warriors,
24,Washington Wizards,2009,regular,25,2009-12-19,1,Phoenix Suns,
25,Washington Wizards,2009,regular,26,2009-12-22,0,Philadelphia 76ers,
26,Washington Wizards,2009,regular,27,2009-12-23,1,Milwaukee Bucks,
27,Washington Wizards,2009,regular,28,2009-12-26,1,Minnesota Timberwolves,
28,Washington Wizards,2009,regular,29,2009-12-28,1,Memphis Grizzlies,OT
29,Washington Wizards,2009,regular,30,2009-12-29,0,Oklahoma City Thunder,
30,Washington Wizards,2009,regular,31,2010-01-02,0,San Antonio Spurs,
31,Washington Wizards,2009,regular,32,2010-01-05,1,Philadelphia 76ers,
32,Washington Wizards,2009,regular,33,2010-01-06,1,Cleveland Cavaliers,
33,Washington Wizards,2009,regular,34,2010-01-08,0,Orlando Magic,
34,Washington Wizards,2009,regular,35,2010-01-10,0,New Orleans Hornets,
35,Washington Wizards,2009,regular,36,2010-01-12,0,Detroit Pistons,
36,Washington Wizards,2009,regular,37,2010-01-13,1,Atlanta Hawks,
37,Washington Wizards,2009,regular,38,2010-01-15,1,Chicago Bulls,2OT
38,Washington Wizards,2009,regular,39,2010-01-16,0,Sacramento Kings,
39,Washington Wizards,2009,regular,40,2010-01-18,0,Portland Trail Blazers,
40,Washington Wizards,2009,regular,41,2010-01-20,0,Dallas Mavericks,
41,Washington Wizards,2009,regular,42,2010-01-22,0,Miami Heat,
42,Washington Wizards,2009,regular,43,2010-01-24,0,Los Angeles Clippers,
43,Washington Wizards,2009,regular,44,2010-01-26,0,Los Angeles Lakers,
44,Washington Wizards,2009,regular,45,2010-01-29,1,New Jersey Nets,
45,Washington Wizards,2009,regular,46,2010-01-30,0,New York Knicks,
46,Washington Wizards,2009,regular,47,2010-02-01,0,Boston Celtics,
47,Washington Wizards,2009,regular,48,2010-02-03,1,New York Knicks,
48,Washington Wizards,2009,regular,49,2010-02-05,1,Orlando Magic,
49,Washington Wizards,2009,regular,50,2010-02-09,1,Charlotte Bobcats,
50,Washington Wizards,2009,regular,51,2010-02-17,0,Minnesota Timberwolves,
51,Washington Wizards,2009,regular,52,2010-02-19,0,Denver Nuggets,
52,Washington Wizards,2009,regular,53,2010-02-20,1,Toronto Raptors,
53,Washington Wizards,2009,regular,54,2010-02-22,0,Chicago Bulls,
54,Washington Wizards,2009,regular,55,2010-02-24,0,Memphis Grizzlies,
55,Washington Wizards,2009,regular,56,2010-02-26,0,New York Knicks,OT
56,Washington Wizards,2009,regular,57,2010-02-28,1,New Jersey Nets,
57,Washington Wizards,2009,regular,58,2010-03-03,1,Milwaukee Bucks,
58,Washington Wizards,2009,regular,59,2010-03-05,0,Milwaukee Bucks,
59,Washington Wizards,2009,regular,60,2010-03-07,1,Boston Celtics,
60,Washington Wizards,2009,regular,61,2010-03-09,0,Houston Rockets,
61,Washington Wizards,2009,regular,62,2010-03-11,0,Atlanta Hawks,
62,Washington Wizards,2009,regular,63,2010-03-12,1,Detroit Pistons,
63,Washington Wizards,2009,regular,64,2010-03-13,0,Orlando Magic,
64,Washington Wizards,2009,regular,65,2010-03-15,1,Utah Jazz,
65,Washington Wizards,2009,regular,66,2010-03-16,1,Denver Nuggets,
66,Washington Wizards,2009,regular,67,2010-03-19,1,Portland Trail Blazers,
67,Washington Wizards,2009,regular,68,2010-03-21,1,Los Angeles Lakers,
68,Washington Wizards,2009,regular,69,2010-03-23,0,Charlotte Bobcats,OT
69,Washington Wizards,2009,regular,70,2010-03-24,1,Indiana Pacers,
70,Washington Wizards,2009,regular,71,2010-03-26,1,Charlotte Bobcats,
71,Washington Wizards,2009,regular,72,2010-03-27,0,Utah Jazz,
72,Washington Wizards,2009,regular,73,2010-03-30,1,Houston Rockets,
73,Washington Wizards,2009,regular,74,2010-03-31,1,New Orleans Hornets,
74,Washington Wizards,2009,regular,75,2010-04-02,0,Chicago Bulls,
75,Washington Wizards,2009,regular,76,2010-04-04,0,New Jersey Nets,
76,Washington Wizards,2009,regular,77,2010-04-06,0,Golden State Warriors,
77,Washington Wizards,2009,regular,78,2010-04-07,1,Orlando Magic,
78,Washington Wizards,2009,regular,79,2010-04-09,1,Boston Celtics,
79,Washington Wizards,2009,regular,80,2010-04-10,0,Atlanta Hawks,
80,Washington Wizards,2009,regular,81,2010-04-12,1,New York Knicks,
81,Washington Wizards,2009,regular,82,2010-04-14,0,Indiana Pacers,
82,Washington Wizards,2010,regular,1,2010-10-28,1,Orlando Magic,
83,Washington Wizards,2010,regular,2,2010-10-30,1,Atlanta Hawks,
84,Washington Wizards,2010,regular,3,2010-11-02,0,Philadelphia 76ers,OT
85,Washington Wizards,2010,regular,4,2010-11-05,1,New York Knicks,
86,Washington Wizards,2010,regular,5,2010-11-06,0,Cleveland Cavaliers,
87,Washington Wizards,2010,regular,6,2010-11-10,0,Houston Rockets,
88,Washington Wizards,2010,regular,7,2010-11-12,0,Charlotte Bobcats,
89,Washington Wizards,2010,regular,8,2010-11-13,1,Chicago Bulls,
90,Washington Wizards,2010,regular,9,2010-11-16,0,Toronto Raptors,
