,Date,Team,Acquired,Relinquished,Notes
0,2010-10-26,Blazers,,Elliot Williams,placed on IL
1,2010-10-26,Blazers,,Greg Oden,placed on IL with left knee injury (out for season)
2,2010-10-26,Blazers,,Joel Przybilla,placed on IL placed on IL recovering from surgery on right knee to repair ruptured patella tendon
3,2010-10-26,Celtics,,Avery Bradley,placed on IL recovering from surgery on left ankle
4,2010-10-26,Celtics,,Kendrick Perkins,placed on IL recovering from surgery on right knee to repair torn ACL
5,2010-10-26,Celtics,,Luke Harangody,placed on IL
6,2010-10-26,Heat,,Dexter Pittman,placed on IL
7,2010-10-26,Heat,,Jerry Stackhouse,placed on IL
8,2010-10-26,Heat,,Mike Miller,placed on IL recovering from surgery on right hand to repair a broken thumb and ligament damage
9,2010-10-26,Lakers,,Andrew Bynum,placed on IL recovering from surgery on right knee to repair torn ligaments
10,2010-10-26,Lakers,,Luke Walton,placed on IL with strained right hamstring
11,2010-10-26,Rockets,,Jermaine Taylor,placed on IL
12,2010-10-26,Rockets,,Kyle Lowry,placed on IL with back spasms
13,2010-10-26,Rockets,,Patrick Patterson,placed on IL
14,2010-10-26,Suns,,Gani Lawal,placed on IL
15,2010-10-26,Suns,,Matt Janning,placed on IL
16,2010-10-27,76ers,,Craig Brackins,placed on IL
17,2010-10-27,76ers,,Jodie Meeks,placed on IL
18,2010-10-27,Bobcats,,Dominic McGuire,placed on IL with stress fracture in left shin
19,2010-10-27,Bobcats,,Eduardo Najera,placed on IL with sports hernia
20,2010-10-27,Bobcats,,Kwame Brown,placed on IL with sprained left ankle
21,2010-10-27,Bucks,,Chris Douglas-Roberts,placed on IL with right eye injury
22,2010-10-27,Bucks,,Michael Redd,placed on IL recovering from surgery on left knee to repair torn ACL
23,2010-10-27,Bulls,,Carlos Boozer,placed on IL with fractured bone in right pinky finger
24,2010-10-27,Cavaliers,,Christian Eyenga,placed on IL
25,2010-10-27,Cavaliers,,Maurice Williams / Mo Williams,placed on IL with groin injury
26,2010-10-27,Cavaliers,,Samardo Samuels,placed on IL
27,2010-10-27,Clippers,,Craig Smith,placed on IL with back injury
28,2010-10-27,Clippers,,Willie Warren,placed on IL
29,2010-10-27,Grizzlies,,Greivis Vasquez,placed on IL recovering from surgery on right ankle to remove bone spur
30,2010-10-27,Grizzlies,,Marc Gasol,placed on IL with sprained right ankle / left ankle
31,2010-10-27,Hawks,,Etan Thomas,placed on IL
32,2010-10-27,Hawks,,Pape Sy,placed on IL with strained lower back
33,2010-10-27,Heat,,Jamaal Magloire,placed on IL
34,2010-10-27,Heat,Jerry Stackhouse,,activated from IL
35,2010-10-27,Hornets,,Aaron Gray,placed on IL
36,2010-10-27,Hornets,,Joe Alexander,placed on IL
37,2010-10-27,Hornets,,Quincy Pondexter,placed on IL
38,2010-10-27,Jazz,,Mehmet Okur,placed on IL recovering from surgery to repair torn left Achilles tendon
39,2010-10-27,Kings,,Antoine Wright,placed on IL
40,2010-10-27,Kings,,Samuel Dalembert,placed on IL with strained left abductor
41,2010-10-27,Knicks,,Anthony Randolph,placed on IL with sprained left ankle
42,2010-10-27,Knicks,,Eddy Curry,placed on IL with strained right hamstring
43,2010-10-27,Knicks,,Kelenna Azubuike,placed on IL recovering from arthroscopic surgery on right knee
44,2010-10-27,Mavericks,,Alexis Ajinca / Alex Ajinca,placed on IL
45,2010-10-27,Mavericks,,Rodrigue Beaubois,placed on IL with fractured left foot
46,2010-10-27,Mavericks,,Steve Novak,placed on IL
47,2010-10-27,Nets,,Ben Uzoh,placed on IL
48,2010-10-27,Nets,,Quinton Ross,placed on IL
49,2010-10-27,Nets,,Troy Murphy,placed on IL with strained lower back
50,2010-10-27,Nuggets,,Chris Andersen,placed on IL recovering from surgery on right knee to repair partially torn patella tendon
51,2010-10-27,Nuggets,,Kenyon Martin,placed on IL recovering from surgery on left knee
52,2010-10-27,Pacers,,A.J. Price,placed on IL
