,Date,Team,Acquired,Relinquished,Notes
0,2010-08-03,Clippers,,Craig Smith,arthroscopic surgery on right knee (out indefinitely)
1,2010-08-13,Mavericks,,Rodrigue Beaubois,surgery on left foot to repair broken fifth metatarsal (out indefinitely)
2,2010-08-14,Warriors,,Ekpe Udoh,surgery on left wrist (out indefinitely)
3,2010-09-21,Raptors,,Ed Davis (a),arthroscopic surgery on right kene to repair torn meniscus (out indefinteily)
4,2010-09-21,Thunder,,Nenad Krstic,surgery on right hand to repair broken finger (out indefinitely)
5,2010-09-24,Bobcats,,Kwame Brown,sprained left ankle (out indefinitely)
6,2010-09-27,Knicks,,Eddy Curry,strained right hamstring (out indefinitely)
7,2010-09-27,Rockets,,Brad Miller,sprained left ankle (DTD)
8,2010-09-29,Magic,,Jason Williams,arthroscopic surgery on left knee (out indefinitely) (date approximate)
9,2010-10-03,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely)
10,2010-10-06,Pistons,,Jonas Jerebko,torn right Achilles tendon (out indefinitely)
11,2010-10-06,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely)
12,2010-10-08,Blazers,,Jeff Pendergraph / Jeff Ayres,torn ACL in right knee (out indefinitely)
13,2010-10-08,Nets,,Troy Murphy,strained lower back (out indefinitely)
14,2010-10-08,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon
15,2010-10-08,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal
16,2010-10-09,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely)
17,2010-10-12,Bucks,,Darington Hobson,surgery on left hip (out for season)
18,2010-10-12,Kings,,Samuel Dalembert,strained left groin (out indefinitely)
19,2010-10-17,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely)
20,2010-10-18,Warriors,,Louis Amundson / Lou Amundson,surgery to repair fractured right index finger (out indefinitely)
21,2010-10-19,Suns,,Josh Childress,fractured right index finger (out indefinitely)
22,2010-10-22,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely)
23,2010-10-25,Thunder,,Nick Collison,left knee injury (out indefinitely)
24,2010-10-25,Timberwolves,,Martell Webster,surgery on back (out indefinitely)
25,2010-10-26,Heat,,Mario Chalmers,sprained ankle (out indefinitely)
26,2010-10-27,Bucks,,Jon Brockman,sprained left ankle (DNP)
27,2010-10-27,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sprained right ankle (DNP)
28,2010-10-28,Grizzlies,,Zach Randolph,back injury (DTD)
29,2010-10-28,Hawks,,Maurice Evans,right knee inflammation (DTD)
30,2010-10-28,Spurs,,Matt Bonner,sprained right ankle (DTD)
31,2010-10-29,Cavaliers,,Anderson Varejao,placed on IL for family reasons
32,2010-10-29,Heat,Mario Chalmers,,returned to lineup
33,2010-10-29,Pistons,,Will Bynum,sore right hamstring (DNP)
34,2010-10-30,Cavaliers,Anderson Varejao,,activated from IL
35,2010-10-30,Pistons,,Will Bynum,sore right hamstring (DNP)
36,2010-11-02,Pistons,,Richard Hamilton,sore right foot (DNP)
37,2010-11-02,Pistons,,Will Bynum,sore right hamstring (DNP)
38,2010-11-03,Hawks,,Jamal Crawford,turf toe (DNP)
39,2010-11-03,Jazz,,Jeremy Evans,sprained right wrist (DNP)
40,2010-11-03,Jazz,,Kyrylo Fesenko,stomach illness (DNP)
41,2010-11-03,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
42,2010-11-03,Pistons,,Richard Hamilton,sore right foot (DNP)
43,2010-11-03,Pistons,,Will Bynum,sore right hamstring (DNP)
44,2010-11-03,Warriors,,Brandan Wright,stomach virus (DTD)
45,2010-11-04,Blazers,,Elliot Williams,"dislocated patella in right knee (surgery, out for season)"
46,2010-11-05,Bucks,,Andrew Bogut,migraine headache (DNP)
47,2010-11-05,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
48,2010-11-05,Jazz,,Jeremy Evans,sprained right ankle (DNP)
49,2010-11-05,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
50,2010-11-06,Blazers,,Rudy Fernandez,back injury (DNP)
51,2010-11-06,Kings,,Luther Head,placed on IL for personal reasons
52,2010-11-06,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
53,2010-11-06,Raptors,,Sonny Weems,ankle injury (DTD)
54,2010-11-06,Spurs,,James Anderson,placed on IL for personal reasons
55,2010-11-07,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
56,2010-11-08,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
57,2010-11-08,Magic,,Mickael Pietrus,DNP
58,2010-11-08,Spurs,James Anderson,,activated from IL
59,2010-11-09,Bucks,,Carlos Delfino,strained neck (DNP)
60,2010-11-10,76ers,,Jason Kapono,placed on IL for personal reasons
61,2010-11-10,Bucks,,Carlos Delfino,strained neck (DNP)
62,2010-11-10,Clippers,,Chris Kaman,sprained left ankle (DNP)
63,2010-11-10,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
64,2010-11-10,Kings,Luther Head,,activated from IL
65,2010-11-10,Raptors,,David Andersen,flu (DTD)
66,2010-11-10,Timberwolves,,Wayne Ellington,thigh injury (DTD)
67,2010-11-10,Clippers,,Eric Gordon,sore left shoulder (DNP)
68,2010-11-11,Celtics,,Jermaine O'Neal,sore left knee (DNP)
69,2010-11-11,Rockets,,Yao Ming,sprained left ankle (DTD)
70,2010-11-11,Spurs,,James Anderson,stress fracture in right foot (out indefinitely)
71,2010-11-11,Warriors,,David Lee,placed on IL with infection in left elbow
72,2010-11-12,76ers,Jason Kapono,,activated from IL
73,2010-11-12,Thunder,,Royal Ivey,placed on IL for personal reasons
74,2010-11-12,Warriors,,David Lee,surgery on left elbow to repair infection
75,2010-11-12,Clippers,,Randy Foye,strained left hamstring (DNP)
76,2010-11-13,Bobcats,,Tyrus Thomas,placed on IL (death in family)
77,2010-11-13,Bucks,,Carlos Delfino,strained neck (DNP)
78,2010-11-13,Celtics,,Jermaine O'Neal,sore left knee (DNP)
79,2010-11-13,Raptors,,Reggie Evans,flu-like symptoms (DNP)
80,2010-11-14,Rockets,,Chase Budinger,sprained left ankle (DNP)
81,2010-11-14,Timberwolves,,Nikola Pekovic,sprained left ankle (DNP)
82,2010-11-14,Timberwolves,,Wayne Ellington,bruised left thigh (DNP)
83,2010-11-15,Bobcats,Tyrus Thomas,,activated from IL
84,2010-11-15,Clippers,,Randy Foye,strained left hamstring (DNP)
85,2010-11-15,Jazz,,Raja Bell,strained left abductor (DNP)
